"taxa.list$scientificName_Old","usageKey","scientificName","canonicalName","rank","status","type","formattedName","matchType","confidence","timeTaken","kingdom","phylum","order","family","kingdomKey","phylumKey","orderKey","familyKey","value","verbatim_name","verbatim_rank","authorship","code","genericName","specificEpithet","genus","species","genusKey","speciesKey","note","unranked","unrankedKey","class","classKey","infraspecificEpithet","subspecies","subspeciesKey"
"ATHERINIDAE","7172","Atherinidae","Atherinidae","FAMILY","ACCEPTED","SCIENTIFIC","<i>Atherinidae</i>","HIGHERRANK",94,10,"Animalia","Chordata","Atheriniformes","Atherinidae","1","44","496","7172",FALSE,"ATHERINIDAE","higher",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Agonidae","8617","Agonidae","Agonidae","FAMILY","ACCEPTED","SCIENTIFIC","<i>Agonidae</i>","HIGHERRANK",94,2,"Animalia","Chordata","Scorpaeniformes","Agonidae","1","44","590","8617",FALSE,"Agonidae","higher",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Agonopsis chiloensis","5201651","Agonopsis chiloensis (Jenyns, 1840)","Agonopsis chiloensis","SPECIES","ACCEPTED","SCIENTIFIC","<i>Agonopsis</i> <i>chiloensis</i> (Jenyns, 1840)","EXACT",99,6,"Animalia","Chordata","Scorpaeniformes","Agonidae","1","44","590","8617",FALSE,"Agonopsis chiloensis","higher","(Jenyns, 1840)","ZOOLOGICAL","Agonopsis","chiloensis","Agonopsis","Agonopsis chiloensis","2337232","5201651",NA,NA,NA,NA,NA,NA,NA,NA
"Agonopsis chiloensis (Jenyns, 1840)","5201651","Agonopsis chiloensis (Jenyns, 1840)","Agonopsis chiloensis","SPECIES","ACCEPTED","SCIENTIFIC","<i>Agonopsis</i> <i>chiloensis</i> (Jenyns, 1840)","EXACT",100,13,"Animalia","Chordata","Scorpaeniformes","Agonidae","1","44","590","8617",FALSE,"Agonopsis chiloensis (Jenyns, 1840)","higher","(Jenyns, 1840)","ZOOLOGICAL","Agonopsis","chiloensis","Agonopsis","Agonopsis chiloensis","2337232","5201651",NA,NA,NA,NA,NA,NA,NA,NA
"Allothunnus fallai","2373913","Allothunnus fallai Serventy, 1948","Allothunnus fallai","SPECIES","ACCEPTED","SCIENTIFIC","<i>Allothunnus</i> <i>fallai</i> Serventy, 1948","EXACT",99,10,"Animalia","Chordata","Perciformes","Scombridae","1","44","587","8596",FALSE,"Allothunnus fallai","higher","Serventy, 1948","ZOOLOGICAL","Allothunnus","fallai","Allothunnus","Allothunnus fallai","2373912","2373913",NA,NA,NA,NA,NA,NA,NA,NA
"Allothunnus fallai Serventy, 1948","2373913","Allothunnus fallai Serventy, 1948","Allothunnus fallai","SPECIES","ACCEPTED","SCIENTIFIC","<i>Allothunnus</i> <i>fallai</i> Serventy, 1948","EXACT",100,11,"Animalia","Chordata","Perciformes","Scombridae","1","44","587","8596",FALSE,"Allothunnus fallai Serventy, 1948","higher","Serventy, 1948","ZOOLOGICAL","Allothunnus","fallai","Allothunnus","Allothunnus fallai","2373912","2373913",NA,NA,NA,NA,NA,NA,NA,NA
"Anguilliformes","495","Anguilliformes","Anguilliformes","ORDER","ACCEPTED","SCIENTIFIC","<i>Anguilliformes</i>","HIGHERRANK",94,10,"Animalia","Chordata","Anguilliformes",NA,"1","44","495",NA,FALSE,"Anguilliformes","higher",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Antimora rostrata (Günther, 1878)","2417115","Antimora rostrata (Günther, 1878)","Antimora rostrata","SPECIES","ACCEPTED","SCIENTIFIC","<i>Antimora</i> <i>rostrata</i> (Günther, 1878)","EXACT",100,10,"Animalia","Chordata","Gadiformes","Moridae","1","44","549","3704",FALSE,"Antimora rostrata (Günther, 1878)","higher","(Günther, 1878)","ZOOLOGICAL","Antimora","rostrata","Antimora","Antimora rostrata","2417114","2417115",NA,NA,NA,NA,NA,NA,NA,NA
"Aphos porosus","2350916","Aphos porosus (Valenciennes, 1837)","Aphos porosus","SPECIES","ACCEPTED","SCIENTIFIC","<i>Aphos</i> <i>porosus</i> (Valenciennes, 1837)","EXACT",99,7,"Animalia","Chordata","Batrachoidiformes","Batrachoididae","1","44","1106","7187",FALSE,"Aphos porosus","higher","(Valenciennes, 1837)","ZOOLOGICAL","Aphos","porosus","Aphos","Aphos porosus","2350915","2350916",NA,NA,NA,NA,NA,NA,NA,NA
"Aphos porosus (Valenciennes, 1837)","2350916","Aphos porosus (Valenciennes, 1837)","Aphos porosus","SPECIES","ACCEPTED","SCIENTIFIC","<i>Aphos</i> <i>porosus</i> (Valenciennes, 1837)","EXACT",100,6,"Animalia","Chordata","Batrachoidiformes","Batrachoididae","1","44","1106","7187",FALSE,"Aphos porosus (Valenciennes, 1837)","higher","(Valenciennes, 1837)","ZOOLOGICAL","Aphos","porosus","Aphos","Aphos porosus","2350915","2350916",NA,NA,NA,NA,NA,NA,NA,NA
"Aphritis gobio Günther, 1861","5212005","Aphritis gobio Günther, 1861","Aphritis gobio","SPECIES","SYNONYM","SCIENTIFIC","<i>Aphritis</i> <i>gobio</i> Günther, 1861","EXACT",100,10,"Animalia","Chordata","Perciformes","Bovichtidae","1","44","587","4252",TRUE,"Aphritis gobio Günther, 1861","higher","Günther, 1861","ZOOLOGICAL","Aphritis","gobio","Cottoperca","Cottoperca gobio","2398039","2398040",NA,NA,NA,NA,NA,NA,NA,NA
"Aplochiton","2410617","Aplochiton Jenyns, 1842","Aplochiton","GENUS","ACCEPTED","SCIENTIFIC","<i>Aplochiton</i> Jenyns, 1842","HIGHERRANK",94,5,"Animalia","Chordata","Osmeriformes","Galaxiidae","1","44","1068","4224",FALSE,"Aplochiton","higher","Jenyns, 1842","ZOOLOGICAL",NA,NA,"Aplochiton",NA,"2410617",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aplochiton Jenyns, 1842","2410617","Aplochiton Jenyns, 1842","Aplochiton","GENUS","ACCEPTED","SCIENTIFIC","<i>Aplochiton</i> Jenyns, 1842","HIGHERRANK",99,8,"Animalia","Chordata","Osmeriformes","Galaxiidae","1","44","1068","4224",FALSE,"Aplochiton Jenyns, 1842","higher","Jenyns, 1842","ZOOLOGICAL",NA,NA,"Aplochiton",NA,"2410617",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aplochiton lacustris","2410617","Aplochiton Jenyns, 1842","Aplochiton","GENUS","ACCEPTED","SCIENTIFIC","<i>Aplochiton</i> Jenyns, 1842","HIGHERRANK",94,12,"Animalia","Chordata","Osmeriformes","Galaxiidae","1","44","1068","4224",FALSE,"Aplochiton lacustris","higher","Jenyns, 1842","ZOOLOGICAL",NA,NA,"Aplochiton",NA,"2410617",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aplochiton marinus","2410622","Aplochiton marinus Eigenmann, 1928","Aplochiton marinus","SPECIES","ACCEPTED","SCIENTIFIC","<i>Aplochiton</i> <i>marinus</i> Eigenmann, 1928","EXACT",99,12,"Animalia","Chordata","Osmeriformes","Galaxiidae","1","44","1068","4224",FALSE,"Aplochiton marinus","higher","Eigenmann, 1928","ZOOLOGICAL","Aplochiton","marinus","Aplochiton","Aplochiton marinus","2410617","2410622",NA,NA,NA,NA,NA,NA,NA,NA
"Aplochiton marinus Eigenmann, 1928","2410622","Aplochiton marinus Eigenmann, 1928","Aplochiton marinus","SPECIES","ACCEPTED","SCIENTIFIC","<i>Aplochiton</i> <i>marinus</i> Eigenmann, 1928","EXACT",100,12,"Animalia","Chordata","Osmeriformes","Galaxiidae","1","44","1068","4224",FALSE,"Aplochiton marinus Eigenmann, 1928","higher","Eigenmann, 1928","ZOOLOGICAL","Aplochiton","marinus","Aplochiton","Aplochiton marinus","2410617","2410622",NA,NA,NA,NA,NA,NA,NA,NA
"Aplochiton sp.","2410617","Aplochiton Jenyns, 1842","Aplochiton","GENUS","ACCEPTED","SCIENTIFIC","<i>Aplochiton</i> Jenyns, 1842","HIGHERRANK",94,5,"Animalia","Chordata","Osmeriformes","Galaxiidae","1","44","1068","4224",FALSE,"Aplochiton sp.","higher","Jenyns, 1842","ZOOLOGICAL",NA,NA,"Aplochiton",NA,"2410617",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aplochiton taeniatus","2410621","Aplochiton taeniatus Jenyns, 1842","Aplochiton taeniatus","SPECIES","ACCEPTED","SCIENTIFIC","<i>Aplochiton</i> <i>taeniatus</i> Jenyns, 1842","EXACT",99,12,"Animalia","Chordata","Osmeriformes","Galaxiidae","1","44","1068","4224",FALSE,"Aplochiton taeniatus","higher","Jenyns, 1842","ZOOLOGICAL","Aplochiton","taeniatus","Aplochiton","Aplochiton taeniatus","2410617","2410621",NA,NA,NA,NA,NA,NA,NA,NA
"Aplochiton taeniatus Jenyns, 1842","2410621","Aplochiton taeniatus Jenyns, 1842","Aplochiton taeniatus","SPECIES","ACCEPTED","SCIENTIFIC","<i>Aplochiton</i> <i>taeniatus</i> Jenyns, 1842","EXACT",100,12,"Animalia","Chordata","Osmeriformes","Galaxiidae","1","44","1068","4224",FALSE,"Aplochiton taeniatus Jenyns, 1842","higher","Jenyns, 1842","ZOOLOGICAL","Aplochiton","taeniatus","Aplochiton","Aplochiton taeniatus","2410617","2410621",NA,NA,NA,NA,NA,NA,NA,NA
