bibliographicCitation,decimalLatitude,decimalLongitude,eventDate,year,canonicalName,scientificName,locality,stateProvince,references,associatedReferences,catalogNumber,institutionCode,recordedBy,samplingProtocol,individualCount
"Campos, H., Arenas, J., Jara, C., Gonser, T., & Prins, R. (1984). Macrozoobentos y fauna íctica de las aguas limnéticas de Chiloé y Aysén continentales (Chile). Medio Ambiente, 7, 52–64.",-45.0333,-72.115003,1984,1984,Salmo trutta,"Salmo trutta Linnaeus, 1758",lago Pedro Aguirre Cerda,Aysén,,,,,,,
"Campos, H., Arenas, J., Jara, C., Gonser, T., & Prins, R. (1984). Macrozoobentos y fauna íctica de las aguas limnéticas de Chiloé y Aysén continentales (Chile). Medio Ambiente, 7, 52–64.",-44.235989,-72.509975,1984,1984,Oncorhynchus mykiss,"Oncorhynchus mykiss (Walbaum, 1792)",lago Risopatrón,Aysén,,,,,,,
"Campos, H., Arenas, J., Jara, C., Gonser, T., & Prins, R. (1984). Macrozoobentos y fauna íctica de las aguas limnéticas de Chiloé y Aysén continentales (Chile). Medio Ambiente, 7, 52–64.",-44.235989,-72.509975,1984,1984,Salmo trutta,"Salmo trutta Linnaeus, 1758",lago Risopatrón,Aysén,,,,,,,
"Campos, H., Arenas, J., Jara, C., Gonser, T., & Prins, R. (1984). Macrozoobentos y fauna íctica de las aguas limnéticas de Chiloé y Aysén continentales (Chile). Medio Ambiente, 7, 52–64.",-43.016667,-72.483333,1984,1984,Oncorhynchus mykiss,"Oncorhynchus mykiss (Walbaum, 1792)",río Amarillo,Aysén,,,,,,,
"Campos, H., Arenas, J., Jara, C., Gonser, T., & Prins, R. (1984). Macrozoobentos y fauna íctica de las aguas limnéticas de Chiloé y Aysén continentales (Chile). Medio Ambiente, 7, 52–64.",-43.016667,-72.483333,1984,1984,Salmo trutta,"Salmo trutta Linnaeus, 1758",río Amarillo,Aysén,,,,,,,
"Campos, H., Arenas, J., Jara, C., Gonser, T., & Prins, R. (1984). Macrozoobentos y fauna íctica de las aguas limnéticas de Chiloé y Aysén continentales (Chile). Medio Ambiente, 7, 52–64.",-43.833333,-72.366667,1984,1984,Oncorhynchus mykiss,"Oncorhynchus mykiss (Walbaum, 1792)",río Aura,Aysén,,,,,,,
"Campos, H., Arenas, J., Jara, C., Gonser, T., & Prins, R. (1984). Macrozoobentos y fauna íctica de las aguas limnéticas de Chiloé y Aysén continentales (Chile). Medio Ambiente, 7, 52–64.",-44.833333,-72.216667,1984,1984,Salmo trutta,"Salmo trutta Linnaeus, 1758",río Brígida,Aysén,,,,,,,
"Campos, H., Arenas, J., Jara, C., Gonser, T., & Prins, R. (1984). Macrozoobentos y fauna íctica de las aguas limnéticas de Chiloé y Aysén continentales (Chile). Medio Ambiente, 7, 52–64.",-44.633333,-72.416667,1984,1984,Salmo trutta,"Salmo trutta Linnaeus, 1758",río Cascadas,Aysén,,,,,,,
"Campos, H., Arenas, J., Jara, C., Gonser, T., & Prins, R. (1984). Macrozoobentos y fauna íctica de las aguas limnéticas de Chiloé y Aysén continentales (Chile). Medio Ambiente, 7, 52–64.",-44.694149,-72.520973,1984,1984,Salmo trutta,"Salmo trutta Linnaeus, 1758",río Cisnes Bajo,Aysén,,,,,,,
"Campos, H., Arenas, J., Jara, C., Gonser, T., & Prins, R. (1984). Macrozoobentos y fauna íctica de las aguas limnéticas de Chiloé y Aysén continentales (Chile). Medio Ambiente, 7, 52–64.",-46.261024,-72.003057,1980,1980,Salmo trutta,"Salmo trutta Linnaeus, 1758",río Claro (afluente del río Ibañez),Aysén,,,,,,,
"Campos, H., Arenas, J., Jara, C., Gonser, T., & Prins, R. (1984). Macrozoobentos y fauna íctica de las aguas limnéticas de Chiloé y Aysén continentales (Chile). Medio Ambiente, 7, 52–64.",-43.583333,-72.333333,1984,1984,Oncorhynchus mykiss,"Oncorhynchus mykiss (Walbaum, 1792)",río Frío,Aysén,,,,,,,
"Campos, H., Arenas, J., Jara, C., Gonser, T., & Prins, R. (1984). Macrozoobentos y fauna íctica de las aguas limnéticas de Chiloé y Aysén continentales (Chile). Medio Ambiente, 7, 52–64.",-43.583333,-72.333333,1984,1984,Salvelinus fontinalis,"Salvelinus fontinalis (Mitchill, 1814)",río Frío,Aysén,,,,,,,
"Campos, H., Arenas, J., Jara, C., Gonser, T., & Prins, R. (1984). Macrozoobentos y fauna íctica de las aguas limnéticas de Chiloé y Aysén continentales (Chile). Medio Ambiente, 7, 52–64.",-44.183333,-72.5,1984,1984,Oncorhynchus mykiss,"Oncorhynchus mykiss (Walbaum, 1792)",río Los Césares,Aysén,,,,,,,
"Campos, H., Arenas, J., Jara, C., Gonser, T., & Prins, R. (1984). Macrozoobentos y fauna íctica de las aguas limnéticas de Chiloé y Aysén continentales (Chile). Medio Ambiente, 7, 52–64.",-44.183333,-72.5,1984,1984,Salmo trutta,"Salmo trutta Linnaeus, 1758",río Los Césares,Aysén,,,,,,,
"Campos, H., Arenas, J., Jara, C., Gonser, T., & Prins, R. (1984). Macrozoobentos y fauna íctica de las aguas limnéticas de Chiloé y Aysén continentales (Chile). Medio Ambiente, 7, 52–64.",-45.166667,-72.133333,1984,1984,Salmo trutta,"Salmo trutta Linnaeus, 1758",río Ñirehuao,Aysén,,,,,,,
"Campos, H., Arenas, J., Jara, C., Gonser, T., & Prins, R. (1984). Macrozoobentos y fauna íctica de las aguas limnéticas de Chiloé y Aysén continentales (Chile). Medio Ambiente, 7, 52–64.",-44.327217,-72.56532,1984,1984,Salmo trutta,"Salmo trutta Linnaeus, 1758",río Pascua,Aysén,,,,,,,
"Campos, H., Arenas, J., Jara, C., Gonser, T., & Prins, R. (1984). Macrozoobentos y fauna íctica de las aguas limnéticas de Chiloé y Aysén continentales (Chile). Medio Ambiente, 7, 52–64.",-45.649595,-71.91082,1980,1980,Oncorhynchus mykiss,"Oncorhynchus mykiss (Walbaum, 1792)",río Pollux,Aysén,,,,,,,
"Campos, H., Arenas, J., Jara, C., Gonser, T., & Prins, R. (1984). Macrozoobentos y fauna íctica de las aguas limnéticas de Chiloé y Aysén continentales (Chile). Medio Ambiente, 7, 52–64.",-44.563963,-72.440278,1984,1984,Oncorhynchus mykiss,"Oncorhynchus mykiss (Walbaum, 1792)",río Queulat,Aysén,,,,,,,
"Campos, H., Arenas, J., Jara, C., Gonser, T., & Prins, R. (1984). Macrozoobentos y fauna íctica de las aguas limnéticas de Chiloé y Aysén continentales (Chile). Medio Ambiente, 7, 52–64.",-42.329063,-73.513792,1984,1984,Oncorhynchus mykiss,"Oncorhynchus mykiss (Walbaum, 1792)",río San Juan Poniente,Chiloé,,,,,,,
"Campos, H., Arenas, J., Jara, C., Gonser, T., & Prins, R. (1984). Macrozoobentos y fauna íctica de las aguas limnéticas de Chiloé y Aysén continentales (Chile). Medio Ambiente, 7, 52–64.",-42.855585,-72.798546,1984,1984,Oncorhynchus mykiss,"Oncorhynchus mykiss (Walbaum, 1792)",río Santa Bárbara,Aysén,,,,,,,
"Campos, H., Arenas, J., Jara, C., Gonser, T., & Prins, R. (1984). Macrozoobentos y fauna íctica de las aguas limnéticas de Chiloé y Aysén continentales (Chile). Medio Ambiente, 7, 52–64.",-42.855585,-72.798546,1984,1984,Salmo trutta,"Salmo trutta Linnaeus, 1758",río Santa Bárbara,Aysén,,,,,,,
"Campos, H., Arenas, J., Jara, C., Gonser, T., & Prins, R. (1984). Macrozoobentos y fauna íctica de las aguas limnéticas de Chiloé y Aysén continentales (Chile). Medio Ambiente, 7, 52–64.",-45.423746,-72.420515,1984,1984,Salmo trutta,"Salmo trutta Linnaeus, 1758",río Simpson Bajo,Aysén,,,,,,,
