"occurrenceID","bibliographicCitation","decimalLatitude","decimalLongitude","eventDate","year","scientificName","locality","stateProvince","references","associatedReferences","catalogNumber","institutionCode","recordedBy","samplingProtocol","individualCount","X","X.1","canonicalName","rank","kingdom","phylum","order","family","genus","species"
"Boisjoly.Lit.Review.0001","","-43.527676","-71.555252","2007-03-08","2007","Geotria australis Gray, 1851","Río Corcovado","","","","","","Barriga, JP","pesca electrica","5","","","Geotria australis","SPECIES","Animalia","Chordata","Petromyzontiformes","Geotriidae","Geotria","Geotria australis"
"Boisjoly.Lit.Review.0002","Campos, H., Arenas, J., Jara, C., Gonser, T., & Prins, R. (1984). Macrozoobentos y fauna íctica de las aguas limnéticas de Chiloé y Aysén continentales (Chile). Medio Ambiente, 7, 52–64.","-46.261024","-72.003057","1980","1980","Salmo trutta Linnaeus, 1758","río Claro (afluente del río Ibañez)","Aysén","","","","","","","","","","Salmo trutta","SPECIES","Animalia","Chordata","Salmoniformes","Salmonidae","Salmo","Salmo trutta"
"Boisjoly.Lit.Review.0003","Campos, H., Arenas, J., Jara, C., Gonser, T., & Prins, R. (1984). Macrozoobentos y fauna íctica de las aguas limnéticas de Chiloé y Aysén continentales (Chile). Medio Ambiente, 7, 52–64.","-45.649595","-71.91082","1980","1980","Oncorhynchus mykiss (Walbaum, 1792)","río Pollux","Aysén","","","","","","","","","","Oncorhynchus mykiss","SPECIES","Animalia","Chordata","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus mykiss"
"Boisjoly.Lit.Review.0004","Campos, H., Arenas, J., Jara, C., Gonser, T., & Prins, R. (1984). Macrozoobentos y fauna íctica de las aguas limnéticas de Chiloé y Aysén continentales (Chile). Medio Ambiente, 7, 52–64.","-45.0333","-72.115003","1984","1984","Salmo trutta Linnaeus, 1758","lago Pedro Aguirre Cerda","Aysén","","","","","","","","","","Salmo trutta","SPECIES","Animalia","Chordata","Salmoniformes","Salmonidae","Salmo","Salmo trutta"
"Boisjoly.Lit.Review.0005","Campos, H., Arenas, J., Jara, C., Gonser, T., & Prins, R. (1984). Macrozoobentos y fauna íctica de las aguas limnéticas de Chiloé y Aysén continentales (Chile). Medio Ambiente, 7, 52–64.","-44.235989","-72.509975","1984","1984","Oncorhynchus mykiss (Walbaum, 1792)","lago Risopatrón","Aysén","","","","","","","","","","Oncorhynchus mykiss","SPECIES","Animalia","Chordata","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus mykiss"
"Boisjoly.Lit.Review.0006","Campos, H., Arenas, J., Jara, C., Gonser, T., & Prins, R. (1984). Macrozoobentos y fauna íctica de las aguas limnéticas de Chiloé y Aysén continentales (Chile). Medio Ambiente, 7, 52–64.","-44.235989","-72.509975","1984","1984","Salmo trutta Linnaeus, 1758","lago Risopatrón","Aysén","","","","","","","","","","Salmo trutta","SPECIES","Animalia","Chordata","Salmoniformes","Salmonidae","Salmo","Salmo trutta"
"Boisjoly.Lit.Review.0007","Campos, H., Arenas, J., Jara, C., Gonser, T., & Prins, R. (1984). Macrozoobentos y fauna íctica de las aguas limnéticas de Chiloé y Aysén continentales (Chile). Medio Ambiente, 7, 52–64.","-43.016667","-72.483333","1984","1984","Oncorhynchus mykiss (Walbaum, 1792)","río Amarillo","Aysén","","","","","","","","","","Oncorhynchus mykiss","SPECIES","Animalia","Chordata","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus mykiss"
"Boisjoly.Lit.Review.0008","Campos, H., Arenas, J., Jara, C., Gonser, T., & Prins, R. (1984). Macrozoobentos y fauna íctica de las aguas limnéticas de Chiloé y Aysén continentales (Chile). Medio Ambiente, 7, 52–64.","-43.016667","-72.483333","1984","1984","Salmo trutta Linnaeus, 1758","río Amarillo","Aysén","","","","","","","","","","Salmo trutta","SPECIES","Animalia","Chordata","Salmoniformes","Salmonidae","Salmo","Salmo trutta"
"Boisjoly.Lit.Review.0009","Campos, H., Arenas, J., Jara, C., Gonser, T., & Prins, R. (1984). Macrozoobentos y fauna íctica de las aguas limnéticas de Chiloé y Aysén continentales (Chile). Medio Ambiente, 7, 52–64.","-43.833333","-72.366667","1984","1984","Oncorhynchus mykiss (Walbaum, 1792)","río Aura","Aysén","","","","","","","","","","Oncorhynchus mykiss","SPECIES","Animalia","Chordata","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus mykiss"
"Boisjoly.Lit.Review.0010","Campos, H., Arenas, J., Jara, C., Gonser, T., & Prins, R. (1984). Macrozoobentos y fauna íctica de las aguas limnéticas de Chiloé y Aysén continentales (Chile). Medio Ambiente, 7, 52–64.","-44.833333","-72.216667","1984","1984","Salmo trutta Linnaeus, 1758","río Brígida","Aysén","","","","","","","","","","Salmo trutta","SPECIES","Animalia","Chordata","Salmoniformes","Salmonidae","Salmo","Salmo trutta"
