"bibliographicCitation","associatedReferences","occurrenceID","locationRemarks","locality","decimalLatitude","decimalLongitude","year","eventDate","scientificName","individualCount","samplingProtocol","recordedBy","license","rightsHolder","accessRights","datasetName","datasetName_tmp","basisOfRecord"
"Correa, Cristian, and Maryse Boisjoly (2025) Chilean fish collection and empirical database (Version 2025-11-27) [Unpublished dataset].","","Correa.Boisjoly.collection.008702","Arroyo Chiloe","Arrollo Chiloe 1",-42.66093303,-74.11884704,2017,2017-02-23,"Eleginops maclovinus",2,"Casting Net","Cristian Correa, Maryse Boisjoly, Camila Sola, Consuelo Guevara","CC BY-NC 4.0","Cristian Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa & Boisjoly fish collection v.2025-11-27","Fish Database Correa-Boisjoly","Occurrence"
"Correa, Cristian, and Maryse Boisjoly (2025) Chilean fish collection and empirical database (Version 2025-11-27) [Unpublished dataset].","","Correa.Boisjoly.collection.005670","Río Caleta","Arroyo 1, Río Caleta",-53.19982099,-71.60488503,2015,2015-02-27,"Galaxias maculatus",8,"Casting Net","Cristian Correa","CC BY-NC 4.0","Cristian Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa & Boisjoly fish collection v.2025-11-27","Fish Database Correa-Boisjoly","Occurrence"
"Correa, Cristian, and Maryse Boisjoly (2025) Chilean fish collection and empirical database (Version 2025-11-27) [Unpublished dataset].","","Correa.Boisjoly.collection.005672","Río Caleta","Arroyo 1, Río Caleta",-53.19982099,-71.60488503,2015,2015-02-27,"Oncorhynchus kisutch",44,"Casting Net","Cristian Correa","CC BY-NC 4.0","Cristian Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa & Boisjoly fish collection v.2025-11-27","Fish Database Correa-Boisjoly","Occurrence"
"Correa, Cristian, and Maryse Boisjoly (2025) Chilean fish collection and empirical database (Version 2025-11-27) [Unpublished dataset].","","Correa.Boisjoly.collection.005671","Río Caleta","Arroyo 1, Río Caleta",-53.19982099,-71.60488503,2015,2015-02-27,"Salmo trutta",6,"Casting Net","Cristian Correa","CC BY-NC 4.0","Cristian Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa & Boisjoly fish collection v.2025-11-27","Fish Database Correa-Boisjoly","Occurrence"
"Correa, Cristian, and Maryse Boisjoly (2025) Chilean fish collection and empirical database (Version 2025-11-27) [Unpublished dataset].","","Correa.Boisjoly.collection.012327","Caleta Gonzalo","Caleta Gonzalo",-42.559286,-72.604811,2023,2023-11-11,"Galaxias maculatus",1,"Visual Evaluation","CC BD","CC BY-NC 4.0","Cristian Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa & Boisjoly fish collection v.2025-11-27","Fish Database Correa-Boisjoly","Occurrence"
"Correa, Cristian, and Maryse Boisjoly (2025) Chilean fish collection and empirical database (Version 2025-11-27) [Unpublished dataset].","","Correa.Boisjoly.collection.006206","Cameron","Cameron",-53.646562,-69.651453,2015,2015-02-15,"Oncorhynchus mykiss",6,"Electric fishing","Cristian Correa, Maryse Boisjoly, Jonathan Poblete","CC BY-NC 4.0","Cristian Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa & Boisjoly fish collection v.2025-11-27","Fish Database Correa-Boisjoly","Occurrence"
"Correa, Cristian, and Maryse Boisjoly (2025) Chilean fish collection and empirical database (Version 2025-11-27) [Unpublished dataset].","","Correa.Boisjoly.collection.006205","Cameron","Cameron",-53.646562,-69.651453,2015,2015-02-15,"Salmo trutta",7,"Electric fishing","Cristian Correa, Maryse Boisjoly, Jonathan Poblete","CC BY-NC 4.0","Cristian Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa & Boisjoly fish collection v.2025-11-27","Fish Database Correa-Boisjoly","Occurrence"
"Correa, Cristian, and Maryse Boisjoly (2025) Chilean fish collection and empirical database (Version 2025-11-27) [Unpublished dataset].","","Correa.Boisjoly.collection.003653","Chaiten","Chaiten",-42.920813,-72.714867,2007,2007-01-22,"Eleginops maclovinus",1,"Dip net","Cristian Correa","CC BY-NC 4.0","Cristian Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa & Boisjoly fish collection v.2025-11-27","Fish Database Correa-Boisjoly","Occurrence"
"Correa, Cristian, and Maryse Boisjoly (2025) Chilean fish collection and empirical database (Version 2025-11-27) [Unpublished dataset].","","Correa.Boisjoly.collection.003654","Chaiten","Chaiten",-42.920813,-72.714867,2007,2007-01-22,"Galaxias maculatus",30,"Dip net","Cristian Correa","CC BY-NC 4.0","Cristian Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa & Boisjoly fish collection v.2025-11-27","Fish Database Correa-Boisjoly","Occurrence"
"Correa, Cristian, and Maryse Boisjoly (2025) Chilean fish collection and empirical database (Version 2025-11-27) [Unpublished dataset].","","Correa.Boisjoly.collection.005781","Lago Porteño","Chorillo, Lago Porteño",-51.330744,-72.80935,2015,2015-03-13,"Aplochiton zebra",39,"Electric fishing","Cristian Correa, Jonathan Poblete","CC BY-NC 4.0","Cristian Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa & Boisjoly fish collection v.2025-11-27","Fish Database Correa-Boisjoly","Occurrence"
