"This database is one of the products of the following grants: Carlos García de Leániz (PI), Gonzalo Gajardo, et al. Department for Environment Food and Rural Affairs (DEFRA, UK). Darwin Initiative Grants 15020 (2006-2009) and EIDPO041 (2010-2012).",,,,,,,,,,,,,
Watershed,Location,Station,Latitude,Longitude,Date,Day,Month,Year,Species,Collected by,n.genotyped,n.not.genotyped,n.individuals
EB,E. Brook - Falklands,EB3,-51.65468056,-58.24191389,2016-08-07,16,8,2007,Salmo trutta,,,11,11
EB,E. Brook - Falklands,EB5,-51.65468056,-58.24191389,2018-08-07,18,8,2007,Salmo trutta,,,20,20
HHS,Half way house stream- Falklands,HHS,-52.00760833,-59.27906389,2008-08-07,8,8,2007,Aplochiton zebra,,,7,7
HHS,Half way house stream- Falklands,HHS,-52.00760833,-59.27906389,2009-08-07,9,8,2007,Aplochiton zebra,,,17,17
HHS,Half way house stream- Falklands,HHS,-52.00760833,-59.27906389,2009-08-07,9,8,2007,Galaxias maculatus,,,32,32
HHS,Half way house stream- Falklands,HHS,-52.00760833,-59.27906389,2010-08-07,10,8,2007,Aplochiton zebra,,,7,7
PBA,Peat Banks Arroyo-Falklands,PBA10,-52.02428889,-59.33548611,2008-08-07,8,8,2007,Aplochiton zebra,,,2,2
PBA,Peat Banks Arroyo-Falklands,PBA4,-52.02428889,-59.33548611,2007-08-07,7,8,2007,Aplochiton zebra,,,4,4
PBA,Peat Banks Arroyo-Falklands,PBA5,-52.02428889,-59.33548611,2007-08-07,7,8,2007,Aplochiton zebra,,,3,3
PBA,Peat Banks Arroyo-Falklands,PBA6,-52.02428889,-59.33548611,2008-08-07,8,8,2007,Aplochiton zebra,,,6,6
PBA,Peat Banks Arroyo-Falklands,PBA7,-52.02428889,-59.33548611,2008-08-07,8,8,2007,Aplochiton zebra,,,1,1
PBA,Peat Banks Arroyo-Falklands,PBAI,-52.02428889,-59.33548611,2008-08-07,8,8,2007,Aplochiton zebra,,,1,1
PBA,Peat Banks Arroyo-Falklands,PBAI3,-52.02428889,-59.33548611,2007-08-07,7,8,2007,Aplochiton zebra,,,12,12
Río Aisén,Río Blanco,RB1,-45.80816,-71.92325,2012-04-07,12,4,2007,Oncorhynchus mykiss,"Kyle Young, Jane McDonald",,4,4
Río Aisén,Río Blanco,RB2,-45.81461,-71.91913,2012-04-07,12,4,2007,Oncorhynchus mykiss,"Kyle Young, Jane McDonald",,1,1
Río Aisén,Rio Emperador Guillermo,REG3,-45.261675,-72.249275,2011-04-07,11,4,2007,Oncorhynchus mykiss,"Kyle Young, Jane McDonald",,14,14
Río Aisén,Rio Emperador Guillermo,REG3,-45.261675,-72.249275,2011-04-07,11,4,2007,Salmo trutta,"Kyle Young, Jane McDonald",,64,64
Río Aisén,Rio Emperador Guillermo,REG3,-45.261675,-72.249275,2014-04-07,14,4,2007,Oncorhynchus mykiss,"Kyle Young, Jane McDonald",,6,6
Río Aisén,Rio Emperador Guillermo,REG3,-45.261675,-72.249275,2014-04-07,14,4,2007,Salmo trutta,"Kyle Young, Jane McDonald",,6,6
Río Aisén,Rio Maniguales,RM1,-45.35217,-72.46136,39178,6,4,2007,Oncorhynchus mykiss,"Kyle Young, Jane McDonald",,18,18
Río Aisén,Rio Maniguales,RM1,-45.35217,-72.46136,39178,6,4,2007,Salmo trutta,"Kyle Young, Jane McDonald",,16,16
Río Aisén,Rio Maniguales,RM2,-45.30132,-72.34696,39179,7,4,2007,Oncorhynchus mykiss,"Kyle Young, Jane McDonald",,47,47
Río Aisén,Rio Maniguales,RM2,-45.30132,-72.34696,39179,7,4,2007,Salmo trutta,"Kyle Young, Jane McDonald",,16,16
Río Aisén,Rio Maniguales,RM5,-44.99793,-72.09755,39182,10,4,2007,Oncorhynchus mykiss,"Kyle Young, Jane McDonald",,1,1
Río Aisén,Rio Maniguales,RM5,-44.99793,-72.09755,39182,10,4,2007,Oncorhynchus tshawytscha,"Kyle Young, Jane McDonald",,46,46
Río Aisén,Rio Maniguales,RM5,-44.99793,-72.09755,39182,10,4,2007,Salmo trutta,"Kyle Young, Jane McDonald",,73,73
Río Aisén,Rio Maniguales,RM6,-45.10112,-72.149,39182,10,4,2007,Oncorhynchus tshawytscha,"Kyle Young, Jane McDonald",,86,86
Río Aisén,Rio Maniguales,RM6,-45.10112,-72.149,39182,10,4,2007,Salmo trutta,"Kyle Young, Jane McDonald",,28,28
Río Aisén,Rio Pollux 1,RP1,-45.6899,-72.08307,2012-04-07,12,4,2007,Oncorhynchus mykiss,"Kyle Young, Jane McDonald",,2,2
Río Aisén,Río Richards 1,ER1,-45.30511,-71.77826,2014-04-07,14,4,2007,Salmo trutta,"Kyle Young, Jane McDonald",,23,23
Río Aisén,Río Simpsom 1,RS1,-45.72424,-72.09756,2012-04-07,12,4,2007,Oncorhynchus mykiss,"Kyle Young, Jane McDonald",,7,7
Río Aitoy/Aiguy,Rio Aitoy/Aiguy,RAI,-42.75721,-73.56533,2018-05-07,18,5,2007,Oncorhynchus mykiss,"Kyle Young, Jane McDonald",,12,12
Río Aitoy/Aiguy,Rio Aitoy/Aiguy,RIA1,-42.75721,-73.56533,2011-02-08,11,2,2008,Galaxias maculatus,"Kyle Young, Jessica Stephenson, Anne-Flore Thailly",,40,40
