"locality","decimalLatitude","decimalLongitude","year","eventDate","scientificName","individualCount","samplingProtocol","locationRemarks","recordedBy","associatedReferences","license","rightsHolder","accessRights","bibliographicCitation","datasetName","basisOfRecord"
"Arrollo Chiloe 1",-42.66093303,-74.11884704,2017,2017-02-25,"Eleginops maclovinus",2,"Casting Net","Arroyo Chiloe","Cristian Correa, Maryse Boisjoly, Camila Sola, Consuelo Guevara","","CC BY-NC 4.0","Cristián Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa, Cristián, Maryse Boisjoly (2023) Base de datos empírica de peces de Chile. Valdivia, Chile.","Fish Database Correa-Boisjoly","Ocurrence"
"Arroyo 1, Río Caleta",-53.19982099,-71.60488503,2015,2015-03-01,"Galaxias maculatus",8,"Casting Net","Río Caleta","Cristian Correa","","CC BY-NC 4.0","Cristián Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa, Cristián, Maryse Boisjoly (2023) Base de datos empírica de peces de Chile. Valdivia, Chile.","Fish Database Correa-Boisjoly","Ocurrence"
"Arroyo 1, Río Caleta",-53.19982099,-71.60488503,2015,2015-03-01,"Oncorhynchus kisutch",44,"Casting Net","Río Caleta","Cristian Correa","","CC BY-NC 4.0","Cristián Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa, Cristián, Maryse Boisjoly (2023) Base de datos empírica de peces de Chile. Valdivia, Chile.","Fish Database Correa-Boisjoly","Ocurrence"
"Arroyo 1, Río Caleta",-53.19982099,-71.60488503,2015,2015-03-01,"Salmo trutta",6,"Casting Net","Río Caleta","Cristian Correa","","CC BY-NC 4.0","Cristián Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa, Cristián, Maryse Boisjoly (2023) Base de datos empírica de peces de Chile. Valdivia, Chile.","Fish Database Correa-Boisjoly","Ocurrence"
"Caleta Gonzalo",-42.559286,-72.604811,2023,2023-11-13,"Galaxias maculatus",1,"Visual Evaluation","Caleta Gonzalo","CC BD","","CC BY-NC 4.0","Cristián Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa, Cristián, Maryse Boisjoly (2023) Base de datos empírica de peces de Chile. Valdivia, Chile.","Fish Database Correa-Boisjoly","Ocurrence"
"Cameron",-53.646562,-69.651453,2015,2015-02-17,"Oncorhynchus mykiss",6,"Electric fishing","Cameron","Cristian Correa, Maryse Boisjoly, Jonathan Poblete","","CC BY-NC 4.0","Cristián Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa, Cristián, Maryse Boisjoly (2023) Base de datos empírica de peces de Chile. Valdivia, Chile.","Fish Database Correa-Boisjoly","Ocurrence"
"Cameron",-53.646562,-69.651453,2015,2015-02-17,"Salmo trutta",7,"Electric fishing","Cameron","Cristian Correa, Maryse Boisjoly, Jonathan Poblete","","CC BY-NC 4.0","Cristián Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa, Cristián, Maryse Boisjoly (2023) Base de datos empírica de peces de Chile. Valdivia, Chile.","Fish Database Correa-Boisjoly","Ocurrence"
"Chaiten",-42.920813,-72.714867,2007,2007-01-24,"Eleginops maclovinus",1,"Dip net","Chaiten","Cristian Correa","","CC BY-NC 4.0","Cristián Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa, Cristián, Maryse Boisjoly (2023) Base de datos empírica de peces de Chile. Valdivia, Chile.","Fish Database Correa-Boisjoly","Ocurrence"
"Chaiten",-42.920813,-72.714867,2007,2007-01-24,"Galaxias maculatus",30,"Dip net","Chaiten","Cristian Correa","","CC BY-NC 4.0","Cristián Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa, Cristián, Maryse Boisjoly (2023) Base de datos empírica de peces de Chile. Valdivia, Chile.","Fish Database Correa-Boisjoly","Ocurrence"
"Chorillo, Lago Porteño",-51.330744,-72.80935,2015,2015-03-15,"Aplochiton zebra",39,"Electric fishing","Lago Porteño","Cristian Correa, Jonathan Poblete","","CC BY-NC 4.0","Cristián Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa, Cristián, Maryse Boisjoly (2023) Base de datos empírica de peces de Chile. Valdivia, Chile.","Fish Database Correa-Boisjoly","Ocurrence"
"Chorillo, Lago Porteño",-51.330744,-72.80935,2015,2015-03-15,"Salmo trutta",3,"Electric fishing","Lago Porteño","Cristian Correa, Jonathan Poblete","","CC BY-NC 4.0","Cristián Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa, Cristián, Maryse Boisjoly (2023) Base de datos empírica de peces de Chile. Valdivia, Chile.","Fish Database Correa-Boisjoly","Ocurrence"
"Curaco de Velez",-42.442669,-73.600094,2017,2017-03-02,"Oncorhynchus mykiss",14,"Casting Net","Curaco de Velez","Cristian Correa, Maryse Boisjoly","","CC BY-NC 4.0","Cristián Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa, Cristián, Maryse Boisjoly (2023) Base de datos empírica de peces de Chile. Valdivia, Chile.","Fish Database Correa-Boisjoly","Ocurrence"
"Curaco de Velez",-42.440608,-73.603339,2017,2017-03-02,"Galaxias maculatus",4,"Casting Net","Curaco de Velez","Cristian Correa, Maryse Boisjoly","","CC BY-NC 4.0","Cristián Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa, Cristián, Maryse Boisjoly (2023) Base de datos empírica de peces de Chile. Valdivia, Chile.","Fish Database Correa-Boisjoly","Ocurrence"
"Estero Anguai, Chepu",-42.046985,-73.972036,2017,2017-02-18,"Aplochiton marinus",7,"Trolling","Estero Anguai (Chepu)","Cristian Correa","","CC BY-NC 4.0","Cristián Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa, Cristián, Maryse Boisjoly (2023) Base de datos empírica de peces de Chile. Valdivia, Chile.","Fish Database Correa-Boisjoly","Ocurrence"
"Estero Anguai, Chepu",-42.04687203,-73.97126704,2017,2017-02-18,"Aplochiton marinus",18,"Gill Net Aplochitonera 3mX5m  X2","Estero Anguai (Chepu)","Cristian Correa, Camila Sola, Consuelo Guevara, Maryse Boisjoly","","CC BY-NC 4.0","Cristián Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa, Cristián, Maryse Boisjoly (2023) Base de datos empírica de peces de Chile. Valdivia, Chile.","Fish Database Correa-Boisjoly","Ocurrence"
"Estero Anguai, Chepu",-42.04670498,-73.97106503,2017,2017-02-18,"Aplochiton marinus",4,"Gill Net Aplochitonera 1.5mX7m","Estero Anguai (Chepu)","Cristian Correa, Camila Sola, Consuelo Guevara, Maryse Boisjoly","","CC BY-NC 4.0","Cristián Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa, Cristián, Maryse Boisjoly (2023) Base de datos empírica de peces de Chile. Valdivia, Chile.","Fish Database Correa-Boisjoly","Ocurrence"
"Estero Anguai, Chepu",-42.04620902,-73.97086102,2017,2017-02-18,"Aplochiton marinus",4,"Fyke net","Estero Anguai (Chepu)","Cristian Correa, Camila Sola, Consuelo Guevara, Maryse Boisjoly","","CC BY-NC 4.0","Cristián Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa, Cristián, Maryse Boisjoly (2023) Base de datos empírica de peces de Chile. Valdivia, Chile.","Fish Database Correa-Boisjoly","Ocurrence"
"Estero Anguai, Chepu",-42.04620902,-73.97086102,2017,2017-02-18,"Eleginops maclovinus",5,"Fyke net","Estero Anguai (Chepu)","Cristian Correa, Camila Sola, Consuelo Guevara, Maryse Boisjoly","","CC BY-NC 4.0","Cristián Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa, Cristián, Maryse Boisjoly (2023) Base de datos empírica de peces de Chile. Valdivia, Chile.","Fish Database Correa-Boisjoly","Ocurrence"
