Site name,Locality,Site (waypoint 2014),Lat_effort,Lon_effort,SiteGear_FieldID,Year,Date,Fishing effort_Id,Technique,Fish_Id,Given ID,YYYY-MM-DD,Species,N Individuals,Preserved?,Crew,bibliographicCitation,associatedReferences
Castor,Lago Castor,,-45.600278,-71.781556,,2007,6-7 Feb 2007,11,Fly fishing,12,1,2007-02-07,Galaxias platei,,No,Cristian Correa,"Correa, C., and Hendry, A.P. 2012. Invasive salmonids and lake order interact in the decline of puye grande Galaxias platei in western Patagonia lakes. Ecological Applications 22(3): 828–842. doi:10.1890/11-1174.1.",(Correa and Hendry 2012)
Castor,Lago Castor,,-45.600278,-71.781556,,2007,7-8 Feb 2007,30,Trapping,13,5,2007-02-08,Galaxias platei,,no,Cristian Correa,"Correa, C., Bravo, A.P., and Hendry, A.P. 2012. Reciprocal trophic niche shifts in native and invasive fish: salmonids and galaxiids in Patagonian lakes. Freshwater Biology 57(9): 1769–1781.",(Correa et al. 2012)
Castor,Lago Castor,,-45.600278,-71.781556,,2007,7-8 Feb 2007,30,Trapping,13,5,2007-02-08,Galaxias platei,,no,Cristian Correa,"Correa, C., and Hendry, A.P. 2012. Invasive salmonids and lake order interact in the decline of puye grande Galaxias platei in western Patagonia lakes. Ecological Applications 22(3): 828–842. doi:10.1890/11-1174.1.",(Correa and Hendry 2012)
Castor,Lago Castor,,-45.600278,-71.781556,,2007,7-8 Feb 2007,32,Trapping,14,6,2007-02-08,Galaxias platei,,no,Cristian Correa,"Correa, C., Bravo, A.P., and Hendry, A.P. 2012. Reciprocal trophic niche shifts in native and invasive fish: salmonids and galaxiids in Patagonian lakes. Freshwater Biology 57(9): 1769–1781.",(Correa et al. 2012)
Castor,Lago Castor,,-45.600278,-71.781556,,2007,7-8 Feb 2007,32,Trapping,14,6,2007-02-08,Galaxias platei,,no,Cristian Correa,"Correa, C., and Hendry, A.P. 2012. Invasive salmonids and lake order interact in the decline of puye grande Galaxias platei in western Patagonia lakes. Ecological Applications 22(3): 828–842. doi:10.1890/11-1174.1.",(Correa and Hendry 2012)
Castor,Lago Castor,,-45.600278,-71.781556,,2007,7-8 Feb 2007,37,Bottom gillnet S,15,2,2007-02-08,Galaxias platei,,no,Cristian Correa,"Correa, C., and Hendry, A.P. 2012. Invasive salmonids and lake order interact in the decline of puye grande Galaxias platei in western Patagonia lakes. Ecological Applications 22(3): 828–842. doi:10.1890/11-1174.1.",(Correa and Hendry 2012)
Castor,Lago Castor,,-45.600278,-71.781556,,2007,7-8 Feb 2007,37,Bottom gillnet S,16,3,2007-02-08,Galaxias platei,,no,Cristian Correa,"Correa, C., Bravo, A.P., and Hendry, A.P. 2012. Reciprocal trophic niche shifts in native and invasive fish: salmonids and galaxiids in Patagonian lakes. Freshwater Biology 57(9): 1769–1781.",(Correa et al. 2012)
Castor,Lago Castor,,-45.600278,-71.781556,,2007,7-8 Feb 2007,37,Bottom gillnet S,16,3,2007-02-08,Galaxias platei,,no,Cristian Correa,"Correa, C., and Hendry, A.P. 2012. Invasive salmonids and lake order interact in the decline of puye grande Galaxias platei in western Patagonia lakes. Ecological Applications 22(3): 828–842. doi:10.1890/11-1174.1.",(Correa and Hendry 2012)
Castor,Lago Castor,,-45.600278,-71.781556,,2007,7-8 Feb 2007,37,Bottom gillnet S,17,4,2007-02-08,Galaxias platei,,no,Cristian Correa,"Correa, C., Bravo, A.P., and Hendry, A.P. 2012. Reciprocal trophic niche shifts in native and invasive fish: salmonids and galaxiids in Patagonian lakes. Freshwater Biology 57(9): 1769–1781.",(Correa et al. 2012)
Castor,Lago Castor,,-45.600278,-71.781556,,2007,7-8 Feb 2007,37,Bottom gillnet S,17,4,2007-02-08,Galaxias platei,,no,Cristian Correa,"Correa, C., and Hendry, A.P. 2012. Invasive salmonids and lake order interact in the decline of puye grande Galaxias platei in western Patagonia lakes. Ecological Applications 22(3): 828–842. doi:10.1890/11-1174.1.",(Correa and Hendry 2012)
Castor,Lago Castor,,-45.600278,-71.781556,,2007,7-8 Feb 2007,37,Bottom gillnet S,18,7,2007-02-08,Galaxias platei,,no,Cristian Correa,"Correa, C., Bravo, A.P., and Hendry, A.P. 2012. Reciprocal trophic niche shifts in native and invasive fish: salmonids and galaxiids in Patagonian lakes. Freshwater Biology 57(9): 1769–1781.",(Correa et al. 2012)
Castor,Lago Castor,,-45.600278,-71.781556,,2007,7-8 Feb 2007,37,Bottom gillnet S,18,7,2007-02-08,Galaxias platei,,no,Cristian Correa,"Correa, C., and Hendry, A.P. 2012. Invasive salmonids and lake order interact in the decline of puye grande Galaxias platei in western Patagonia lakes. Ecological Applications 22(3): 828–842. doi:10.1890/11-1174.1.",(Correa and Hendry 2012)
Castor,Lago Castor,,-45.600278,-71.781556,,2007,7-8 Feb 2007,37,Bottom gillnet S,19,9,2007-02-08,Oncorhynchus mykiss,,no,Cristian Correa,"Correa, C., Bravo, A.P., and Hendry, A.P. 2012. Reciprocal trophic niche shifts in native and invasive fish: salmonids and galaxiids in Patagonian lakes. Freshwater Biology 57(9): 1769–1781.",(Correa et al. 2012)
Castor,Lago Castor,,-45.600278,-71.781556,,2007,7-8 Feb 2007,37,Bottom gillnet S,19,9,2007-02-08,Oncorhynchus mykiss,,no,Cristian Correa,"Correa, C., and Hendry, A.P. 2012. Invasive salmonids and lake order interact in the decline of puye grande Galaxias platei in western Patagonia lakes. Ecological Applications 22(3): 828–842. doi:10.1890/11-1174.1.",(Correa and Hendry 2012)
Castor,Lago Castor,,-45.600278,-71.781556,,2007,7-8 Feb 2007,38,Bottom gillnet L,20,8,2007-02-08,Galaxias platei,,no,Cristian Correa,"Correa, C., Bravo, A.P., and Hendry, A.P. 2012. Reciprocal trophic niche shifts in native and invasive fish: salmonids and galaxiids in Patagonian lakes. Freshwater Biology 57(9): 1769–1781.",(Correa et al. 2012)
Castor,Lago Castor,,-45.600278,-71.781556,,2007,7-8 Feb 2007,38,Bottom gillnet L,20,8,2007-02-08,Galaxias platei,,no,Cristian Correa,"Correa, C., and Hendry, A.P. 2012. Invasive salmonids and lake order interact in the decline of puye grande Galaxias platei in western Patagonia lakes. Ecological Applications 22(3): 828–842. doi:10.1890/11-1174.1.",(Correa and Hendry 2012)
Castor,Lago Castor,,-45.600278,-71.781556,,2007,7-8 Feb 2007,38,Bottom gillnet L,21,10,2007-02-08,Oncorhynchus mykiss,,no,Cristian Correa,"Correa, C., and Hendry, A.P. 2012. Invasive salmonids and lake order interact in the decline of puye grande Galaxias platei in western Patagonia lakes. Ecological Applications 22(3): 828–842. doi:10.1890/11-1174.1.",(Correa and Hendry 2012)
Castor,Lago Castor,,-45.600278,-71.781556,,2007,10 Feb 2007,39,Electric fishing,22,ca11,2007-02-10,Galaxias platei,,Formalin,Cristian Correa,"Correa, C., and Hendry, A.P. 2012. Invasive salmonids and lake order interact in the decline of puye grande Galaxias platei in western Patagonia lakes. Ecological Applications 22(3): 828–842. doi:10.1890/11-1174.1.",(Correa and Hendry 2012)
Castor,Lago Castor,,-45.600278,-71.781556,,2007,10 Feb 2007,39,Electric fishing,23,ca12,2007-02-10,Galaxias platei,,Formalin,Cristian Correa,"Correa, C., and Hendry, A.P. 2012. Invasive salmonids and lake order interact in the decline of puye grande Galaxias platei in western Patagonia lakes. Ecological Applications 22(3): 828–842. doi:10.1890/11-1174.1.",(Correa and Hendry 2012)
Castor,Lago Castor,,-45.600278,-71.781556,,2007,10 Feb 2007,39,Electric fishing,24,ca13,2007-02-10,Galaxias platei,,Formalin,Cristian Correa,"Correa, C., and Hendry, A.P. 2012. Invasive salmonids and lake order interact in the decline of puye grande Galaxias platei in western Patagonia lakes. Ecological Applications 22(3): 828–842. doi:10.1890/11-1174.1.",(Correa and Hendry 2012)
Castor,Lago Castor,,-45.600278,-71.781556,,2007,10 Feb 2007,39,Electric fishing,25,ca14,2007-02-10,Galaxias platei,,Formalin,Cristian Correa,"Correa, C., and Hendry, A.P. 2012. Invasive salmonids and lake order interact in the decline of puye grande Galaxias platei in western Patagonia lakes. Ecological Applications 22(3): 828–842. doi:10.1890/11-1174.1.",(Correa and Hendry 2012)
