"Species_ID","Site_ID","Ref_ID","Species","Species_Diagnostic","Identification_method","Suspected Species","Abund_Percent","Biomass_Percent","Number_Specimens_Caught","Diet_Info","Gonad_Score","Maen_Size","Max_Size","Min_Size","Mean_Weight","Max_Weight","Min_Weight","Notes","OLD_Capture_ID","OLD_Site_ID","OLD_ID","OLD_Ref_ID","Morphological_Description","Ecology","Type_of_Record","Museum","Measurement"
1,1,1,"Salmo trutta",,,,"?","?",,,,,,,,,,"News published in the newspaper ""El Mercurio"" (1903) and cited in Basulto 2003: A man from Lota caught three individuals of the European common trout, one of which it is exhibited in the Natural History Museum of Chile.",2691,"63.01","63.1.1",1,,,,,
2,2,1,"?",,,,"?","?",,,,,,,,,,"In 1907, Golusda wrote that from diverse points of the republic they have been informed of wild salmon presence. In the Aconcagua river these fish were caught by Antonio Ruiz and Mr. Varas who occupied public positions (cited in Basulto 2003).",2692,"63.02","63.2.1",1,,,,,
3,3,1,"?",,,,"?","?",,,,,,,,,,"In 1907, Golusda wrote that from diverse points of the republic they have received news from people who caught salmon in the wild. In the Angostura river these fish were caught by Mr. S. de Toro Herrera (cited in Basulto 2003).",2693,"63.03","63.3.1",1,,,,,
4,4,1,"?",,,,"?","?",,,,,,,,,,"In 1907 Golusda wrote that from diverse points of the republic wild salmon presence have been reported. In the Paine river these fish were commonly caught, and salmon were seen being sold at the San Francisco de Mostazal marquet (in Basulto 2003).",2694,"63.04","63.4.1",1,,,,,
5,5,1,"?",,,,"?","?",,,,,,,,,,"In 1907, Golusda wrote that from diverse points of the republic they have received news from people who caught salmons in the wild. In the Tinguiririca river salmon are caught time to time (cited in Basulto 2003).",2695,"63.05","63.5.1",1,,,,,
6,6,1,"?",,,,"?","?",,,,,,,,,,"In 1907, Golusda wrote that from diverse points of the republic they have received news from people who caught salmons in the wild. In the Cautín river salmon have been caught as well (cited in Basulto 2003).",2696,"63.06","63.6.1",1,,,,,
7,7,1,"?",,,,"?","?",,,,,,,,,,"In 1907, Golusda wrote that from diverse points of the republic they have been informed of wild salmon presence. Mr. Matías Alarcón caught several salmon in the Imperial river and sent some to Golusda's section (cited in Basulto 2003).",2697,"63.07","63.7.1",1,,,,,
8,8,1,"?",,,,"?","?",,,,,,,,,,"In 1907, Golusda wrote that from diverse points of the republic they have received news from people who caught salmons in the wild. Mr. Francisco Puelma who was a doctor ate salmon caught in the Tolten river near Pitrufquen (cited in Basulto 2003).",2698,"63.08","63.8.1",1,,,,,
9,9,1,"?",,,,"?","?",,,,,,,,,,"The local newspaper ""La Provincia"" (9 March 1910) published an article that states that several great sized salmon were caught in the Estero Chimbarongo, in the Quinta area (cited in Basulto 2003).",2699,"63.09","63.9.1",1,,,,,
10,10,1,,,,,"?","?",,,,,,,,,,"Hugo Seifert, stated that personnel of the Río Blanco Pisciculture have captured in the Aconcagua and Blanco river 143 salmon in 1912, 410 in 1913, 505 in 1914, 642 in 1915, and 230 in Jan and Feb of 1916. The later comprised indiv. of 56cm and 4.5k.",2700,"63.10","63.10.1",1,,,,,
11,11,1,,,,,"?","?",,,,,,,,,,"Hugo Seifert, stated that personnel of the Río Blanco Pisciculture have captured in the Aconcagua and Blanco river 143 salmon in 1912, 410 in 1913, 505 in 1914, 642 in 1915, and 230 in Jan and Feb of 1916. The later comprised indiv. of 56cm and 4.5k.",2701,"63.11","63.11.1",1,,,,,
12,12,1,"Oncorhynchus mykiss",,,,"?","?",,,,,,,,,,"In the Blanco river, 50cm long ""farios"", ""fontinalis"", and ""irideus"" are easily catch with traps for the local pisciculture works (Sage, C. 1912. in Basulto 2003).",2702,"63.12","63.12.1",1,,,,,
13,12,1,"Salmo trutta",,,,"?","?",,,,,,,,,,"In the Blanco river, 50cm long ""farios"", ""fontinalis"", and ""irideus"" are easily catch with traps for the local pisciculture works (Sage, C. 1912. in Basulto 2003).",2703,"63.12","63.12.2",1,,,,,
14,12,1,"Salvelinus fontinalis",,,,"?","?",,,,,,,,,,"In the Blanco river, 50cm long ""farios"", ""fontinalis"", and ""irideus"" are easily catch with traps for the local pisciculture works (Sage, C. 1912. in Basulto 2003).",2704,"63.12","63.12.3",1,,,,,
15,13,1,"Salmo salar",,,,"?","?",,,,,,,,,,"The common salmon (Atlantic salmon) have not succeeded in the Aconcagua river yet in the large rivers of the south--such as Cautín, Toltén, Calle-Calle, and Bueno-- they have found very favourable conditions (Sage, C. 1912 in Basulto 2003).",2705,"63.13","63.13.1",1,,,,,
16,14,1,"Salmo salar",,,,"?","?",,,,,,,,,,"The common salmon (Atlantic salmon) have not succeeded in the Aconcagua river yet in the large rivers of the south--such as Cautín, Toltén, Calle-Calle, and Bueno-- they have found very favourable conditions (Sage, C. 1912 in Basulto 2003).",2706,"63.14","63.14.1",1,,,,,
17,15,1,"Salmo salar",,,,"?","?",,,,,,,,,,"The common salmon (Atlantic salmon) have not succeeded in the Aconcagua river yet in the large rivers of the south--such as Cautín, Toltén, Calle-Calle, and Bueno-- they have found very favourable conditions (Sage, C. 1912 in Basulto 2003).",2707,"63.15","63.15.1",1,,,,,
18,16,1,"Salmo salar",,,,"?","?",,,,,,,,,,"The common salmon (Atlantic salmon) have not succeeded in the Aconcagua river yet in the large rivers of the south--such as Cautín, Toltén, Calle-Calle, and Bueno-- they have found very favourable conditions (Sage, C. 1912 in Basulto 2003).",2708,"63.16","63.16.1",1,,,,,
19,17,1,"Salvelinus fontinalis",,,,"?","?",,,,,,,,,,"Brook trout cross the Todos Los Santos lake and are fished in the Petrohué river. Also are found in the Manso and Puelo that flow from Argentina, where the species has reached an wide distribution (Heussen, A. 1998 in Basulto 2003).",2709,"63.17","63.17.1",1,,,,,
20,18,1,"Salvelinus fontinalis",,,,"?","?",,,,,,,,,,"Brook trout cross the Todos Los Santos lake and are fished in the Petrohué river. Also are found in the Manso and Puelo that flow from Argentina, where the species has reached an wide distribution (Heussen, A. 1998 in Basulto 2003).",2710,"63.18","63.18.1",1,,,,,
21,19,1,"Salvelinus fontinalis",,,,"?","?",,,,,,,,,,"Brook trout cross the Todos Los Santos lake and are fished in the Petrohué river. Also are found in the Manso and Puelo that flow from Argentina, where the species has reached an wide distribution (Heussen, A. 1998 in Basulto 2003).",2711,"63.19","63.19.1",1,,,,,
22,20,1,"?",,,,"?","?",,,,,,,,,,"In February, 1931, a professional who was measuring the Tic-Toc bay, reported the gillnetting of abundant 'salmonid trout' and 'king salmon' of 4.5k average. Eight years before, salmonid eggs were stocked in the area (Fegerstom 1989 in Basulto 2003).",2712,"63.20","63.20.1",1,,,,,
23,20,1,"Oncorhynchus tshawytscha",,,,"?","?",,,,,,,,,,"In February, 1931, a professional who was measuring the Tic-Toc bay, reported the gillnetting of abundant 'salmonid trout' and 'king salmon' of 4.5k average. Eight years before, salmonid eggs were stocked in the area (Fegerstom 1989 in Basulto 2003).",2713,"63.20","63.20.2",1,,,,,
24,21,1,"Salmo salar",,,,"?","?",,,,,,,,,,"Golusda (1941) confirmed the prescence of Rhin's salmon (Atlantic salmon) of 14 to 15 k in the mouth of River Cisnes, in salt water (Golusda, P. 1941 in Basulto 2003).",2714,"63.21","63.21.1",1,,,,,
25,22,1,"Salmo salar",,,,"?","?",,,,,,,,,,"Fishermen often catch salmon with teir nets; in 1938, Barros identified and described the fish as Atlantic salmon (Barros, R. 1942 in Basulto 2003).",2715,"63.22","63.22.1",1,,,,,
26,23,1,"Oncorhynchus keta",,,,"?","?",,,,,,,,,,"Only the chum salmon were reported.",2716,"63.23","63.23.1",1,,,,,
27,24,1,"Oncorhynchus masou",,,,"?","?",,,,,,,,,,"Only the cherry salmon were reported. In March, 1989, a 600 salmon run was detected going back to spawn to the the site where were released (Nakazawa, A. and M. Sakai 1989 in Basulto 2003.).",2717,"63.24","63.24.1",1,,,,,
28,25,2,"Oncorhynchus tshawytscha",,,,"?","?",,,,,,,,,,"Robert Behnke observed adults (assumed to be in a spawning run) and smolts from the previous year's spawning.",1431,"01.01","1.1.1",2,,,,,
29,26,3,"Oncorhynchus mykiss",,,,"100",,,,,,,,,,,,1432,"02.01","2.1.1",6,,,,,
30,27,3,"Oncorhynchus mykiss",,,,"44,44",,,,,,,,,,,,1433,"02.02","2.2.1",6,,,,,
31,27,3,"Salmo trutta",,,,"22,22",,,,,,,,,,,,1434,"02.02","2.2.2",6,,,,,
32,27,3,"Oncorhynchus kisutch",,,,"33,33",,,,,,,,,,,,1435,"02.02","2.2.3",6,,,,,
33,28,3,"Oncorhynchus mykiss",,,,"35,29",,,,,,,,,,,,1436,"02.03","2.3.1",6,,,,,
34,28,3,"Salmo trutta",,,,"52,94",,,,,,,,,,,,1437,"02.03","2.3.2",6,,,,,
35,28,3,"Oncorhynchus kisutch",,,,"11,76",,,,,,,,,,,,1438,"02.03","2.3.3",6,,,,,
36,29,3,"Oncorhynchus mykiss",,,,"32,1",,,,,,,,,,,,1439,"02.04","2.4.1",6,,,,,
37,29,3,"Salmo trutta",,,,"18,52",,,,,,,,,,,,1440,"02.04","2.4.2",6,,,,,
38,29,3,"Oncorhynchus kisutch",,,,"43,21",,,,,,,,,,,,1441,"02.04","2.4.3",6,,,,,
39,29,3,"Oncorhynchus tshawytscha",,,,"2,47",,,,,,,,,,,,1442,"02.04","2.4.4",6,,,,,
40,29,3,"Galaxias platei",,,,"2,47",,,,,,,,,,,,1443,"02.04","2.4.5",6,,,,,
41,29,3,"Brachygalaxias bullocki",,,,"1,23",,,,,,,,,,,,1444,"02.04","2.4.6",6,,,,,
42,30,3,"Oncorhynchus mykiss",,,,"8,57",,,,,,,,,,,,1445,"02.05","2.5.1",6,,,,,
43,30,3,"Salmo trutta",,,,"20",,,,,,,,,,,,1446,"02.05","2.5.2",6,,,,,
44,30,3,"Oncorhynchus kisutch",,,,"67,86",,,,,,,,,,,,1447,"02.05","2.5.3",6,,,,,
45,30,3,"Galaxias platei",,,,"3,57",,,,,,,,,,,,1448,"02.05","2.5.4",6,,,,,
46,31,3,"Oncorhynchus mykiss",,,,"3,75",,,,,,,,,,,,1449,"02.06","2.6.1",6,,,,,
47,31,3,"Salmo trutta",,,,"5",,,,,,,,,,,,1450,"02.06","2.6.2",6,,,,,
48,31,3,"Oncorhynchus kisutch",,,,"83,75",,,,,,,,,,,,1451,"02.06","2.6.3",6,,,,,
49,31,3,"Galaxias platei",,,,"7,5",,,,,,,,,,,,1452,"02.06","2.6.4",6,,,,,
50,32,3,"Oncorhynchus mykiss",,,,"6,78",,,,,,,,,,,,1453,"02.07","2.7.1",6,,,,,
51,32,3,"Salmo trutta",,,,"16,1",,,,,,,,,,,,1454,"02.07","2.7.2",6,,,,,
52,32,3,"Oncorhynchus kisutch",,,,"75,42",,,,,,,,,,,,1455,"02.07","2.7.3",6,,,,,
53,32,3,"Salmo salar",,,,"0,85",,,,,,,,,,,,1456,"02.07","2.7.4",6,,,,,
54,32,3,"Galaxias platei",,,,"0,85",,,,,,,,,,,,1457,"02.07","2.7.5",6,,,,,
55,33,3,"Oncorhynchus mykiss",,,,"5,15",,,,,,,,,,,,1458,"02.08","2.8.1",6,,,,,
56,33,3,"Salmo trutta",,,,"3,68",,,,,,,,,,,,1459,"02.08","2.8.2",6,,,,,
57,33,3,"Oncorhynchus kisutch",,,,"65,44",,,,,,,,,,,,1460,"02.08","2.8.3",6,,,,,
58,33,3,"Salmo salar",,,,"22,06",,,,,,,,,,,,1461,"02.08","2.8.4",6,,,,,
59,33,3,"Oncorhynchus tshawytscha",,,,"0,74",,,,,,,,,,,,1462,"02.08","2.8.5",6,,,,,
60,33,3,"Galaxias platei",,,,"1,47",,,,,,,,,,,,1463,"02.08","2.8.6",6,,,,,
