Ref_ID,Origin of data,Type of document,Author,Year,Title,Journal or Editorial,Vol  Pag,To be reviewed,OLD REF_ID,Notes
1,,Book,"Basulto del Campo, S.",2003,El largo viaje de los salmones. Una crónica olvidada. Propagación y cultivo de especies acuáticas en Chile.,"Maval Ltda. Santiago, Chile.",299pp.,,1,
2,,Book,"Behnke, Robert J.; illustrated by  Joseph R. Tomelleri; froreword by Thomas McGuane.",2002,Trout and Salmon of North America,"The free press, New York.",359pp.,,2,
3,,Thesis,"Wood, Jonathan D.",1997,The distribution of feral salmonids in inland Chilean Waters.,"Unpublishes thesis to obtain the degree of M.Sc. In Aquaculture, University of Stirling",85pp.,,6,
4,,Unpub. Report,"Sanzana, José del Carmen",2002,Plan de manejo de la población de trucha arcoiris para la pesca deportiva en el lago Llanquihue.,Universidad Austral de Chile. Tesis para optar al título de ingeniero pesquero con mención en pesquerías.,83 pp.,,7,
5,,Unpub. Report,Fernando Jara S. & Doris Soto B.,1997,Recaptura salmones retornantes en río Petrohué.,Universidad Austral de Chile,19pp.,,8,
6,,Unpub. Report,Doris Soto B.and Ivan Arismendi V.,2001,"Evaluacion, ordenamiento y manejo  del potencial biológico para la pesca deportiva de la región de los lagos.",Gobierno Regional de Los Lagos Fondo Nacional de Desarrollo Regional (FNDR) código B.I.P. 20109755-0; Universidad Austral de Chile,,"Doublecheck 'Bagre'. What species? (Lado Pte Collico, Ranco)",9,
7,,Unpub. Report,"Soto, D.",2002,Estudio del ciclo reproductivo de las principales especies objetivo de la pesca deportiva en la X región.,Proyecto FIP  2000-24 (2000-2001),,,10,
8,,Unpub. Report,"Campos, Hugo, José Arenas, Wadimir Steffen, Gloria Agüero, Lorena Villalobos and Gastón Gonzales",1985,Investigación de la capacidad de cultivo de salmonideos de las principales huyas hidrográficas de país; III antecedentes limnológicos hoya lago Rupanco.,"CORFO, IFOP, Universidad Austral de Chile",405,"Where is Calle-Calle river? (tributary of Rupanco Lake, not the great Calle-Calle). That site have not been indexed yet.",13,
9,,Paper,"Martínez, Ginger; Nelson Bugueño e Irma Vila",1999,"Orestias acotanensis Parenti, 1984 en el salar de Ascotán.",Noticiero Mensual del Museo de Historia Natural,139: 7-12.,,14,
10,,Paper,"Vila, Irma; Leopoldo Fuentes, Marcelo Saavedra",1999,"Ictiofauna en los sistemas límnicos de la isla grande, Tierra del Fuego, Chile.",Revista Chilena de Historia Natural,72: 273-284,,16,
