decimalLongitude,decimalLatitude,Site_ID,ODBC:FishGIS_metaDatabase AllFish_Ref_ID,ODBC:FishGIS_metaDatabase AllFish_Author,ODBC:FishGIS_metaDatabase AllFish_OLD_SITE_ID,ODBC:FishGIS_metaDatabase AllFish_Site_Name,ODBC:FishGIS_metaDatabase AllFish_Notes,ODBC:FishGIS_metaDatabase AllFish_Site_Precision,ODBC:FishGIS_metaDatabase AllFish_Years,ODBC:FishGIS_metaDatabase AllFish_Species,ODBC:FishGIS_metaDatabase AllFish_Abund_Percent
-73.16185,-37.14087,"1","1","Basulto del Campo, S.","63.01",Río Chivilingo,,approximate,"1903",Salmo trutta,?
-70.48440,-32.85796,"2","1","Basulto del Campo, S.","63.02",Río Aconcagua,,"General; Aconcagua river.","1907",?,?
-70.73605,-33.90194,"3","1","Basulto del Campo, S.","63.03",Río Angostura,,"General; Angostura river.","1907",?,?
-70.76098,-33.83556,"4","1","Basulto del Campo, S.","63.04",Río Paine,,"Approximate; Paine river.","1907",?,?
-70.97234,-34.61627,"5","1","Basulto del Campo, S.","63.05",Río Tinguiririca,,"General; Tinguiririca river.","1907",?,?
-72.35559,-38.47443,"6","1","Basulto del Campo, S.","63.06",Río Cautín,,"General; Cautin river.","1907",?,?
-73.00270,-38.74329,"7","1","Basulto del Campo, S.","63.07",Río Imperial,,"General; Imperial River.","1907",?,?
-72.66588,-38.97788,"8","1","Basulto del Campo, S.","63.08",Río Tolten,,"Approximate; Tolten river near Pitrufquen.","1907",?,?
-71.19702,-34.71356,"9","1","Basulto del Campo, S.","63.09",Estero de Chimbarongo,,"Approximate; Estero Chimbarongo.","1910",?,?
-70.28485,-32.92810,"10","1","Basulto del Campo, S.","63.10",Río Blanco,,"Approximate; Blanco river.","1912, 1913, 1914, 1915, 1916",,?
-70.25505,-32.90213,"11","1","Basulto del Campo, S.","63.11",Río Aconcagua,,"Approximate; Blanco river.","1912, 1913, 1914, 1915, 1916",,?
-70.29009,-32.92240,"12","1","Basulto del Campo, S.","63.12",Río Blanco,,Approximate,"1912",Salvelinus fontinalis,?
-72.40108,-38.50685,"13","1","Basulto del Campo, S.","63.13",Río Cautín,,General,"1912",Salmo salar,?
-72.42592,-39.08842,"14","1","Basulto del Campo, S.","63.14",Río Toltén,,General,"1912",Salmo salar,?
-72.86623,-39.81240,"15","1","Basulto del Campo, S.","63.15",Río Calle-Calle,,General,"1912",Salmo salar,?
-73.02677,-40.32459,"16","1","Basulto del Campo, S.","63.16",Río Bueno,,General,"1912",Salmo salar,?
-72.42929,-41.14823,"17","1","Basulto del Campo, S.","63.17",Río Petrohué,,General,"1932",Salvelinus fontinalis,?
-71.94293,-41.63285,"18","1","Basulto del Campo, S.","63.18",Río Manso,,General,"1932",Salvelinus fontinalis,?
-72.09055,-41.70779,"19","1","Basulto del Campo, S.","63.19",Río Puelo,,General,"1932",Salvelinus fontinalis,?
-72.94168,-43.62392,"20","1","Basulto del Campo, S.","63.20",Bahía Tic-Toc,,Approximate,"1931",Oncorhynchus tshawytscha,?
-72.70839,-44.74037,"21","1","Basulto del Campo, S.","63.21",Río Cisnes,,Approximate,"1941",Salmo salar,?
-72.08807,-34.74437,"22","1","Basulto del Campo, S.","63.22",Llico,,Approximate,"1938",Salmo salar,?
-72.41107,-51.73711,"23","1","Basulto del Campo, S.","63.23",Nearby Pto. Natales,,General,"1986",Oncorhynchus keta,?
-71.97437,-46.28580,"24","1","Basulto del Campo, S.","63.24","Pto. Ibañez, Lago General Carrera",,General,"1989",Oncorhynchus masou,?
-72.15183,-45.64443,"25","2","Behnke, Robert J.; illustrated by  Joseph R. Tomelleri; froreword by Thomas McGuane.","01.01","Río Simpson, near Coihaique, about 50 km from the mouth of the river.",,,"2001",Oncorhynchus tshawytscha,?
-72.78084,-41.26186,"26","3","Wood, Jonathan D.","02.01",Site 1: Río Pescado,,,"1997",Oncorhynchus mykiss,"100"
-72.78084,-41.26186,"26","3","Wood, Jonathan D.","02.01",Site 1: Río Pescado,,,"1997",Oncorhynchus mykiss,"100"
-72.60836,-41.23239,"27","3","Wood, Jonathan D.","02.02",Site 2: Río Molina.,,,"1997",Oncorhynchus kisutch,"33,33"
-72.60836,-41.23239,"27","3","Wood, Jonathan D.","02.02",Site 2: Río Molina.,,,"1997",Oncorhynchus kisutch,"33,33"
-72.56329,-41.17417,"28","3","Wood, Jonathan D.","02.03",Site 3: Río Blanco II.,,,"1997",Oncorhynchus kisutch,"11,76"
-72.56329,-41.17417,"28","3","Wood, Jonathan D.","02.03",Site 3: Río Blanco II.,,,"1997",Oncorhynchus kisutch,"11,76"
-72.64620,-41.07091,"29","3","Wood, Jonathan D.","02.04",Site 4: Río La Antartica.,,,"1997",Brachygalaxias bullocki,"1,23"
-72.64620,-41.07091,"29","3","Wood, Jonathan D.","02.04",Site 4: Río La Antartica.,,,"1997",Brachygalaxias bullocki,"1,23"
-72.64917,-41.06725,"30","3","Wood, Jonathan D.","02.05",Site 5: Río Las Cantarias,,,"1997",Galaxias platei,"3,57"
-72.64917,-41.06725,"30","3","Wood, Jonathan D.","02.05",Site 5: Río Las Cantarias,,,"1997",Galaxias platei,"3,57"
-72.67273,-41.00889,"31","3","Wood, Jonathan D.","02.06",Site 6: Río Las Cascales II,,,"1997",Galaxias platei,"7,5"
-72.67273,-41.00889,"31","3","Wood, Jonathan D.","02.06",Site 6: Río Las Cascales II,,,"1997",Galaxias platei,"7,5"
-72.81671,-40.96353,"32","3","Wood, Jonathan D.","02.07",Site 7: Río Playa Maiténes,,,"1997",Galaxias platei,"0,85"
-72.81671,-40.96353,"32","3","Wood, Jonathan D.","02.07",Site 7: Río Playa Maiténes,,,"1997",Galaxias platei,"0,85"
-72.92200,-41.03064,"33","3","Wood, Jonathan D.","02.08",Site 8: Río Quillanto,,,"1997",Galaxias maculatus,"1,47"
-72.92200,-41.03064,"33","3","Wood, Jonathan D.","02.08",Site 8: Río Quillanto,,,"1997",Galaxias maculatus,"1,47"
-72.96165,-41.40441,"34","3","Wood, Jonathan D.","02.09",Site 9: Río Negro,,,"1997",Cheirodon australe,"3,95"
-72.96165,-41.40441,"34","3","Wood, Jonathan D.","02.09",Site 9: Río Negro,,,"1997",Cheirodon australe,"3,95"
-73.17260,-41.46184,"35","3","Wood, Jonathan D.","02.10",Site 10: Río Chaquihua,,,"1997",Pygidium (Trichomycterus) aerolatum,"19,44"
-73.17260,-41.46184,"35","3","Wood, Jonathan D.","02.10",Site 10: Río Chaquihua,,,"1997",Pygidium (Trichomycterus) aerolatum,"19,44"
