"occurrenceID","decimalLongitude","decimalLatitude","locality","scientificName","year","eventDate","bibliographicCitation","eventRemarks","license","datasetName","datasetName_tmp","basisOfRecord"
"CCorrea.Lit.Review.19",-72.42929,-41.14823,"Río Petrohué","Salvelinus fontinalis",1932,"1932","Basulto del Campo, S. (2003) El largo viaje de los salmones. Una crónica olvidada. Propagación y cultivo de especies acuáticas en Chile.. Maval Ltda. Santiago, Chile. 299pp.","1932 Brook trout cross the Todos Los Santos lake and are fished in the Petrohué river. Also are found in the Manso and Puelo that flow from Argentina, where the species has reached an wide distribution (Heussen, A. 1998 in Basulto 2003). Geolocation: General","CC BY-NC 4.0","Literature review dataset of Chilean freshwater and diadromous fish occurrences, compiled by C. Correa (v2009)","FishGIS_metaDatabase_CCorrea","Occurrence"
"CCorrea.Lit.Review.20",-71.94293,-41.63285,"Río Manso","Salvelinus fontinalis",1932,"1932","Basulto del Campo, S. (2003) El largo viaje de los salmones. Una crónica olvidada. Propagación y cultivo de especies acuáticas en Chile.. Maval Ltda. Santiago, Chile. 299pp.","1932 Brook trout cross the Todos Los Santos lake and are fished in the Petrohué river. Also are found in the Manso and Puelo that flow from Argentina, where the species has reached an wide distribution (Heussen, A. 1998 in Basulto 2003). Geolocation: General","CC BY-NC 4.0","Literature review dataset of Chilean freshwater and diadromous fish occurrences, compiled by C. Correa (v2009)","FishGIS_metaDatabase_CCorrea","Occurrence"
"CCorrea.Lit.Review.21",-72.09055,-41.70779,"Río Puelo","Salvelinus fontinalis",1932,"1932","Basulto del Campo, S. (2003) El largo viaje de los salmones. Una crónica olvidada. Propagación y cultivo de especies acuáticas en Chile.. Maval Ltda. Santiago, Chile. 299pp.","1932 Brook trout cross the Todos Los Santos lake and are fished in the Petrohué river. Also are found in the Manso and Puelo that flow from Argentina, where the species has reached an wide distribution (Heussen, A. 1998 in Basulto 2003). Geolocation: General","CC BY-NC 4.0","Literature review dataset of Chilean freshwater and diadromous fish occurrences, compiled by C. Correa (v2009)","FishGIS_metaDatabase_CCorrea","Occurrence"
"CCorrea.Lit.Review.23",-72.94168,-43.62392,"Bahía Tic-Toc","Oncorhynchus tshawytscha",1931,"1931","Basulto del Campo, S. (2003) El largo viaje de los salmones. Una crónica olvidada. Propagación y cultivo de especies acuáticas en Chile.. Maval Ltda. Santiago, Chile. 299pp.","1931 In February, 1931, a professional who was measuring the Tic-Toc bay, reported the gillnetting of abundant 'salmonid trout' and 'king salmon' of 4.5k average. Eight years before, salmonid eggs were stocked in the area (Fegerstom 1989 in Basulto 2003). Geolocation: Approximate","CC BY-NC 4.0","Literature review dataset of Chilean freshwater and diadromous fish occurrences, compiled by C. Correa (v2009)","FishGIS_metaDatabase_CCorrea","Occurrence"
"CCorrea.Lit.Review.24",-72.70839,-44.74037,"Río Cisnes","Salmo salar",1941,"1941","Basulto del Campo, S. (2003) El largo viaje de los salmones. Una crónica olvidada. Propagación y cultivo de especies acuáticas en Chile.. Maval Ltda. Santiago, Chile. 299pp.","1941 Golusda (1941) confirmed the prescence of Rhin's salmon (Atlantic salmon) of 14 to 15 k in the mouth of River Cisnes, in salt water (Golusda, P. 1941 in Basulto 2003). Geolocation: Approximate","CC BY-NC 4.0","Literature review dataset of Chilean freshwater and diadromous fish occurrences, compiled by C. Correa (v2009)","FishGIS_metaDatabase_CCorrea","Occurrence"
"CCorrea.Lit.Review.26",-72.41107,-51.73711,"Nearby Pto. Natales","Oncorhynchus keta",1986,"1986","Basulto del Campo, S. (2003) El largo viaje de los salmones. Una crónica olvidada. Propagación y cultivo de especies acuáticas en Chile.. Maval Ltda. Santiago, Chile. 299pp.","1986 Only the chum salmon were reported. Geolocation: General","CC BY-NC 4.0","Literature review dataset of Chilean freshwater and diadromous fish occurrences, compiled by C. Correa (v2009)","FishGIS_metaDatabase_CCorrea","Occurrence"
"CCorrea.Lit.Review.27",-71.97437,-46.2858,"Pto. Ibañez, Lago General Carrera","Oncorhynchus masou",1989,"1989","Basulto del Campo, S. (2003) El largo viaje de los salmones. Una crónica olvidada. Propagación y cultivo de especies acuáticas en Chile.. Maval Ltda. Santiago, Chile. 299pp.","1989 Only the cherry salmon were reported. In March, 1989, a 600 salmon run was detected going back to spawn to the the site where were released (Nakazawa, A. and M. Sakai 1989 in Basulto 2003.). Geolocation: General","CC BY-NC 4.0","Literature review dataset of Chilean freshwater and diadromous fish occurrences, compiled by C. Correa (v2009)","FishGIS_metaDatabase_CCorrea","Occurrence"
"CCorrea.Lit.Review.28",-72.15183,-45.64443,"Río Simpson, near Coihaique, about 50 km from the mouth of the river.","Oncorhynchus tshawytscha",2001,"2001","Behnke, Robert J.; illustrated by  Joseph R. Tomelleri; froreword by Thomas McGuane. (2002) Trout and Salmon of North America. The free press, New York. 359pp.","2001 Robert Behnke observed adults (assumed to be in a spawning run) and smolts from the previous year's spawning.","CC BY-NC 4.0","Literature review dataset of Chilean freshwater and diadromous fish occurrences, compiled by C. Correa (v2009)","FishGIS_metaDatabase_CCorrea","Occurrence"
"CCorrea.Lit.Review.67",-72.77706,-41.43988,"Site 11: Río Ñanco","Oncorhynchus mykiss",1997,"1997","Wood, Jonathan D. (1997) The distribution of feral salmonids in inland Chilean Waters.. Unpublishes thesis to obtain the degree of M.Sc. In Aquaculture, University of Stirling 85pp.","1997 ","CC BY-NC 4.0","Literature review dataset of Chilean freshwater and diadromous fish occurrences, compiled by C. Correa (v2009)","FishGIS_metaDatabase_CCorrea","Occurrence"
"CCorrea.Lit.Review.68",-72.77706,-41.43988,"Site 11: Río Ñanco","Salmo trutta",1997,"1997","Wood, Jonathan D. (1997) The distribution of feral salmonids in inland Chilean Waters.. Unpublishes thesis to obtain the degree of M.Sc. In Aquaculture, University of Stirling 85pp.","1997 ","CC BY-NC 4.0","Literature review dataset of Chilean freshwater and diadromous fish occurrences, compiled by C. Correa (v2009)","FishGIS_metaDatabase_CCorrea","Occurrence"
