"decimalLongitude","decimalLatitude","locality","scientificName","year","bibliographicCitation","eventRemarks","license","datasetName","basisOfRecord"
-72.42929,-41.14823,"Río Petrohué","Salvelinus fontinalis",1932,"Basulto del Campo, S. (2003) El largo viaje de los salmones. Una crónica olvidada. Propagación y cultivo de especies acuáticas en Chile.. Maval Ltda. Santiago, Chile. 299pp.. Type of document: Book Notes: NA","1932  Geolocation: General","CC BY-NC 4.0","FishGIS_metaDatabase_CCorrea","Ocurrence"
-71.94293,-41.63285,"Río Manso","Salvelinus fontinalis",1932,"Basulto del Campo, S. (2003) El largo viaje de los salmones. Una crónica olvidada. Propagación y cultivo de especies acuáticas en Chile.. Maval Ltda. Santiago, Chile. 299pp.. Type of document: Book Notes: NA","1932  Geolocation: General","CC BY-NC 4.0","FishGIS_metaDatabase_CCorrea","Ocurrence"
-72.09055,-41.70779,"Río Puelo","Salvelinus fontinalis",1932,"Basulto del Campo, S. (2003) El largo viaje de los salmones. Una crónica olvidada. Propagación y cultivo de especies acuáticas en Chile.. Maval Ltda. Santiago, Chile. 299pp.. Type of document: Book Notes: NA","1932  Geolocation: General","CC BY-NC 4.0","FishGIS_metaDatabase_CCorrea","Ocurrence"
-72.94168,-43.62392,"Bahía Tic-Toc","Oncorhynchus tshawytscha",1931,"Basulto del Campo, S. (2003) El largo viaje de los salmones. Una crónica olvidada. Propagación y cultivo de especies acuáticas en Chile.. Maval Ltda. Santiago, Chile. 299pp.. Type of document: Book Notes: NA","1931  Geolocation: Approximate","CC BY-NC 4.0","FishGIS_metaDatabase_CCorrea","Ocurrence"
-72.70839,-44.74037,"Río Cisnes","Salmo salar",1941,"Basulto del Campo, S. (2003) El largo viaje de los salmones. Una crónica olvidada. Propagación y cultivo de especies acuáticas en Chile.. Maval Ltda. Santiago, Chile. 299pp.. Type of document: Book Notes: NA","1941  Geolocation: Approximate","CC BY-NC 4.0","FishGIS_metaDatabase_CCorrea","Ocurrence"
-72.41107,-51.73711,"Nearby Pto. Natales","Oncorhynchus keta",1986,"Basulto del Campo, S. (2003) El largo viaje de los salmones. Una crónica olvidada. Propagación y cultivo de especies acuáticas en Chile.. Maval Ltda. Santiago, Chile. 299pp.. Type of document: Book Notes: NA","1986  Geolocation: General","CC BY-NC 4.0","FishGIS_metaDatabase_CCorrea","Ocurrence"
-71.97437,-46.2858,"Pto. Ibañez, Lago General Carrera","Oncorhynchus masou",1989,"Basulto del Campo, S. (2003) El largo viaje de los salmones. Una crónica olvidada. Propagación y cultivo de especies acuáticas en Chile.. Maval Ltda. Santiago, Chile. 299pp.. Type of document: Book Notes: NA","1989  Geolocation: General","CC BY-NC 4.0","FishGIS_metaDatabase_CCorrea","Ocurrence"
-72.15183,-45.64443,"Río Simpson, near Coihaique, about 50 km from the mouth of the river.","Oncorhynchus tshawytscha",2001,"Behnke, Robert J.; illustrated by  Joseph R. Tomelleri; froreword by Thomas McGuane. (2002) Trout and Salmon of North America. The free press, New York. 359pp.. Type of document: Book Notes: NA","2001 ","CC BY-NC 4.0","FishGIS_metaDatabase_CCorrea","Ocurrence"
-72.77706,-41.43988,"Site 11: Río Ñanco","Velesia sp.",1997,"Wood, Jonathan D. (1997) The distribution of feral salmonids in inland Chilean Waters.. Unpublishes thesis to obtain the degree of M.Sc. In Aquaculture, University of Stirling 85pp.. Type of document: Thesis Notes: NA","1997 ","CC BY-NC 4.0","FishGIS_metaDatabase_CCorrea","Ocurrence"
-72.77706,-41.43988,"Site 11: Río Ñanco","Velesia sp.",1997,"Wood, Jonathan D. (1997) The distribution of feral salmonids in inland Chilean Waters.. Unpublishes thesis to obtain the degree of M.Sc. In Aquaculture, University of Stirling 85pp.. Type of document: Thesis Notes: NA","1997 ","CC BY-NC 4.0","FishGIS_metaDatabase_CCorrea","Ocurrence"
