InstitutionCode,CollectionCode,CatalogNumber,IndividualCount,ScientificName,Family,PreparationType,Tissues,Latitude,Longitude,decimalLatitude,decimalLongitude,CoordinateUncertaintyInMeters,HorizontalDatum,Country,StateProvince,County,Island,IslandGroup,Locality,VerbatimElevation,VerbatimDepth,YearCollected,MonthCollected,DayCollected,Collector,GeorefMethod,LatLongComments,BasisOfRecord,Remarks,DateLastModified
FMNH,Fishes,77399,2,Aplochiton zebra,Galaxiidae,,,-41.0500,-71.8833,-41.0500,-71.8833,,,Chile,,,,,Casa Panque,,,1919,3,6,C. H. Eigenmann,,,PreservedSpecimen,,2015-3-6T20:23:39.000CMT
FMNH,Fishes,96218,4,Percichthys trucha,Percichthyidae,,,-38.5333,-72.4333,-38.5333,-72.4333,,,Chile,,,,,"Lautaro, Rio Cautin 214 m. elev",,,1919,2,13,C. H. Eigenmann,,,PreservedSpecimen,,2015-3-6T20:17:39.000CMT
FMNH,Fishes,77554,15,Galaxias maculatus,Galaxiidae,,,-41.4667,-72.9500,-41.4667,-72.9500,,,Chile,,,,,"Puerto Montt, Estero Pilluco, elev. 5 m",,,1919,2,22,C. H. Eigenmann,,,PreservedSpecimen,,2015-3-6T20:23:17.000CMT
FMNH,Fishes,78368,5,Aplochiton zebra,Galaxiidae,,,-41.0833,-72.0333,-41.0833,-72.0333,,,Chile,,,,,"Peulla, Lago Todos Santos, 190 m elev",,,,,,C. H. Eigenmann,,,PreservedSpecimen,,2015-3-17T14:22:01.000CMT
FMNH,Fishes,80322,268,Galaxias maculatus,Galaxiidae,,,-41.0833,-72.0333,-41.0833,-72.0333,,,Chile,,,,,"Peulla; Lago Todos Santos, 190 m. elev",,,1919,,,C. H. Eigenmann,,,PreservedSpecimen,,2015-3-6T20:24:06.000CMT
FMNH,Fishes,96214,2,Aplochiton zebra,Galaxiidae,,,-39.8167,-73.2500,-39.8167,-73.2500,,,Chile,,,,,"Estero Cutipai, below Valdivia",,,1919,2,19,C. H. Eigenmann,,,PreservedSpecimen,,2015-3-7T01:44:25.000CMT
FMNH,Fishes,77907,48,Galaxias maculatus,Galaxiidae,,,-41.2000,-72.5167,-41.2000,-72.5167,,,Chile,,,,,"Ensenada, in to Laga Llanquihue",,,1919,3,9,C. H. Eigenmann,,,PreservedSpecimen,,2015-3-6T20:22:22.000CMT
FMNH,Fishes,78410,10,Galaxias plattii,Galaxiidae,,,-41.0833,-72.0333,-41.0833,-72.0333,,,Chile,,,,,Peulla:  Lago Tados Santos 190 m. elev,,,1919,2,,C. H. Eigenmann,,,PreservedSpecimen,,2015-3-6T20:22:17.000CMT
FMNH,Fishes,96241,47,Galaxias maculatus,Galaxiidae,,,-41.0833,-72.0333,-41.0833,-72.0333,,,Chile,,,,,"Peulla, Lago Todos Santos 190 m. elev",,,1919,3,,C. H. Eigenmann,,,PreservedSpecimen,,2015-3-6T20:12:04.000CMT
FMNH,Fishes,96213,6,Percichthys trucha,Percichthyidae,,,-38.5333,-72.4333,-38.5333,-72.4333,,,Chile,,,,,"Lautaro, Rio Cautin 214 m. elev",,,1919,2,13,C. H. Eigenmann,,,PreservedSpecimen,,2015-3-6T20:16:26.000CMT
