InstitutionCode,CollectionCode,CatalogNumber,IndividualCount,ScientificName,Family,PreparationType,Tissues,Latitude,Longitude,CoordinateUncertaintyInMeters,HorizontalDatum,Country,StateProvince,County,Island,IslandGroup,Locality,VerbatimElevation,VerbatimDepth,YearCollected,MonthCollected,DayCollected,Collector,GeorefMethod,LatLongComments,BasisOfRecord,Remarks,DateLastModified
FMNH,Fishes,107272,1,Lotella fernandeziana,Moridae,,,-33.6250,-78.8139,,,Chile,,,Robinson Crusoe Island,Islas Juan Fern�ndez,"South Pacific, Cumberland Bay at Pangal, eastern end of bay near seal rocks below hostel",,20 meters-25 meters,1997,3,9,"M. W. Westneat, B. Dyer, IOC team",,,PreservedSpecimen,,2015-3-6T20:16:29.000CMT
FMNH,Fishes,107295,4,Paratrachichthys fernandezianus,Trachichthyidae,,,-33.7639,-80.7544,,,Chile,,,Alexander Selkirk Is.,Islas Juan Fern�ndez,"South Pacific, anchorage in front of fishing village (eastern side of island)",,20 meters-25 meters,1997,3,6,"M. W. Westneat, B. Dyer, IOC team",,,PreservedSpecimen,,2015-3-6T20:12:37.000CMT
FMNH,Fishes,107436,24,Neolabrus reticulatus,Labridae,,,-33.6722,-78.9408,,,Chile,,,Robinson Crusoe Island,Islas Juan Fern�ndez,"South Pacific, SW point of R.C. Isla in Bahia Padre (southern shore)",,0 meters-18 meters,1997,3,8,"M. W. Westneat, B. Dyer, IOC team",,,PreservedSpecimen,,2015-3-6T20:13:11.000CMT
FMNH,Fishes,107245,2,Muraenichthys chilensis,Ophichthidae,,,-26.3267,-79.9000,,,Chile,,,San Ambrosio Island,Islas Desventuradas,"South Pacific, Caleta Potala, western side; blue lagoon surge channel, just west of fisherman's shack; San Ambrosio Island, N side",,0 meters-10 meters,1997,2,23,"M. W. Westneat, B. Dyer, IOC team",,,PreservedSpecimen,,2015-3-7T01:52:22.000CMT
FMNH,Fishes,109192,4,Scorpaenodes englerti,Scorpaenidae,,,-26.2750,-80.1183,,,Chile,,,San Felix Island,Islas Desventuradas,"South Pacific, rocky area at line offshore from western-most extent of beach",,20 meters-25 meters,1997,2,26,"M. W. Westneat, B. Dyer, IOC team",,,PreservedSpecimen,,2015-3-7T01:57:15.000CMT
FMNH,Fishes,84937,5,Percilia gillissi,Perciliidae,,,,,,,Chile,Santiago,,,,"Maipo River, Hospital",,,,,,,,,PreservedSpecimen,,2015-3-7T01:58:53.000CMT
FMNH,Fishes,107278,2,Aseraggodes bahamondei,Soleidae,,,-26.3267,-79.9000,,,Chile,,,San Ambrosio Island,Islas Desventuradas,"South Pacific, Caleta Potala, western side; blue lagoon surge channel, just west of fisherman's shack; San Ambrosio Island, N side",,0 meters-10 meters,1997,2,23,"M. W. Westneat, B. Dyer, IOC team",,,PreservedSpecimen,,2015-3-6T20:10:21.000CMT
FMNH,Fishes,107318,2,Hypoplectrodes semicinctum,Serranidae,,,-26.3267,-79.9000,,,Chile,,,San Ambrosio Island,Islas Desventuradas,"South Pacific, Caleta Potala, western side; blue lagoon surge channel, just west of fisherman's shack; San Ambrosio Island, N side",,0 meters-1 meter,1997,2,23,"M. W. Westneat, B. Dyer, IOC team",,,PreservedSpecimen,,2015-3-6T20:22:57.000CMT
FMNH,Fishes,52549,1,Exocoetidae,Exocoetidae,,,,,,,Chile*?,,,,,Off coast of Chili,,,,,,Boutelier,,,PreservedSpecimen,,2015-3-7T01:55:27.000CMT
FMNH,Fishes,77742,2,Galaxias maculatus,Galaxiidae,,,,,,,Chile*,,,,,Ensenada,,,1919,3,14,C. H. Eigenmann,,,PreservedSpecimen,,2015-3-6T20:16:46.000CMT
