gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
4463090663	45c3d8d2-7352-4dd1-aefd-c21e0b6b004e	MMA:ICT:0004182	Animalia	Chordata		Perciformes	Perciliidae	Percilia	Percilia irwini		SPECIES	Percilia irwini Eigenmann, 1928	Percilia irwini	Eigenmann, 1928	CL		Región del Bío-Bío	PRESENT	37	bf0d80b3-46da-4e60-b1cf-39f2320acb43	-37.268	-72.713							2003-03		3	2003	2386040	2386040	OCCURRENCE	EULA-Chile						CC_BY_NC_4_0	Evelyn Habit	Evelyn Habit			2025-10-08T02:32:38.470Z		CONTINENT_DERIVED_FROM_COORDINATES
4463090662	45c3d8d2-7352-4dd1-aefd-c21e0b6b004e	MMA:ICT:0004183	Animalia	Chordata		Perciformes	Perciliidae	Percilia	Percilia irwini		SPECIES	Percilia irwini Eigenmann, 1928	Percilia irwini	Eigenmann, 1928	CL		Región del Bío-Bío	PRESENT	17	bf0d80b3-46da-4e60-b1cf-39f2320acb43	-37.178	-72.918							2003-08		8	2003	2386040	2386040	OCCURRENCE	EULA-Chile						CC_BY_NC_4_0	Evelyn Habit	Evelyn Habit			2025-10-08T02:32:38.470Z		CONTINENT_DERIVED_FROM_COORDINATES
4463090661	45c3d8d2-7352-4dd1-aefd-c21e0b6b004e	MMA:ICT:0004180	Animalia	Chordata		Perciformes	Perciliidae	Percilia	Percilia irwini		SPECIES	Percilia irwini Eigenmann, 1928	Percilia irwini	Eigenmann, 1928	CL		Región del Bío-Bío	PRESENT	3	bf0d80b3-46da-4e60-b1cf-39f2320acb43	-37.268	-72.729							2003-03		3	2003	2386040	2386040	OCCURRENCE	EULA-Chile						CC_BY_NC_4_0	Evelyn Habit	Evelyn Habit			2025-10-08T02:32:38.470Z		CONTINENT_DERIVED_FROM_COORDINATES
4463090660	45c3d8d2-7352-4dd1-aefd-c21e0b6b004e	MMA:ICT:0004181	Animalia	Chordata		Perciformes	Perciliidae	Percilia	Percilia irwini		SPECIES	Percilia irwini Eigenmann, 1928	Percilia irwini	Eigenmann, 1928	CL		Región del Bío-Bío	PRESENT	14	bf0d80b3-46da-4e60-b1cf-39f2320acb43	-37.268	-72.713							2003-08		8	2003	2386040	2386040	OCCURRENCE	EULA-Chile						CC_BY_NC_4_0	Evelyn Habit	Evelyn Habit			2025-10-08T02:32:38.470Z		CONTINENT_DERIVED_FROM_COORDINATES
4463090659	45c3d8d2-7352-4dd1-aefd-c21e0b6b004e	MMA:ICT:0001909	Animalia	Chordata		Osmeriformes	Galaxiidae	Galaxias	Galaxias maculatus		SPECIES	Galaxias maculatus (Jenyns, 1842)	Galaxias maculatus	(Jenyns, 1842)	CL		Región de Magallanes y Antártica Chilena	PRESENT	42	bf0d80b3-46da-4e60-b1cf-39f2320acb43	-51.36	-72.8							2009-07-27	27	7	2009	5214265	5214265	OCCURRENCE	EULA-Chile						CC_BY_NC_4_0	Evelyn Habit	Jorge Gonzalez		native	2025-10-08T02:32:38.470Z		CONTINENT_DERIVED_FROM_COORDINATES
4463090658	45c3d8d2-7352-4dd1-aefd-c21e0b6b004e	MMA:ICT:0001908	Animalia	Chordata		Osmeriformes	Galaxiidae	Galaxias	Galaxias maculatus		SPECIES	Galaxias maculatus (Jenyns, 1842)	Galaxias maculatus	(Jenyns, 1842)	CL		Región de Magallanes y Antártica Chilena	PRESENT	12	bf0d80b3-46da-4e60-b1cf-39f2320acb43	-49.086	-74.421							2009-07-27	27	7	2009	5214265	5214265	OCCURRENCE	EULA-Chile						CC_BY_NC_4_0	Evelyn Habit	Jorge Gonzalez		native	2025-10-08T02:32:38.470Z		CONTINENT_DERIVED_FROM_COORDINATES
4463090657	45c3d8d2-7352-4dd1-aefd-c21e0b6b004e	MMA:ICT:0001907	Animalia	Chordata		Osmeriformes	Galaxiidae	Galaxias	Galaxias maculatus		SPECIES	Galaxias maculatus (Jenyns, 1842)	Galaxias maculatus	(Jenyns, 1842)	CL		Región de Magallanes y Antártica Chilena	PRESENT	37	bf0d80b3-46da-4e60-b1cf-39f2320acb43	-49.134	-74.428							2009-07-27	27	7	2009	5214265	5214265	OCCURRENCE	EULA-Chile						CC_BY_NC_4_0	Evelyn Habit	Jorge Gonzalez		native	2025-10-08T02:32:38.470Z		CONTINENT_DERIVED_FROM_COORDINATES
4463090656	45c3d8d2-7352-4dd1-aefd-c21e0b6b004e	MMA:ICT:0001906	Animalia	Chordata		Osmeriformes	Galaxiidae	Galaxias	Galaxias maculatus		SPECIES	Galaxias maculatus (Jenyns, 1842)	Galaxias maculatus	(Jenyns, 1842)	CL		Región de Magallanes y Antártica Chilena	PRESENT	17	bf0d80b3-46da-4e60-b1cf-39f2320acb43	-49.636	-74.556							2009-02-24	24	2	2009	5214265	5214265	OCCURRENCE	EULA-Chile						CC_BY_NC_4_0	Evelyn Habit	Jorge Gonzalez		native	2025-10-08T02:32:38.470Z		CONTINENT_DERIVED_FROM_COORDINATES
4463090655	45c3d8d2-7352-4dd1-aefd-c21e0b6b004e	MMA:ICT:0001905	Animalia	Chordata		Osmeriformes	Galaxiidae	Galaxias	Galaxias maculatus		SPECIES	Galaxias maculatus (Jenyns, 1842)	Galaxias maculatus	(Jenyns, 1842)	CL		Región de Magallanes y Antártica Chilena	PRESENT	7	bf0d80b3-46da-4e60-b1cf-39f2320acb43	-51.734	-74.139							2009-02-24	24	2	2009	5214265	5214265	OCCURRENCE	EULA-Chile						CC_BY_NC_4_0	Evelyn Habit	Jorge Gonzalez		native	2025-10-08T02:32:38.470Z		CONTINENT_DERIVED_FROM_COORDINATES
4463090654	45c3d8d2-7352-4dd1-aefd-c21e0b6b004e	MMA:ICT:0001904	Animalia	Chordata		Osmeriformes	Galaxiidae	Galaxias	Galaxias maculatus		SPECIES	Galaxias maculatus (Jenyns, 1842)	Galaxias maculatus	(Jenyns, 1842)	CL		Región de Magallanes y Antártica Chilena	PRESENT	57	bf0d80b3-46da-4e60-b1cf-39f2320acb43	-50.212	-74.972							2009-02-24	24	2	2009	5214265	5214265	OCCURRENCE	EULA-Chile						CC_BY_NC_4_0	Evelyn Habit	Jorge Gonzalez		native	2025-10-08T02:32:38.470Z		CONTINENT_DERIVED_FROM_COORDINATES
4463090653	45c3d8d2-7352-4dd1-aefd-c21e0b6b004e	MMA:ICT:0001903	Animalia	Chordata		Osmeriformes	Galaxiidae	Galaxias	Galaxias maculatus		SPECIES	Galaxias maculatus (Jenyns, 1842)	Galaxias maculatus	(Jenyns, 1842)	CL		Región de Magallanes y Antártica Chilena	PRESENT	44	bf0d80b3-46da-4e60-b1cf-39f2320acb43	-50.382	-75.247							2009-02-24	24	2	2009	5214265	5214265	OCCURRENCE	EULA-Chile						CC_BY_NC_4_0	Evelyn Habit	Jorge Gonzalez		native	2025-10-08T02:32:38.470Z		CONTINENT_DERIVED_FROM_COORDINATES
4463090652	45c3d8d2-7352-4dd1-aefd-c21e0b6b004e	MMA:ICT:0001902	Animalia	Chordata		Osmeriformes	Galaxiidae	Galaxias	Galaxias maculatus		SPECIES	Galaxias maculatus (Jenyns, 1842)	Galaxias maculatus	(Jenyns, 1842)	CL		Región de Magallanes y Antártica Chilena	PRESENT	33	bf0d80b3-46da-4e60-b1cf-39f2320acb43	-50.386	-75.252							2009-02-24	24	2	2009	5214265	5214265	OCCURRENCE	EULA-Chile						CC_BY_NC_4_0	Evelyn Habit	Jorge Gonzalez		native	2025-10-08T02:32:38.470Z		CONTINENT_DERIVED_FROM_COORDINATES
4463090651	45c3d8d2-7352-4dd1-aefd-c21e0b6b004e	MMA:ICT:0001901	Animalia	Chordata		Osmeriformes	Galaxiidae	Galaxias	Galaxias maculatus		SPECIES	Galaxias maculatus (Jenyns, 1842)	Galaxias maculatus	(Jenyns, 1842)	CL		Región de Magallanes y Antártica Chilena	PRESENT	61	bf0d80b3-46da-4e60-b1cf-39f2320acb43	-50.558	-75.321							2009-02-24	24	2	2009	5214265	5214265	OCCURRENCE	EULA-Chile						CC_BY_NC_4_0	Evelyn Habit	Jorge Gonzalez		native	2025-10-08T02:32:38.470Z		CONTINENT_DERIVED_FROM_COORDINATES
4463090650	45c3d8d2-7352-4dd1-aefd-c21e0b6b004e	MMA:ICT:0001911	Animalia	Chordata		Osmeriformes	Galaxiidae	Galaxias	Galaxias maculatus		SPECIES	Galaxias maculatus (Jenyns, 1842)	Galaxias maculatus	(Jenyns, 1842)	CL		Región de Magallanes y Antártica Chilena	PRESENT	6	bf0d80b3-46da-4e60-b1cf-39f2320acb43	-51.36	-72.8							2009-07-27	27	7	2009	5214265	5214265	OCCURRENCE	EULA-Chile						CC_BY_NC_4_0	Evelyn Habit	Jorge Gonzalez		native	2025-10-08T02:32:38.470Z		CONTINENT_DERIVED_FROM_COORDINATES
