"occurrenceID","locality","bibliographicCitation","associatedReferences","institutionID","eventRemarks","basisOfRecord","coordinateUncertaintyInMeters","eventDate","year","decimalLongitude","decimalLatitude","scientificName","individualCount","samplingProtocol","recordedBy","otherCatalogNumbers","datasetName","datasetName_tmp","datasetID","datasetKey","license","accessRights"
"MMA:ICT:0000002","Estero Ventisquero. Costeras del Canal Baker.","Zama, A., and Cárdenas, E. 1984. Introduction into Aysén Chile of the pacific salmon. N°9 Descriptive catalogue of marine and freshwater fishes from the Aysén region, southern Chile, with zoogeographical notes on fish fauna. Servicio Nacional de Pesca - Japanese International Cooperation Agency.","","","Compiled by Cristian Correa, Universidad Austral de Chile.","Occurrence",NA,"1982-1-1","1982",-73.585,-48.25,"Aplochiton marinus",1,NA,"Miembros de la expedicion de Hikkaido University, Japon, al glaciar Jorge Montt.","gbifID:4463086349","Habit E, Vila I, Contreras L. M, Dyer B, Correa C, Naretto J, Contreras V, Amaya L, Villagran C (2023). Fauna Íctica Nativa Continental de Chile. Ministerio del Medio Ambiente de Chile. Occurrence dataset https://doi.org/10.15468/cxb957","MMA2017","45c3d8d2-7352-4dd1-aefd-c21e0b6b004e","45c3d8d2-7352-4dd1-aefd-c21e0b6b004e","CC BY-NC 4.0","consultar con institución/autor"
"MMA:ICT:0000003","Estero Veto. Costeras  Orientales  Entre  Fiordo Veto y Fiordo Antrim.","Zama, A., and Cárdenas, E. 1984. Introduction into Aysén Chile of the pacific salmon. N°9 Descriptive catalogue of marine and freshwater fishes from the Aysén region, southern Chile, with zoogeographical notes on fish fauna. Servicio Nacional de Pesca - Japanese International Cooperation Agency.","McDowall, R.M., and Nakaya, K. 1987. Identity of the galaxioid fishes of the genus Aplochiton Jenys from southern Chile. Japan Journal of Ichthyology 34: 377–383.","","Compiled by Cristian Correa, Universidad Austral de Chile.","Occurrence",NA,"1977-9-21","1977",-74.5,-49.533,"Aplochiton marinus",1,NA,NA,"gbifID:4463086348","Habit E, Vila I, Contreras L. M, Dyer B, Correa C, Naretto J, Contreras V, Amaya L, Villagran C (2023). Fauna Íctica Nativa Continental de Chile. Ministerio del Medio Ambiente de Chile. Occurrence dataset https://doi.org/10.15468/cxb957","MMA2017","45c3d8d2-7352-4dd1-aefd-c21e0b6b004e","45c3d8d2-7352-4dd1-aefd-c21e0b6b004e","CC BY-NC 4.0","consultar con institución/autor"
"MMA:ICT:0000004","Fiordo Steele. Costeras del Canal Baker.","McDowall, R.M., and Nakaya, K. 1988. Morphological divergence in the two species of Aplochiton Jenyns (Salmoniformes: Aplochitonidae): a generalist and a specialist. Copeia 1(1): 233–236.","","","Compiled by Cristian Correa, Universidad Austral de Chile.","Occurrence",NA,"1982-1-21","1982",-73.383,-48.217,"Aplochiton marinus",2,NA,"Miembros de la expedicion de Hikkaido University, Japon, al glaciar Jorge Montt.","gbifID:4463086347","Habit E, Vila I, Contreras L. M, Dyer B, Correa C, Naretto J, Contreras V, Amaya L, Villagran C (2023). Fauna Íctica Nativa Continental de Chile. Ministerio del Medio Ambiente de Chile. Occurrence dataset https://doi.org/10.15468/cxb957","MMA2017","45c3d8d2-7352-4dd1-aefd-c21e0b6b004e","45c3d8d2-7352-4dd1-aefd-c21e0b6b004e","CC BY-NC 4.0","consultar con institución/autor"
"MMA:ICT:0000005","Fiordo Ventisquero. Costeras del Canal Baker.","McDowall, R.M., and Nakaya, K. 1988. Morphological divergence in the two species of Aplochiton Jenyns (Salmoniformes: Aplochitonidae): a generalist and a specialist. Copeia 1(1): 233–236.","","","Compiled by Cristian Correa, Universidad Austral de Chile.","Occurrence",NA,"1982-1-1","1982",-73.583,-48.217,"Aplochiton marinus",1,NA,"Miembros de la expedicion de Hikkaido University, Japon, al glaciar Jorge Montt.","gbifID:4463086346","Habit E, Vila I, Contreras L. M, Dyer B, Correa C, Naretto J, Contreras V, Amaya L, Villagran C (2023). Fauna Íctica Nativa Continental de Chile. Ministerio del Medio Ambiente de Chile. Occurrence dataset https://doi.org/10.15468/cxb957","MMA2017","45c3d8d2-7352-4dd1-aefd-c21e0b6b004e","45c3d8d2-7352-4dd1-aefd-c21e0b6b004e","CC BY-NC 4.0","consultar con institución/autor"
"MMA:ICT:0000007","Estuario Baker. Remanso en brazo del Rio Baker cerca del aedródromo de Caleta Tortel.. Rio Baker entre Rio del Paso y desembocadura.","Alò, D., Correa, C., Arias, C., and Cárdenas, L. 2013. Diversity of Aplochiton fishes (Galaxiidea) and the taxonomic resurrection of A. marinus. PLoS ONE 8(8): e71577.","","","Compiled by Cristian Correa, Universidad Austral de Chile.","Occurrence",NA,"2007-3-25","2007",-73.517,-47.79,"Aplochiton marinus",9,NA,"Cristian Correa","gbifID:4463086344","Habit E, Vila I, Contreras L. M, Dyer B, Correa C, Naretto J, Contreras V, Amaya L, Villagran C (2023). Fauna Íctica Nativa Continental de Chile. Ministerio del Medio Ambiente de Chile. Occurrence dataset https://doi.org/10.15468/cxb957","MMA2017","45c3d8d2-7352-4dd1-aefd-c21e0b6b004e","45c3d8d2-7352-4dd1-aefd-c21e0b6b004e","CC BY-NC 4.0","consultar con institución/autor"
"MMA:ICT:0000008","Lago Huelde, Chiloé. Pequeño lago costero. Costeras Vertientes Oeste Entre Rio Chepu y Rio Cucao.","Alò, D., Correa, C., Arias, C., and Cárdenas, L. 2013. Diversity of Aplochiton fishes (Galaxiidea) and the taxonomic resurrection of A. marinus. PLoS ONE 8(8): e71577.","","","Compiled by Cristian Correa, Universidad Austral de Chile.","Occurrence",NA,"2011-1-23","2011",-74.117,-42.595,"Aplochiton marinus",4,NA,NA,"gbifID:4463086343","Habit E, Vila I, Contreras L. M, Dyer B, Correa C, Naretto J, Contreras V, Amaya L, Villagran C (2023). Fauna Íctica Nativa Continental de Chile. Ministerio del Medio Ambiente de Chile. Occurrence dataset https://doi.org/10.15468/cxb957","MMA2017","45c3d8d2-7352-4dd1-aefd-c21e0b6b004e","45c3d8d2-7352-4dd1-aefd-c21e0b6b004e","CC BY-NC 4.0","consultar con institución/autor"
"MMA:ICT:0000009","Costeras entre Fiordo Julian y R. Baker.","CEA para ENDESA, Base de datos CEA 2015","","Centro de Ecología Aplicada Ltda. ","Centro de Ecología Aplicada LTDA (Leopoldo Fuentes)","Occurrence",NA,"2008-4","2008",-73.431,-47.635,"Aplochiton marinus",3,NA,"Luis Vega","gbifID:4463086301","Habit E, Vila I, Contreras L. M, Dyer B, Correa C, Naretto J, Contreras V, Amaya L, Villagran C (2023). Fauna Íctica Nativa Continental de Chile. Ministerio del Medio Ambiente de Chile. Occurrence dataset https://doi.org/10.15468/cxb957","MMA2017","45c3d8d2-7352-4dd1-aefd-c21e0b6b004e","45c3d8d2-7352-4dd1-aefd-c21e0b6b004e","CC BY-NC 4.0","consultar con institución/autor"
"MMA:ICT:0000013","Rio Vilcun. En Puente Alto. Costeras Vertientes Norte Entre Punta Quetrelquen y Rio Chepu.","Base Datos EULA UdeC, Base Datos 2007","","Centro EULA UDEC","Centro EULA UDEC (Evelyn Habit)","Occurrence",100,"2007-3-21","2007",-73.762,-42.085,"Aplochiton taeniatus",4,"Red Encierro","Evelyn Habit","gbifID:4463086308","Habit E, Vila I, Contreras L. M, Dyer B, Correa C, Naretto J, Contreras V, Amaya L, Villagran C (2023). Fauna Íctica Nativa Continental de Chile. Ministerio del Medio Ambiente de Chile. Occurrence dataset https://doi.org/10.15468/cxb957","MMA2017","45c3d8d2-7352-4dd1-aefd-c21e0b6b004e","45c3d8d2-7352-4dd1-aefd-c21e0b6b004e","CC BY-NC 4.0","consultar con institución/autor"
"MMA:ICT:0000014","Rio 1, Bahia Francisco. Isla Duque de York.","Base Datos EULA UdeC, Base Datos 2009","","Centro EULA UDEC","Centro EULA UDEC (Evelyn Habit)","Occurrence",100,"2009-3-1","2009",-75.322,-50.559,"Aplochiton taeniatus",1,"Pesca Electrica","Jorge Gonzalez","gbifID:4463086307","Habit E, Vila I, Contreras L. M, Dyer B, Correa C, Naretto J, Contreras V, Amaya L, Villagran C (2023). Fauna Íctica Nativa Continental de Chile. Ministerio del Medio Ambiente de Chile. Occurrence dataset https://doi.org/10.15468/cxb957","MMA2017","45c3d8d2-7352-4dd1-aefd-c21e0b6b004e","45c3d8d2-7352-4dd1-aefd-c21e0b6b004e","CC BY-NC 4.0","consultar con institución/autor"
"MMA:ICT:0000015","Lago Porteno. En Orilla. Lago del Toro.","Base Datos EULA UdeC, Base Datos 2009","","Centro EULA UDEC","Centro EULA UDEC (Evelyn Habit)","Occurrence",100,"2009-2-5","2009",-72.799,-51.36,"Aplochiton taeniatus",42,"Red Encierro","Jorge Gonzalez","gbifID:4463086306","Habit E, Vila I, Contreras L. M, Dyer B, Correa C, Naretto J, Contreras V, Amaya L, Villagran C (2023). Fauna Íctica Nativa Continental de Chile. Ministerio del Medio Ambiente de Chile. Occurrence dataset https://doi.org/10.15468/cxb957","MMA2017","45c3d8d2-7352-4dd1-aefd-c21e0b6b004e","45c3d8d2-7352-4dd1-aefd-c21e0b6b004e","CC BY-NC 4.0","consultar con institución/autor"
