ID,OrigFunteReg,bibliographicCitation,associatedReferences
1,"OrigenReg: Zama, A., and Cárdenas, E. 1984. Introduction into Aysén Chile of the pacific salmon. N°9 Descriptive catalogue of marine and freshwater fishes from the Aysén region, southern Chile, with zoogeographical notes on fish fauna. Servicio Nacional de Pesca - Japanese International Cooperation Agency., FuenteReg: Servicio Nacional de Pesca (Puerto Aysen)","Zama, A., and Cárdenas, E. 1984. Introduction into Aysén Chile of the pacific salmon. N°9 Descriptive catalogue of marine and freshwater fishes from the Aysén region, southern Chile, with zoogeographical notes on fish fauna. Servicio Nacional de Pesca - Japanese International Cooperation Agency.",
2,"OrigenReg: Zama, A., and Cárdenas, E. 1984. Introduction into Aysén Chile of the pacific salmon. N°9 Descriptive catalogue of marine and freshwater fishes from the Aysén region, southern Chile, with zoogeographical notes on fish fauna. Servicio Nacional de Pesca - Japanese International Cooperation Agency. McDowall, R.M., and Nakaya, K. 1987. Identity of the galaxioid fishes of the genus Aplochiton Jenys from southern Chile. Japan Journal of Ichthyology 34: 377–383., FuenteReg: Instituto de la Patagonia, Punta Arenas","Zama, A., and Cárdenas, E. 1984. Introduction into Aysén Chile of the pacific salmon. N°9 Descriptive catalogue of marine and freshwater fishes from the Aysén region, southern Chile, with zoogeographical notes on fish fauna. Servicio Nacional de Pesca - Japanese International Cooperation Agency.","McDowall, R.M., and Nakaya, K. 1987. Identity of the galaxioid fishes of the genus Aplochiton Jenys from southern Chile. Japan Journal of Ichthyology 34: 377–383."
3,"OrigenReg: McDowall, R.M., and Nakaya, K. 1988. Morphological divergence in the two species of Aplochiton Jenyns (Salmoniformes: Aplochitonidae): a generalist and a specialist. Copeia 1: 233–236., FuenteReg: Laboratory of Marine Zoology, Hokkaido University (HUMZ)","McDowall, R.M., and Nakaya, K. 1988. Morphological divergence in the two species of Aplochiton Jenyns (Salmoniformes: Aplochitonidae): a generalist and a specialist. Copeia 1(1): 233–236.",
4,"OrigenReg: Alo, D., Correa, C., Arias, C., and Cardenas, L. 2013. Diversity of Aplochiton Fishes (Galaxiidea) and the Taxonomic Resurrection of A. marinus. PLoS ONE. doi/10.1371/journal.pone.0071577., FuenteReg: Museo Nacional de Historia Natural de Chile","Alò, D., Correa, C., Arias, C., and Cárdenas, L. 2013. Diversity of Aplochiton fishes (Galaxiidea) and the taxonomic resurrection of A. marinus. PLoS ONE 8(8): e71577.",
5,"OrigenReg: Alo, D., Correa, C., Arias, C., and Cardenas, L. 2013. Diversity of Aplochiton Fishes (Galaxiidea) and the Taxonomic Resurrection of A. marinus. PLoS ONE. doi/10.1371/journal.pone.0071577.,","Alò, D., Correa, C., Arias, C., and Cárdenas, L. 2013. Diversity of Aplochiton fishes (Galaxiidea) and the taxonomic resurrection of A. marinus. PLoS ONE 8(8): e71577.",
6,"OrigenReg: CEA para ENDESA, FuenteReg: Base de datos CEA 2015","CEA para ENDESA, Base de datos CEA 2015",
7,"OrigenReg: Base de Datos EULA UdeC, FuenteReg: Base Datos 2007","Base Datos EULA UdeC, Base Datos 2007",
8,"OrigenReg: Base de Datos EULA UdeC, FuenteReg: Base Datos 2009","Base Datos EULA UdeC, Base Datos 2009",
9,"OrigenReg: Base de Datos EULA UdeC, FuenteReg: Base Datos 2013","Base Datos EULA UdeC, Base Datos 2013",
10,"OrigenReg: Base de Datos EULA UdeC, FuenteReg: Base Datos 2008","Base Datos EULA UdeC, Base Datos 2008",
