Instit,inst2,InstitInstitu,institutionID,eventRemarks
Univ. Austral Chile (Cristián Correa),UACH (Cristián Correa),Univ. Austral Chile (Cristián Correa) UACH (Cristián Correa),,"Compiled by Cristian Correa, Universidad Austral de Chile."
Centro de Ecología Aplicada LTDA,Centro de Ecología Aplicada LTDA (Leopoldo Fuentes),Centro de Ecología Aplicada LTDA Centro de Ecología Aplicada LTDA (Leopoldo Fuentes),Centro de Ecología Aplicada Ltda. ,Centro de Ecología Aplicada LTDA (Leopoldo Fuentes)
Centro EULA UdeC,Centro EULA UDEC Evelyn Habit,Centro EULA UdeC Centro EULA UDEC Evelyn Habit,Centro EULA UDEC,Centro EULA UDEC (Evelyn Habit)
NA,Laboratorio Limnología U. de Chile (Irma Vila),NA Laboratorio Limnología U. de Chile (Irma Vila),,"Compiled by Irma Vila, Laboratorio Limnología U. de Chile"
Colección del Instituto de Zoología de la Universidad Austral de Chile (IZUA),Laboratorio Limnología U. de Chile (Irma Vila),Colección del Instituto de Zoología de la Universidad Austral de Chile (IZUA) Laboratorio Limnología U. de Chile (Irma Vila),Colección del Instituto de Zoología de la Universidad Austral de Chile (IZUA),"Compiled by Irma Vila, Laboratorio Limnología U. de Chile."
Museo Universidad de Indiana,Laboratorio Limnología U. de Chile (Irma Vila),Museo Universidad de Indiana Laboratorio Limnología U. de Chile (Irma Vila),Museo Universidad de Indiana,"Compiled by Irma Vila, Laboratorio Limnología U. de Chile."
MNHN y el Museo de Ciencias Naturales de Carolina del Norte.,Laboratorio Limnología U. de Chile (Irma Vila),MNHN y el Museo de Ciencias Naturales de Carolina del Norte. Laboratorio Limnología U. de Chile (Irma Vila),MNHN y el Museo de Ciencias Naturales de Carolina del Norte,"Compiled by Irma Vila, Laboratorio Limnología U. de Chile."
NA,NA,NA NA,,
No aplica,Referencia bibliográfica,No aplica Referencia bibliográfica,,
UMMZ,Colecta BS Dyer 1986,UMMZ Colecta BS Dyer 1986,UMMZ,Brian Spencer Dyer collection 1986.
"Monte L. Bean Life Science Museum, Brigham Young University (BYU) y en Lab. de los autores.",Laboratorio Limnología U. de Chile (Irma Vila),"Monte L. Bean Life Science Museum, Brigham Young University (BYU) y en Lab. de los autores. Laboratorio Limnología U. de Chile (Irma Vila)","Monte L. Bean Life Science Museum, Brigham Young University (BYU)","Compiled by Irma Vila, Laboratorio Limnología U. de Chile."
