id,latitude,longitude,cntry_code,country,obs_date,t_kingdom,t_phylum,t_class,t_order,t_family,t_genus,t_species,database,inst,collection,provider,records,year,month
"4559241","-40.4333","-63.6833","AR","ARGENTINA"," ","Animalia","Chordata","Actinopterygii","Atheriniformes","Atherinopsidae","Odontesthes","Odontesthes bonariensis","SSTN","FO","Peces","Fundación Óga","1","",""
"4559249","-50.0833","-69.5833","AR","ARGENTINA"," ","Animalia","Chordata","Actinopterygii","Atheriniformes","Atherinopsidae","Odontesthes","Odontesthes hatcheri","SSTN","FO","Peces","Fundación Óga","1","",""
"4559311","-48.9167","-71.25","AR","ARGENTINA"," ","Animalia","Chordata","Actinopterygii","Atheriniformes","Atherinopsidae","Odontesthes","Odontesthes hatcheri","SSTN","FO","Peces","Fundación Óga","1","",""
"4559310","-47.5167","-71.8","AR","ARGENTINA"," ","Animalia","Chordata","Actinopterygii","Atheriniformes","Atherinopsidae","Odontesthes","Odontesthes hatcheri","SSTN","FO","Peces","Fundación Óga","1","",""
"4559252","-47.35","-71.95","AR","ARGENTINA"," ","Animalia","Chordata","Actinopterygii","Atheriniformes","Atherinopsidae","Odontesthes","Odontesthes hatcheri","SSTN","FO","Peces","Fundación Óga","1","",""
"4559248","-47.3167","-71.4833","AR","ARGENTINA"," ","Animalia","Chordata","Actinopterygii","Atheriniformes","Atherinopsidae","Odontesthes","Odontesthes hatcheri","SSTN","FO","Peces","Fundación Óga","1","",""
"4559309","-46.5333","-71.6167","AR","ARGENTINA"," ","Animalia","Chordata","Actinopterygii","Atheriniformes","Atherinopsidae","Odontesthes","Odontesthes hatcheri","SSTN","FO","Peces","Fundación Óga","1","",""
"4559254","-45.75","-69.7167","AR","ARGENTINA"," ","Animalia","Chordata","Actinopterygii","Atheriniformes","Atherinopsidae","Odontesthes","Odontesthes hatcheri","SSTN","FO","Peces","Fundación Óga","1","",""
"4559300","-45.5","-68.7667","AR","ARGENTINA"," ","Animalia","Chordata","Actinopterygii","Atheriniformes","Atherinopsidae","Odontesthes","Odontesthes hatcheri","SSTN","FO","Peces","Fundación Óga","1","",""
"4559299","-45.4333","-69.1667","AR","ARGENTINA"," ","Animalia","Chordata","Actinopterygii","Atheriniformes","Atherinopsidae","Odontesthes","Odontesthes hatcheri","SSTN","FO","Peces","Fundación Óga","1","",""
"4559301","-44.9333","-71.5","AR","ARGENTINA"," ","Animalia","Chordata","Actinopterygii","Atheriniformes","Atherinopsidae","Odontesthes","Odontesthes hatcheri","SSTN","FO","Peces","Fundación Óga","1","",""
"4559247","-43.7333","-67.4167","AR","ARGENTINA"," ","Animalia","Chordata","Actinopterygii","Atheriniformes","Atherinopsidae","Odontesthes","Odontesthes hatcheri","SSTN","FO","Peces","Fundación Óga","1","",""
"4559306","-43.7167","-66.5","AR","ARGENTINA"," ","Animalia","Chordata","Actinopterygii","Atheriniformes","Atherinopsidae","Odontesthes","Odontesthes hatcheri","SSTN","FO","Peces","Fundación Óga","1","",""
"4559256","-43.6833","-66.4","AR","ARGENTINA"," ","Animalia","Chordata","Actinopterygii","Atheriniformes","Atherinopsidae","Odontesthes","Odontesthes hatcheri","SSTN","FO","Peces","Fundación Óga","1","",""
"4559257","-43.4","-65.8167","AR","ARGENTINA"," ","Animalia","Chordata","Actinopterygii","Atheriniformes","Atherinopsidae","Odontesthes","Odontesthes hatcheri","SSTN","FO","Peces","Fundación Óga","1","",""
"4559298","-43.2667","-71.3333","AR","ARGENTINA"," ","Animalia","Chordata","Actinopterygii","Atheriniformes","Atherinopsidae","Odontesthes","Odontesthes hatcheri","SSTN","FO","Peces","Fundación Óga","1","",""
"4559327","-43.1333","-71.6","AR","ARGENTINA"," ","Animalia","Chordata","Actinopterygii","Atheriniformes","Atherinopsidae","Odontesthes","Odontesthes hatcheri","SSTN","FO","Peces","Fundación Óga","1","",""
"4559315","-42.9833","-71.5167","AR","ARGENTINA"," ","Animalia","Chordata","Actinopterygii","Atheriniformes","Atherinopsidae","Odontesthes","Odontesthes hatcheri","SSTN","FO","Peces","Fundación Óga","1","",""
"4559303","-42.8333","-71.6333","AR","ARGENTINA"," ","Animalia","Chordata","Actinopterygii","Atheriniformes","Atherinopsidae","Odontesthes","Odontesthes hatcheri","SSTN","FO","Peces","Fundación Óga","1","",""
"4559297","-42.8333","-71.2667","AR","ARGENTINA"," ","Animalia","Chordata","Actinopterygii","Atheriniformes","Atherinopsidae","Odontesthes","Odontesthes hatcheri","SSTN","FO","Peces","Fundación Óga","1","",""
"4559296","-42.45","-71.4833","AR","ARGENTINA"," ","Animalia","Chordata","Actinopterygii","Atheriniformes","Atherinopsidae","Odontesthes","Odontesthes hatcheri","SSTN","FO","Peces","Fundación Óga","1","",""
"4559312","-42.4333","-71.5","AR","ARGENTINA"," ","Animalia","Chordata","Actinopterygii","Atheriniformes","Atherinopsidae","Odontesthes","Odontesthes hatcheri","SSTN","FO","Peces","Fundación Óga","1","",""
"4559308","-42.4333","-71.4","AR","ARGENTINA"," ","Animalia","Chordata","Actinopterygii","Atheriniformes","Atherinopsidae","Odontesthes","Odontesthes hatcheri","SSTN","FO","Peces","Fundación Óga","1","",""
"4559295","-42.2","-71.5","AR","ARGENTINA"," ","Animalia","Chordata","Actinopterygii","Atheriniformes","Atherinopsidae","Odontesthes","Odontesthes hatcheri","SSTN","FO","Peces","Fundación Óga","1","",""
