"occurrenceID","decimalLatitude","decimalLongitude","eventDate","scientificName","datasetName","institutionCode","collectionCode","license","rightsHolder","accessRights"
"4559310",-47.5167,-71.8,NA,"Odontesthes hatcheri","DataBasin-Los Peces de Argentina; Originally provided by Fundación Óga through SSTN","FO","Peces","CC BY-NC 3.0","Conservation Biology Institute, http://consbio.org","not-for-profit use only"
"4559252",-47.35,-71.95,NA,"Odontesthes hatcheri","DataBasin-Los Peces de Argentina; Originally provided by Fundación Óga through SSTN","FO","Peces","CC BY-NC 3.0","Conservation Biology Institute, http://consbio.org","not-for-profit use only"
"4559248",-47.3167,-71.4833,NA,"Odontesthes hatcheri","DataBasin-Los Peces de Argentina; Originally provided by Fundación Óga through SSTN","FO","Peces","CC BY-NC 3.0","Conservation Biology Institute, http://consbio.org","not-for-profit use only"
"4559309",-46.5333,-71.6167,NA,"Odontesthes hatcheri","DataBasin-Los Peces de Argentina; Originally provided by Fundación Óga through SSTN","FO","Peces","CC BY-NC 3.0","Conservation Biology Institute, http://consbio.org","not-for-profit use only"
"4559298",-43.2667,-71.3333,NA,"Odontesthes hatcheri","DataBasin-Los Peces de Argentina; Originally provided by Fundación Óga through SSTN","FO","Peces","CC BY-NC 3.0","Conservation Biology Institute, http://consbio.org","not-for-profit use only"
"4559327",-43.1333,-71.6,NA,"Odontesthes hatcheri","DataBasin-Los Peces de Argentina; Originally provided by Fundación Óga through SSTN","FO","Peces","CC BY-NC 3.0","Conservation Biology Institute, http://consbio.org","not-for-profit use only"
"4559315",-42.9833,-71.5167,NA,"Odontesthes hatcheri","DataBasin-Los Peces de Argentina; Originally provided by Fundación Óga through SSTN","FO","Peces","CC BY-NC 3.0","Conservation Biology Institute, http://consbio.org","not-for-profit use only"
"4559303",-42.8333,-71.6333,NA,"Odontesthes hatcheri","DataBasin-Los Peces de Argentina; Originally provided by Fundación Óga through SSTN","FO","Peces","CC BY-NC 3.0","Conservation Biology Institute, http://consbio.org","not-for-profit use only"
"4559297",-42.8333,-71.2667,NA,"Odontesthes hatcheri","DataBasin-Los Peces de Argentina; Originally provided by Fundación Óga through SSTN","FO","Peces","CC BY-NC 3.0","Conservation Biology Institute, http://consbio.org","not-for-profit use only"
"4559296",-42.45,-71.4833,NA,"Odontesthes hatcheri","DataBasin-Los Peces de Argentina; Originally provided by Fundación Óga through SSTN","FO","Peces","CC BY-NC 3.0","Conservation Biology Institute, http://consbio.org","not-for-profit use only"
"4559312",-42.4333,-71.5,NA,"Odontesthes hatcheri","DataBasin-Los Peces de Argentina; Originally provided by Fundación Óga through SSTN","FO","Peces","CC BY-NC 3.0","Conservation Biology Institute, http://consbio.org","not-for-profit use only"
"4559308",-42.4333,-71.4,NA,"Odontesthes hatcheri","DataBasin-Los Peces de Argentina; Originally provided by Fundación Óga through SSTN","FO","Peces","CC BY-NC 3.0","Conservation Biology Institute, http://consbio.org","not-for-profit use only"
"4559295",-42.2,-71.5,NA,"Odontesthes hatcheri","DataBasin-Los Peces de Argentina; Originally provided by Fundación Óga through SSTN","FO","Peces","CC BY-NC 3.0","Conservation Biology Institute, http://consbio.org","not-for-profit use only"
"4559302",-42.1167,-71.6333,NA,"Odontesthes hatcheri","DataBasin-Los Peces de Argentina; Originally provided by Fundación Óga through SSTN","FO","Peces","CC BY-NC 3.0","Conservation Biology Institute, http://consbio.org","not-for-profit use only"
"4559313",-41.3667,-71.55,NA,"Odontesthes hatcheri","DataBasin-Los Peces de Argentina; Originally provided by Fundación Óga through SSTN","FO","Peces","CC BY-NC 3.0","Conservation Biology Institute, http://consbio.org","not-for-profit use only"
"4559272",-41.0667,-71.8,NA,"Odontesthes hatcheri","DataBasin-Los Peces de Argentina; Originally provided by Fundación Óga through SSTN","FO","Peces","CC BY-NC 3.0","Conservation Biology Institute, http://consbio.org","not-for-profit use only"
"4556173",-46.5,-71.35,NA,"Galaxias maculatus","DataBasin-Los Peces de Argentina; Originally provided by Fundación Óga through SSTN","FO","Peces","CC BY-NC 3.0","Conservation Biology Institute, http://consbio.org","not-for-profit use only"
"4556133",-41.7,-71.6833,NA,"Galaxias maculatus","DataBasin-Los Peces de Argentina; Originally provided by Fundación Óga through SSTN","FO","Peces","CC BY-NC 3.0","Conservation Biology Institute, http://consbio.org","not-for-profit use only"
"4556191",-41.5667,-71.4833,NA,"Galaxias maculatus","DataBasin-Los Peces de Argentina; Originally provided by Fundación Óga through SSTN","FO","Peces","CC BY-NC 3.0","Conservation Biology Institute, http://consbio.org","not-for-profit use only"
"4556132",-41.5167,-71.5833,NA,"Galaxias maculatus","DataBasin-Los Peces de Argentina; Originally provided by Fundación Óga through SSTN","FO","Peces","CC BY-NC 3.0","Conservation Biology Institute, http://consbio.org","not-for-profit use only"
"4556179",-41.5167,-71.55,NA,"Galaxias maculatus","DataBasin-Los Peces de Argentina; Originally provided by Fundación Óga through SSTN","FO","Peces","CC BY-NC 3.0","Conservation Biology Institute, http://consbio.org","not-for-profit use only"
"4556178",-41.5,-71.6667,NA,"Galaxias maculatus","DataBasin-Los Peces de Argentina; Originally provided by Fundación Óga through SSTN","FO","Peces","CC BY-NC 3.0","Conservation Biology Institute, http://consbio.org","not-for-profit use only"
"4556189",-41.4981,-71.6919,NA,"Galaxias maculatus","DataBasin-Los Peces de Argentina; Originally provided by Fundación Óga through SSTN","FO","Peces","CC BY-NC 3.0","Conservation Biology Institute, http://consbio.org","not-for-profit use only"
"4556131",-41.3833,-71.7833,NA,"Galaxias maculatus","DataBasin-Los Peces de Argentina; Originally provided by Fundación Óga through SSTN","FO","Peces","CC BY-NC 3.0","Conservation Biology Institute, http://consbio.org","not-for-profit use only"
"4556177",-41.3672,-71.7397,NA,"Galaxias maculatus","DataBasin-Los Peces de Argentina; Originally provided by Fundación Óga through SSTN","FO","Peces","CC BY-NC 3.0","Conservation Biology Institute, http://consbio.org","not-for-profit use only"
"4556172",-41.35,-71.7333,NA,"Galaxias maculatus","DataBasin-Los Peces de Argentina; Originally provided by Fundación Óga through SSTN","FO","Peces","CC BY-NC 3.0","Conservation Biology Institute, http://consbio.org","not-for-profit use only"
"4556190",-41.35,-71.55,NA,"Galaxias maculatus","DataBasin-Los Peces de Argentina; Originally provided by Fundación Óga through SSTN","FO","Peces","CC BY-NC 3.0","Conservation Biology Institute, http://consbio.org","not-for-profit use only"
"4556188",-41.3333,-71.6,NA,"Galaxias maculatus","DataBasin-Los Peces de Argentina; Originally provided by Fundación Óga through SSTN","FO","Peces","CC BY-NC 3.0","Conservation Biology Institute, http://consbio.org","not-for-profit use only"
"4556187",-41.3167,-71.7833,NA,"Galaxias maculatus","DataBasin-Los Peces de Argentina; Originally provided by Fundación Óga through SSTN","FO","Peces","CC BY-NC 3.0","Conservation Biology Institute, http://consbio.org","not-for-profit use only"
"4556170",-41.2667,-71.6333,NA,"Galaxias maculatus","DataBasin-Los Peces de Argentina; Originally provided by Fundación Óga through SSTN","FO","Peces","CC BY-NC 3.0","Conservation Biology Institute, http://consbio.org","not-for-profit use only"
"4556171",-41.25,-71.6667,NA,"Galaxias maculatus","DataBasin-Los Peces de Argentina; Originally provided by Fundación Óga through SSTN","FO","Peces","CC BY-NC 3.0","Conservation Biology Institute, http://consbio.org","not-for-profit use only"
"4556304",-54.6667,-67.8333,NA,"Galaxias platei","DataBasin-Los Peces de Argentina; Originally provided by Fundación Óga through SSTN","FO","Peces","CC BY-NC 3.0","Conservation Biology Institute, http://consbio.org","not-for-profit use only"
"4556303",-54.55,-67.8833,NA,"Galaxias platei","DataBasin-Los Peces de Argentina; Originally provided by Fundación Óga through SSTN","FO","Peces","CC BY-NC 3.0","Conservation Biology Institute, http://consbio.org","not-for-profit use only"
"4556265",-54.4167,-67.75,NA,"Galaxias platei","DataBasin-Los Peces de Argentina; Originally provided by Fundación Óga through SSTN","FO","Peces","CC BY-NC 3.0","Conservation Biology Institute, http://consbio.org","not-for-profit use only"
"4556264",-53.7667,-67.7833,NA,"Galaxias platei","DataBasin-Los Peces de Argentina; Originally provided by Fundación Óga through SSTN","FO","Peces","CC BY-NC 3.0","Conservation Biology Institute, http://consbio.org","not-for-profit use only"
"4556299",-47.8167,-72.15,NA,"Galaxias platei","DataBasin-Los Peces de Argentina; Originally provided by Fundación Óga through SSTN","FO","Peces","CC BY-NC 3.0","Conservation Biology Institute, http://consbio.org","not-for-profit use only"
"4556298",-47.8167,-72.0833,NA,"Galaxias platei","DataBasin-Los Peces de Argentina; Originally provided by Fundación Óga through SSTN","FO","Peces","CC BY-NC 3.0","Conservation Biology Institute, http://consbio.org","not-for-profit use only"
"4556297",-47.7667,-72.2167,NA,"Galaxias platei","DataBasin-Los Peces de Argentina; Originally provided by Fundación Óga through SSTN","FO","Peces","CC BY-NC 3.0","Conservation Biology Institute, http://consbio.org","not-for-profit use only"
"4556259",-47.35,-71.95,NA,"Galaxias platei","DataBasin-Los Peces de Argentina; Originally provided by Fundación Óga through SSTN","FO","Peces","CC BY-NC 3.0","Conservation Biology Institute, http://consbio.org","not-for-profit use only"
"4556258",-46.5333,-71.6167,NA,"Galaxias platei","DataBasin-Los Peces de Argentina; Originally provided by Fundación Óga through SSTN","FO","Peces","CC BY-NC 3.0","Conservation Biology Institute, http://consbio.org","not-for-profit use only"
"4556293",-44.3167,-71.4167,NA,"Galaxias platei","DataBasin-Los Peces de Argentina; Originally provided by Fundación Óga through SSTN","FO","Peces","CC BY-NC 3.0","Conservation Biology Institute, http://consbio.org","not-for-profit use only"
"4556253",-44.2333,-71.1333,NA,"Galaxias platei","DataBasin-Los Peces de Argentina; Originally provided by Fundación Óga through SSTN","FO","Peces","CC BY-NC 3.0","Conservation Biology Institute, http://consbio.org","not-for-profit use only"
"4556244",-44.2167,-71.4,NA,"Galaxias platei","DataBasin-Los Peces de Argentina; Originally provided by Fundación Óga through SSTN","FO","Peces","CC BY-NC 3.0","Conservation Biology Institute, http://consbio.org","not-for-profit use only"
"4556229",-44.2,-71.6,NA,"Galaxias platei","DataBasin-Los Peces de Argentina; Originally provided by Fundación Óga through SSTN","FO","Peces","CC BY-NC 3.0","Conservation Biology Institute, http://consbio.org","not-for-profit use only"
"4556231",-44.2,-71.3667,NA,"Galaxias platei","DataBasin-Los Peces de Argentina; Originally provided by Fundación Óga through SSTN","FO","Peces","CC BY-NC 3.0","Conservation Biology Institute, http://consbio.org","not-for-profit use only"
"4556243",-44.1667,-71.35,NA,"Galaxias platei","DataBasin-Los Peces de Argentina; Originally provided by Fundación Óga through SSTN","FO","Peces","CC BY-NC 3.0","Conservation Biology Institute, http://consbio.org","not-for-profit use only"
"4556292",-44.1667,-71.3,NA,"Galaxias platei","DataBasin-Los Peces de Argentina; Originally provided by Fundación Óga through SSTN","FO","Peces","CC BY-NC 3.0","Conservation Biology Institute, http://consbio.org","not-for-profit use only"
