fid,GlobalUniqueIdentifier,NOMBRE CIENTÍFICO,LOCALIDAD MÁS CERCANA,PROVINCIA,CUENCA,SUBCUENCA,CUERPO DE AGUA,N° DE CUENCA #,CITA,REGIÓN ICTIOG *,Ecoregion Lopez et al 2008,Decimal Latitude,Decimal Longitude,AÑO,CODIGO INSTITUCIÓN,CODIGO COLECCIÓN,N COLECCIÓN,Continente,País,Voucher,Observ,comments,.remove,.locality,.decimalLatitude,.decimalLongitude
1,FO:Peces:260,Galaxias platei,-,Río Negro,Río Manso,-,Lago Los Moscos,75,"Milano y Vigliano, 1997",DAP,Patagonian,-41.35,-71.6166666666667,1997,FO,Peces,260,América del Sur,Argentina,No,,,,,,
2,FO:Peces:261,Galaxias platei,,Río Negro,Río Manso,-,Lago Fonck,75,"Milano y Vigliano, 1997",DAP,Patagonian,-41.3166666666667,-71.7833333333333,1997,FO,Peces,261,América del Sur,Argentina,No,,,,,,
3,FO:Peces:262,Galaxias platei,,Río Negro,Río Manso,-,Lago Mascardi,75,"Milano y Vigliano, 1997",DAP,Patagonian,-41.2666666666667,-71.6333333333333,1997,FO,Peces,262,América del Sur,Argentina,No,,,,,,
4,FO:Peces:1044,Aplochiton taeniatus,San Martín de los Andes,Neuquén,Pacífico,Río Hua Hum,Lago Lácar,74,"Ringuelet et al., 1967",DAP,Patagonian,-40.1666666666667,-71.45,1967,FO,Peces,1044,América del Sur,Argentina,No,,remove,remove,,,
5,FO:Peces:1045,Aplochiton taeniatus,Lago Puelo,Chubut,Río Manso,Río Manso,Lago Puelo,75,"Ringuelet et al., 1967",DAP,Patagonian,-42.1166666666667,-71.6333333333333,1967,FO,Peces,1045,América del Sur,Argentina,No,,,,,,
6,FO:Peces:1997,Aplochiton zebra,-,Río Negro,Pacífico,Cuenca del río Manso,-,75,"Arratia et al., 1983",DAP,Patagonian,-41.3666666666667,-71.55,1983,FO,Peces,1997,América del Sur,Argentina,No,,remove. unprecice location by watershed.,remove,,,
7,FO:Peces:2095,Diplomystes viedmensis,Filo Hua Hum,Neuquén,Río Filo Hua Hum,Río Filo Hua Hum,Río Filo Hua Hum,74,"Azpelicueta, 1994",DAP,Patagonian,-40.5,-71.35,1994,FO,Peces,2095,América del Sur,Argentina,No,Antes Diplomystes viedmensis,remove,remove,,,
8,FO:Peces:2231,Hatcheria macraei,Lago Blanco,Chubut,Pacífico,Río Simpson?,Río Blanco (lago Blanco?),78,"Ringuelet et al., 1967",DAP,Patagonian,-45.9333333333333,-71.2666666666667,1967,FO,Peces,2231,América del Sur,Argentina,No,,"Remove. according to Ringuelet 1967, locality is Arroyo el Gato, cuenca del lago Fontana, Rio Blanco. Estas localidades se encuentran fueran del poligono.",remove,,,
9,FO:Peces:2328,Odontesthes hatcheri,Lago Posadas,Santa Cruz,Pacífico,Lagos Buenos Aires-Pueyrredón,Lago Pueyrredón,79,"Ringuelet et al., 1967",DAP,Patagonian,-47.35,-71.95,1967,FO,Peces,2328,América del Sur,Argentina,No,,,,,,
10,FO:Peces:2486,Hatcheria macraei,Los Antiguos,Santa Cruz,Pacífico (río Aysen),Río Deseado,Lago Buenos Aires,79,"Gómez, 1990",DAP,Patagonian,-46.5333333333333,-71.6166666666667,1990,FO,Peces,2486,América del Sur,Argentina,No,,,,,,
11,FO:Peces:7235,Oncorhynchus tshawytscha,Corcovado,Chubut,Pacífico,Río Corcovado o Carrenleufú,Ríos Corcovado y Grande,77,"Grosman, 1991",DAP,Patagonian,-43.5333333333333,-71.4833333333333,1991,FO,Peces,7235,América del Sur,Argentina,No,,,,,,
12,FO:Peces:4497,Galaxias maculatus,San Martín de los Andes,Neuquén,Pacífico,Río Hua Hum,Lago Lácar,74,"Bello, 2002",DAP,Patagonian,-40.1666666666667,-71.45,2002,FO,Peces,4497,América del Sur,Argentina,No,,remove,remove,,,
13,FO:Peces:4509,Galaxias maculatus,Bariloche,Río Negro,Pacífico,Río Manso,Lago Mascardi,75,"Bello, 2002",DAP,Patagonian,-41.35,-71.55,2002,FO,Peces,4509,América del Sur,Argentina,No,,,,,,
14,FO:Peces:4510,Galaxias maculatus,Bariloche,Río Negro,Pacífico,Río Manso,Lago Guillelmo,75,"Bello, 2002",DAP,Patagonian,-41.35,-71.55,2002,FO,Peces,4510,América del Sur,Argentina,No,,"-41.386566, -71.494250",,,-41.386566,-71.49425
15,FO:Peces:4511,Galaxias maculatus,Bariloche,Río Negro,Pacífico,Río Manso,Lago Fonck,75,"Bello, 2002",DAP,Patagonian,-41.3166666666667,-71.7833333333333,2002,FO,Peces,4511,América del Sur,Argentina,No,,,,,,
