CITA,bibliography
"Arratia et al., 1983","Arratia, G, MB Peñafort y S Menu-Marque. 1983. Peces de la región sureste de los Andes y sus probables relaciones biogeográficas actuales. Deserta, 7: 48-107"
"Azpelicueta, 1994","Azpelicueta, MM. 1994. Los Diplomístidos en la Argentina (Siluriformes, Diplomystidae). Fauna de Agua Dulce de la República Argentina, 40 (4): 4-27"
"Bello, 2002","Bello, MT. 2002. Los peces autóctonos de la Patagonia argentina. Distribución natural. Cuadernos Universitarios. Universidad Nacional del Comahue. Centro Regional Bariloche. Nº 23: 54 pp."
"Conte-Grand et al., 2015","Conte-Grand, C, J Sommer, G Ortí y V Cussac. 2015. Populations of Odontesthes (Teleostei: Atheriniformes) in the Andean region of Southern South America: body shape and hybrid individuals. Neotropical Ichthyology, 13 (1): 137-150"
"Cussac et al., 2004","Cussac, V, S Ortubay, G Iglesias, D Milano, ME Lattuca, JP Barriga, M Battini y M Gross. 2004. The distribution of South American galaxiid fishes: the role of biological traits and post-glacial history. J. Biogeog. 31: 103-121"
"Cussac et al., 2012","Cussac, V, E Habit, J González, MA Battini, JP Barriga y S Crichigno. 2012. Informe de avance: Los peces de agua dulce de la Patagonia: una puesta al día. URL: http://www.comahue-conicet.gob.ar/archivos/t7_cod118_Peces%20de%20agua%20dulce.pdf"
"GBIF, 2019",GBIF.org (10 October 2019) GBIF Occurrence Download https://doi.org/10.15468/dl.vvsdxx (GBIF 0015965-190918142434337)
"Gómez, 1990","Gómez, SE. 1990. Some thermal ecophysiological observations on the catfish Hatcheria macraei (Girard, 1858) (Pisces, Trichomycteridae). Biota, Chile 6: 89-95"
"Grosman, 1991","Grosman, F. 1991. Presencia de salmón rey, Onkorhynchus tschawytscha Walbaum en las cuencas de los ríos Grande y Corcovado, pcia de Chubut. Propuestas de pautas de manejo del recurso. Biol. Acuát. 15 (2): 200-201"
"Grosman y Rudzik, 1990","Grosman, F y G Rudzik. 1990. Análisis de la dieta del pejerrey patagónico Patagonina hatcheri Eigenmann 1909, Atherinidae, en la laguna Terraplén, Chubut, Argentina. Biota, Chile 6: 71-88"
"Milano y Vigliano, 1997","Milano, D y PH Vigliano. 1997. Nuevos registros de Galaxias platei Steindachner, 1898 en lagos andino-patagónicos (Teleostei, Osmeriformes, Galaxiidae). Neotrópica 43 (109-110): 109-111"
"Milano et al., 2002","Milano, D, VE Cussac, PJ Macchi, DE Ruzzante, MF Alonso, PH Vigliano y MA Denegri. 2002. Predator associated morphology in Galaxias platei in Patagonian lakes. J. Fish Biol., UK, 61 (1): 138-156."
"Ringuelet et al., 1967","Ringuelet, RA, R Arámburu y AA de Arámburu. 1967. Los peces argentinos de agua dulce. Com. Invest. Cient. Prov. Buenos Aires (CIC) La Plata, 602 pp"
"Soto et al., 2007","Soto, D, I Arismendi, C Di Prinzio y F Jara. 2007. Establishment of Chinook salmon (Oncorhynchus tshawytscha) in Pacific basins of southern South America and its potential ecosystem implications. Revista chilena de historia natural 80 (1): 81-98"
"Ubeda et al., 1989","Ubeda, C, L Semenas y S Ortubay. 1989. Nuevas citas para Camallanus tridentatus. Physis, B, 47 (112): 10"
"Zemlak et al., 2010","Zemlak, TS, EM Habit, SJ Walde, C Carrea, DE Ruzzante. 2010. Surviving historical Patagonian landscapes and climate: molecular insights from Galaxias maculatus. BMC Evolutionary Biology, 2010. 10:67"
"Zemlak et al., 2008","Zemlak, TS, EM Habit, SJ Walde, MA Battini, EDM Adams y DE Ruzzante. 2008. Across the southern Andes on fin: glacial refugia, drainage reversals and a secondary contact zone revealed by the phylogeographical signal of Galaxias platei in Patagonia. Molecular Ecology (2008) 17: 5049-5061"
