"occurrenceID","datasetName","catalogNumber","bibliographicCitation","references","basisOfRecord","individualCount","sex","lifeStage","establishmentMeans","disposition","occurrenceRemarks","verbatimEventDate","eventDate","eventTime","year","month","day","habitat","samplingProtocol","samplingEffort","eventRemarks","continent","country","countryCode","stateProvince","county","municipality","locality","verbatimElevation","verbatimLatitude","verbatimLongitude","decimalLatitude","decimalLongitude","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","vernacularName","license","datasetName_tmp","data_source"
"MAguilar.Lit.Review.1","González-Aguilar, Marilyn (2023) Recopilación bibliográfica de ocurrencia de peces en la Patagonia del proyecto Priorización de Cuencas para la Conservación en Patagonia. Programa Austral Patagonia (ProAP) de The Pew Charitable Trusts. Coyhaique.","1","Aigo, J., Cussac, V., Peris, S. et al. Distribution of introduced and native fish in Patagonia (Argentina): patterns and changes in fish assemblages. Rev Fish Biol Fisheries 18, 387–408 (2008). https://doi.org/10.1007/s11160-007-9080-8","Hidroeléctrica Futaleufú pers. com.  |  IARH-INCYTH. 1995. Catálogo de los lagos y embalses de la Argentina. Proyecto Catálogo Nacional de Lagos y Lagunas Argentinas y su Medio Ambiente. Ministerio de Economía y Obras Servicios Públicos, Secretaría de Obras y Servicios Públicos.  |  Ortubay S, Semenas L, Úbeda C, Quaggiotto A, Viozzi G. (1994). Catálogo de peces dulceacuícolas de la Patagonia argentina y sus parásitos metazoos, Río Negro, Argentina, Subsecretaría de Recursos Naturales, 110 p.","HumanObservation",NA,NA,NA,"native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sudamérica","Argentina","AR","Provincia del Chubut","Departamento de Futaleufú",NA,"Lago Amutui Quimei","485 m.a.s.l.","43°03'S","71°45'O",-43.0500000002,-71.7500000004,"Animalia","Chordata","Actinopterygii","Osmeriformes","Galaxiidae","Aplochiton","zebra","Aplochiton zebra",NA,"CC BY-NC 4.0","Aguilar-González, Marilyn (2023) Recopilación bibliográfica de ocurrencia peces en la Patagonia. Proyecto Priorización de Cuencas para la Conservación en Patagonia. Programa Austral Patagonia (ProAP) de The Pew Charitable Trusts. Coyhaique.","Review by M. González-Aguilar (2023)"
"MAguilar.Lit.Review.2","González-Aguilar, Marilyn (2023) Recopilación bibliográfica de ocurrencia de peces en la Patagonia del proyecto Priorización de Cuencas para la Conservación en Patagonia. Programa Austral Patagonia (ProAP) de The Pew Charitable Trusts. Coyhaique.","2","Aigo, J., Cussac, V., Peris, S. et al. Distribution of introduced and native fish in Patagonia (Argentina): patterns and changes in fish assemblages. Rev Fish Biol Fisheries 18, 387–408 (2008). https://doi.org/10.1007/s11160-007-9080-8","IARH-INCYTH. 1995. Catálogo de los lagos y embalses de la Argentina. Proyecto Catálogo Nacional de Lagos y Lagunas Argentinas y su Medio Ambiente. Ministerio de Economía y Obras Servicios Públicos, Secretaría de Obras y Servicios Públicos.  |  Ortubay S, Semenas L, Úbeda C, Quaggiotto A, Viozzi G. (1994). Catálogo de peces dulceacuícolas de la Patagonia argentina y sus parásitos metazoos, Río Negro, Argentina, Subsecretaría de Recursos Naturales, 110 p.","HumanObservation",NA,NA,NA,"native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sudamérica","Argentina","AR","Provincia del Chubut","Departamento de Cushamen",NA,"Lago Cholila","547 m.a.s.l.","42°27'S","71°40'O",-42.4499999996,-71.6666666666,"Animalia","Chordata","Actinopterygii","Osmeriformes","Galaxiidae","Aplochiton","zebra","Aplochiton zebra",NA,"CC BY-NC 4.0","Aguilar-González, Marilyn (2023) Recopilación bibliográfica de ocurrencia peces en la Patagonia. Proyecto Priorización de Cuencas para la Conservación en Patagonia. Programa Austral Patagonia (ProAP) de The Pew Charitable Trusts. Coyhaique.","Review by M. González-Aguilar (2023)"
"MAguilar.Lit.Review.3","González-Aguilar, Marilyn (2023) Recopilación bibliográfica de ocurrencia de peces en la Patagonia del proyecto Priorización de Cuencas para la Conservación en Patagonia. Programa Austral Patagonia (ProAP) de The Pew Charitable Trusts. Coyhaique.","3","Aigo, J., Cussac, V., Peris, S. et al. Distribution of introduced and native fish in Patagonia (Argentina): patterns and changes in fish assemblages. Rev Fish Biol Fisheries 18, 387–408 (2008). https://doi.org/10.1007/s11160-007-9080-8","IARH-INCYTH. 1995. Catálogo de los lagos y embalses de la Argentina. Proyecto Catálogo Nacional de Lagos y Lagunas Argentinas y su Medio Ambiente. Ministerio de Economía y Obras Servicios Públicos, Secretaría de Obras y Servicios Públicos.  |  Ortubay S, Semenas L, Úbeda C, Quaggiotto A, Viozzi G. (1994). Catálogo de peces dulceacuícolas de la Patagonia argentina y sus parásitos metazoos, Río Negro, Argentina, Subsecretaría de Recursos Naturales, 110 p.","HumanObservation",NA,NA,NA,"native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sudamérica","Argentina","AR","Provincia del Chubut","Departamento de Cushamen","Lago Epuyén","Lago Epuyén","250 m.a.s.l.","42°11'S","71°30'O",-42.1833333332,-71.5,"Animalia","Chordata","Actinopterygii","Osmeriformes","Galaxiidae","Aplochiton","zebra","Aplochiton zebra",NA,"CC BY-NC 4.0","Aguilar-González, Marilyn (2023) Recopilación bibliográfica de ocurrencia peces en la Patagonia. Proyecto Priorización de Cuencas para la Conservación en Patagonia. Programa Austral Patagonia (ProAP) de The Pew Charitable Trusts. Coyhaique.","Review by M. González-Aguilar (2023)"
"MAguilar.Lit.Review.4","González-Aguilar, Marilyn (2023) Recopilación bibliográfica de ocurrencia de peces en la Patagonia del proyecto Priorización de Cuencas para la Conservación en Patagonia. Programa Austral Patagonia (ProAP) de The Pew Charitable Trusts. Coyhaique.","4","Aigo, J., Cussac, V., Peris, S. et al. Distribution of introduced and native fish in Patagonia (Argentina): patterns and changes in fish assemblages. Rev Fish Biol Fisheries 18, 387–408 (2008). https://doi.org/10.1007/s11160-007-9080-8","-","HumanObservation",NA,NA,NA,"native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sudamérica","Argentina","AR","Provincia de Río Negro","Departamento de Bariloche",NA,"Lago Foyel","824 m.a.s.l.","41°55'S","71°18'O",-41.9166666667,-71.3000000004,"Animalia","Chordata","Actinopterygii","Osmeriformes","Galaxiidae","Aplochiton","zebra","Aplochiton zebra",NA,"CC BY-NC 4.0","Aguilar-González, Marilyn (2023) Recopilación bibliográfica de ocurrencia peces en la Patagonia. Proyecto Priorización de Cuencas para la Conservación en Patagonia. Programa Austral Patagonia (ProAP) de The Pew Charitable Trusts. Coyhaique.","Review by M. González-Aguilar (2023)"
"MAguilar.Lit.Review.5","González-Aguilar, Marilyn (2023) Recopilación bibliográfica de ocurrencia de peces en la Patagonia del proyecto Priorización de Cuencas para la Conservación en Patagonia. Programa Austral Patagonia (ProAP) de The Pew Charitable Trusts. Coyhaique.","5","Aigo, J., Cussac, V., Peris, S. et al. Distribution of introduced and native fish in Patagonia (Argentina): patterns and changes in fish assemblages. Rev Fish Biol Fisheries 18, 387–408 (2008). https://doi.org/10.1007/s11160-007-9080-8","Cussac V, Ortubay S, Iglesias G, Milano D, Lattuca M, Barriga J, Battini M, Gross M (2004) The distribution of South American galaxiid fishes: the role of biological traits and post glacial history. J Biogeogr 31:103–122  |  IARH-INCYTH. 1995. Catálogo de los lagos y embalses de la Argentina. Proyecto Catálogo Nacional de Lagos y Lagunas Argentinas y su Medio Ambiente. Ministerio de Economía y Obras Servicios Públicos, Secretaría de Obras y Servicios Públicos.  |  Ortubay S, Semenas L, Úbeda C, Quaggiotto A, Viozzi G. (1994). Catálogo de peces dulceacuícolas de la Patagonia argentina y sus parásitos metazoos, Río Negro, Argentina, Subsecretaría de Recursos Naturales, 110 p.","HumanObservation",NA,NA,NA,"native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sudamérica","Argentina","AR","Provincia del Chubut","Departamento de Futaleufú","Villa Futalaufquen","Lago Futalaufquen","518 m.a.s.l.","42°49'S","71°43'O",-42.8166666667,-71.7166666674,"Animalia","Chordata","Actinopterygii","Osmeriformes","Galaxiidae","Aplochiton","zebra","Aplochiton zebra",NA,"CC BY-NC 4.0","Aguilar-González, Marilyn (2023) Recopilación bibliográfica de ocurrencia peces en la Patagonia. Proyecto Priorización de Cuencas para la Conservación en Patagonia. Programa Austral Patagonia (ProAP) de The Pew Charitable Trusts. Coyhaique.","Review by M. González-Aguilar (2023)"
"MAguilar.Lit.Review.6","González-Aguilar, Marilyn (2023) Recopilación bibliográfica de ocurrencia de peces en la Patagonia del proyecto Priorización de Cuencas para la Conservación en Patagonia. Programa Austral Patagonia (ProAP) de The Pew Charitable Trusts. Coyhaique.","6","Aigo, J., Cussac, V., Peris, S. et al. Distribution of introduced and native fish in Patagonia (Argentina): patterns and changes in fish assemblages. Rev Fish Biol Fisheries 18, 387–408 (2008). https://doi.org/10.1007/s11160-007-9080-8","Cussac V, Ortubay S, Iglesias G, Milano D, Lattuca M, Barriga J, Battini M, Gross M (2004) The distribution of South American galaxiid fishes: the role of biological traits and post glacial history. J Biogeogr 31:103–122  |  IARH-INCYTH. 1995. Catálogo de los lagos y embalses de la Argentina. Proyecto Catálogo Nacional de Lagos y Lagunas Argentinas y su Medio Ambiente. Ministerio de Economía y Obras Servicios Públicos, Secretaría de Obras y Servicios Públicos.  |  Lattuca ME, Ortubay S, Battini MA, Barriga JP, Cussac VE (2007) Presumptive environmental effects on body shape of Aplochiton zebra (Pisces, Galaxiidae) in northern Patagonian lakes. J Appl Ichthyol 23:25–33   |   Ortubay S, Semenas L, Úbeda C, Quaggiotto A, Viozzi G. (1994). Catálogo de peces dulceacuícolas de la Patagonia argentina y sus parásitos metazoos, Río Negro, Argentina, Subsecretaría de Recursos Naturales, 110 p.","HumanObservation",NA,NA,NA,"native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sudamérica","Argentina","AR","Provincia del Chubut","Departamento de Cushamen","Lago Puelo","Lago Puelo","150 m.a.s.l.","42°10'S","71°40'O",-42.1666666671,-71.6666666666,"Animalia","Chordata","Actinopterygii","Osmeriformes","Galaxiidae","Aplochiton","zebra","Aplochiton zebra",NA,"CC BY-NC 4.0","Aguilar-González, Marilyn (2023) Recopilación bibliográfica de ocurrencia peces en la Patagonia. Proyecto Priorización de Cuencas para la Conservación en Patagonia. Programa Austral Patagonia (ProAP) de The Pew Charitable Trusts. Coyhaique.","Review by M. González-Aguilar (2023)"
"MAguilar.Lit.Review.7","González-Aguilar, Marilyn (2023) Recopilación bibliográfica de ocurrencia de peces en la Patagonia del proyecto Priorización de Cuencas para la Conservación en Patagonia. Programa Austral Patagonia (ProAP) de The Pew Charitable Trusts. Coyhaique.","7","Aigo, J., Cussac, V., Peris, S. et al. Distribution of introduced and native fish in Patagonia (Argentina): patterns and changes in fish assemblages. Rev Fish Biol Fisheries 18, 387–408 (2008). https://doi.org/10.1007/s11160-007-9080-8","-","HumanObservation",NA,NA,NA,"native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sudamérica","Argentina","AR","Provincia del Chubut","Departamento de Futaleufú","Villa Lago Rivadavia","Lago Rivadavia","527 m.a.s.l.","42°36'S","71°39'O",-42.6000000002,-71.6499999997,"Animalia","Chordata","Actinopterygii","Osmeriformes","Galaxiidae","Aplochiton","zebra","Aplochiton zebra",NA,"CC BY-NC 4.0","Aguilar-González, Marilyn (2023) Recopilación bibliográfica de ocurrencia peces en la Patagonia. Proyecto Priorización de Cuencas para la Conservación en Patagonia. Programa Austral Patagonia (ProAP) de The Pew Charitable Trusts. Coyhaique.","Review by M. González-Aguilar (2023)"
"MAguilar.Lit.Review.8","González-Aguilar, Marilyn (2023) Recopilación bibliográfica de ocurrencia de peces en la Patagonia del proyecto Priorización de Cuencas para la Conservación en Patagonia. Programa Austral Patagonia (ProAP) de The Pew Charitable Trusts. Coyhaique.","8","Aigo, J., Cussac, V., Peris, S. et al. Distribution of introduced and native fish in Patagonia (Argentina): patterns and changes in fish assemblages. Rev Fish Biol Fisheries 18, 387–408 (2008). https://doi.org/10.1007/s11160-007-9080-8","Cussac V, Ortubay S, Iglesias G, Milano D, Lattuca M, Barriga J, Battini M, Gross M (2004) The distribution of South American galaxiid fishes: the role of biological traits and post glacial history. J Biogeogr 31:103–122   |   Milano D, Cussac VE, Macchi PJ, Ruzzante DE, Alonso MF, Vigliano PH, Denegri MA (2002) Predator associated morphology in Galaxias platei in Patagonian lakes. J Fish Biol 61:138–156   |   Milano D, Ruzzante DE, Cussac VE, Macchi PJ, Ferriz RA, Barriga JP, Aigo JC, Lattuca ME, Walde SJ (2006) Latitudinal and ecological correlates of morphological variation in Galaxias platei (Pisces, Galaxiidae) in Patagonia. Biol J Linnean Soc 87:69–82   |   Semenas pers. com.","HumanObservation",NA,NA,NA,"native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sudamérica","Argentina","AR","Provincia de Río Negro","Departamento de Bariloche",NA,"Lago Fonck","775 m.a.s.l.","41°19'S","71°45'O",-41.316666667,-71.7500000004,"Animalia","Chordata","Actinopterygii","Osmeriformes","Galaxiidae","Galaxias","maculatus","Galaxias maculatus","Puyen chico","CC BY-NC 4.0","Aguilar-González, Marilyn (2023) Recopilación bibliográfica de ocurrencia peces en la Patagonia. Proyecto Priorización de Cuencas para la Conservación en Patagonia. Programa Austral Patagonia (ProAP) de The Pew Charitable Trusts. Coyhaique.","Review by M. González-Aguilar (2023)"
"MAguilar.Lit.Review.9","González-Aguilar, Marilyn (2023) Recopilación bibliográfica de ocurrencia de peces en la Patagonia del proyecto Priorización de Cuencas para la Conservación en Patagonia. Programa Austral Patagonia (ProAP) de The Pew Charitable Trusts. Coyhaique.","9","Aigo, J., Cussac, V., Peris, S. et al. Distribution of introduced and native fish in Patagonia (Argentina): patterns and changes in fish assemblages. Rev Fish Biol Fisheries 18, 387–408 (2008). https://doi.org/10.1007/s11160-007-9080-8","De Negri pers. com.    |     Macchi PJ (2004) Respuestas poblacionales de Galaxias maculatus a la depredación por parte de Percichthys trucha y los salmónidos introducidos en la Patagonia. PhD Thesis, Universidad Nacional del Comahue, San Carlos de Bariloche, Argentina, 172 p   |    Zattara EE, Premolí AC (2004) Genetic structuring in Andean landlocked populations of Galaxias maculatus: effects of biogeographic history. J Biogeogr 31:1–10","HumanObservation",NA,NA,NA,"native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sudamérica","Argentina","AR","Provincia de Río Negro","Departamento de Bariloche","Villa Mascardi","Lago Guillelmo","826 m.a.s.l.","41°22'S","71°29'O",-41.3666666669,-71.4833333331,"Animalia","Chordata","Actinopterygii","Osmeriformes","Galaxiidae","Galaxias","maculatus","Galaxias maculatus","Puyen chico","CC BY-NC 4.0","Aguilar-González, Marilyn (2023) Recopilación bibliográfica de ocurrencia peces en la Patagonia. Proyecto Priorización de Cuencas para la Conservación en Patagonia. Programa Austral Patagonia (ProAP) de The Pew Charitable Trusts. Coyhaique.","Review by M. González-Aguilar (2023)"
"MAguilar.Lit.Review.10","González-Aguilar, Marilyn (2023) Recopilación bibliográfica de ocurrencia de peces en la Patagonia del proyecto Priorización de Cuencas para la Conservación en Patagonia. Programa Austral Patagonia (ProAP) de The Pew Charitable Trusts. Coyhaique.","10","Aigo, J., Cussac, V., Peris, S. et al. Distribution of introduced and native fish in Patagonia (Argentina): patterns and changes in fish assemblages. Rev Fish Biol Fisheries 18, 387–408 (2008). https://doi.org/10.1007/s11160-007-9080-8","Cussac V, Ortubay S, Iglesias G, Milano D, Lattuca M, Barriga J, Battini M, Gross M (2004) The distribution of South American galaxiid fishes: the role of biological traits and post glacial history. J Biogeogr 31:103–122   |   Milano D, Cussac VE, Macchi PJ, Ruzzante DE, Alonso MF, Vigliano PH, Denegri MA (2002) Predator associated morphology in Galaxias platei in Patagonian lakes. J Fish Biol 61:138–156   |   Milano D, Ruzzante DE, Cussac VE, Macchi PJ, Ferriz RA, Barriga JP, Aigo JC, Lattuca ME, Walde SJ (2006) Latitudinal and ecological correlates of morphological variation in Galaxias platei (Pisces, Galaxiidae) in Patagonia. Biol J Linnean Soc 87:69–82   |   Semenas pers. com.","HumanObservation",NA,NA,NA,"native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sudamérica","Argentina","AR","Provincia de Río Negro","Departamento de Bariloche",NA,"Laguna Los Moscos","800 m.a.s.l.","41°21'S","71°36'O",-41.35,-71.5999999998,"Animalia","Chordata","Actinopterygii","Osmeriformes","Galaxiidae","Galaxias","maculatus","Galaxias maculatus","Puyen chico","CC BY-NC 4.0","Aguilar-González, Marilyn (2023) Recopilación bibliográfica de ocurrencia peces en la Patagonia. Proyecto Priorización de Cuencas para la Conservación en Patagonia. Programa Austral Patagonia (ProAP) de The Pew Charitable Trusts. Coyhaique.","Review by M. González-Aguilar (2023)"
