"bibliographicCitation","decimalLongitude","decimalLatitude","occurrenceID","catalogNumber","month","year","locationRemarks","verbatimLatitude","verbatimLongitude","verbatimCoordinateSystem","verbatimSRS","scientificName","samplingProtocol","individualCount","datasetName","license","datasetName_tmp","accessRights","data_source"
"INGENAT (2016) Plan De Seguimiento De Varialbes Ambientales, Monitoreo Fauna Ictica Piscicultura Rio Rollizo",-72.334488,-41.444479,"SUBPESCA.PecesContinentales2019.27830","27830",3,2016,"Rio Rollizo Aguas arriba de la bocatoma","-41.444479000000001","-72.334487999999993","DECIMAL","ND","Oncorhynchus mykiss","Pesca electrica",4,"SUBPESCA (2019) Sistematización de registros de peces de aguas continentales.","CC NC-BY 4.0","SUBPESCA-1","Publicaciones científicas y estudios parte del SEA son de acceso público","SUBPESCA Peces Continentales (2019)"
"INGENAT (2016) Plan De Seguimiento De Varialbes Ambientales, Monitoreo Fauna Ictica Piscicultura Rio Rollizo",-72.334488,-41.444479,"SUBPESCA.PecesContinentales2019.27831","27831",3,2016,"Rio Rollizo Aguas arriba de la bocatoma","-41.444479000000001","-72.334487999999993","DECIMAL","ND","Salmo trutta","Pesca electrica",3,"SUBPESCA (2019) Sistematización de registros de peces de aguas continentales.","CC NC-BY 4.0","SUBPESCA-1","Publicaciones científicas y estudios parte del SEA son de acceso público","SUBPESCA Peces Continentales (2019)"
"INGENAT (2016) Plan De Seguimiento De Varialbes Ambientales, Monitoreo Fauna Ictica Piscicultura Rio Rollizo",-72.33322,-41.444756,"SUBPESCA.PecesContinentales2019.27832","27832",3,2016,"Rio Rollizo entre bocatoma y restitución","-41.444755999999998","-72.333219999999997","DECIMAL","ND","Salmo trutta","Pesca electrica",8,"SUBPESCA (2019) Sistematización de registros de peces de aguas continentales.","CC NC-BY 4.0","SUBPESCA-1","Publicaciones científicas y estudios parte del SEA son de acceso público","SUBPESCA Peces Continentales (2019)"
"INGENAT (2016) Plan De Seguimiento De Varialbes Ambientales, Monitoreo Fauna Ictica Piscicultura Rio Rollizo",-72.33196,-41.445997,"SUBPESCA.PecesContinentales2019.27833","27833",3,2016,"Rio Rollizo aguas abajo de la restitución","-41.445996999999998","-72.331959999999995","DECIMAL","ND","Oncorhynchus mykiss","Pesca electrica",6,"SUBPESCA (2019) Sistematización de registros de peces de aguas continentales.","CC NC-BY 4.0","SUBPESCA-1","Publicaciones científicas y estudios parte del SEA son de acceso público","SUBPESCA Peces Continentales (2019)"
"INGENAT (2016) Plan De Seguimiento De Varialbes Ambientales, Monitoreo Fauna Ictica Piscicultura Rio Rollizo",-72.33196,-41.445997,"SUBPESCA.PecesContinentales2019.27834","27834",3,2016,"Rio Rollizo aguas abajo de la restitución","-41.445996999999998","-72.331959999999995","DECIMAL","ND","Salmo trutta","Pesca electrica",8,"SUBPESCA (2019) Sistematización de registros de peces de aguas continentales.","CC NC-BY 4.0","SUBPESCA-1","Publicaciones científicas y estudios parte del SEA son de acceso público","SUBPESCA Peces Continentales (2019)"
"TERRAMAR, Estudios Territoriales (2013) Informe Linea Base Limnologia Proyecto Central De Pasada Mediterraneo. NA, https://seia.sea.gob.cl/expediente/ficha/fichaPrincipal.php?modo=ficha&id_expediente=6357086",-71.943477,-41.642574,"SUBPESCA.PecesContinentales2019.28720","28720",3,2013,"E08","755394",NA,"SD","WGS 84","Salmo trutta","Pesca electrica",4,"SUBPESCA (2019) Sistematización de registros de peces de aguas continentales.","CC NC-BY 4.0","SUBPESCA-1","Publicaciones científicas y estudios parte del SEA son de acceso público","SUBPESCA Peces Continentales (2019)"
"TERRAMAR, Estudios Territoriales (2013) Informe Linea Base Limnologia Proyecto Central De Pasada Mediterraneo. NA, https://seia.sea.gob.cl/expediente/ficha/fichaPrincipal.php?modo=ficha&id_expediente=6357086",-71.943477,-41.642574,"SUBPESCA.PecesContinentales2019.28720","28720",3,2013,"E08","755394",NA,"SD","WGS 84","Salmo trutta","Pesca electrica",4,"SUBPESCA (2019) Sistematización de registros de peces de aguas continentales.","CC NC-BY 4.0","SUBPESCA-1","Publicaciones científicas y estudios parte del SEA son de acceso público","SUBPESCA Peces Continentales (2019)"
"Gaman Limno Studies Ltda. (2014) Central Hidroelectrica Chaica",-72.600555556,-41.598,"SUBPESCA.PecesContinentales2019.31197","31197",3,2014,"E1","41°35'52.80""S","72°36'2.00""O","DECIMAL",NA,"Salmo salar","Pesca electrica",2,"SUBPESCA (2019) Sistematización de registros de peces de aguas continentales.","CC NC-BY 4.0","SUBPESCA-1","Publicaciones científicas y estudios parte del SEA son de acceso público","SUBPESCA Peces Continentales (2019)"
"Gaman Limno Studies Ltda. (2014) Central Hidroelectrica Chaica",-72.616436111,-41.602375,"SUBPESCA.PecesContinentales2019.31198","31198",3,2014,"E2","41°36'8.55""S","72°36'59.17""O","DECIMAL",NA,"Salmo salar","Espinel",1,"SUBPESCA (2019) Sistematización de registros de peces de aguas continentales.","CC NC-BY 4.0","SUBPESCA-1","Publicaciones científicas y estudios parte del SEA son de acceso público","SUBPESCA Peces Continentales (2019)"
"Gaman Limno Studies Ltda. (2014) Central Hidroelectrica Chaica",-72.645333333,-41.606275,"SUBPESCA.PecesContinentales2019.31199","31199",3,2014,"E3","41°36'22.59""S","72°38'43.20""O","DECIMAL",NA,"Salmo salar","Espinel",1,"SUBPESCA (2019) Sistematización de registros de peces de aguas continentales.","CC NC-BY 4.0","SUBPESCA-1","Publicaciones científicas y estudios parte del SEA son de acceso público","SUBPESCA Peces Continentales (2019)"
"Gaman Limno Studies Ltda. (2014) Central Hidroelectrica Chaica",-72.645333333,-41.606275,"SUBPESCA.PecesContinentales2019.31200","31200",3,2014,"E3","41°36'22.59""S","72°38'43.20""O","DECIMAL",NA,"Salmo salar","Pesca electrica",1,"SUBPESCA (2019) Sistematización de registros de peces de aguas continentales.","CC NC-BY 4.0","SUBPESCA-1","Publicaciones científicas y estudios parte del SEA son de acceso público","SUBPESCA Peces Continentales (2019)"
"Gaman Limno Studies Ltda. (2014) Central Hidroelectrica Chaica",-72.653977778,-41.610766667,"SUBPESCA.PecesContinentales2019.31201","31201",3,2014,"E5","41°36'38.76""S","72°39'14.32""O","DECIMAL",NA,"Salmo salar","Pesca electrica",1,"SUBPESCA (2019) Sistematización de registros de peces de aguas continentales.","CC NC-BY 4.0","SUBPESCA-1","Publicaciones científicas y estudios parte del SEA son de acceso público","SUBPESCA Peces Continentales (2019)"
"Gaman Limno Studies Ltda. (2014) Central Hidroelectrica Chaica",-72.645333333,-41.606275,"SUBPESCA.PecesContinentales2019.31202","31202",7,2014,"E3","41°36'22.59""S","72°38'43.20""O","DECIMAL",NA,"Salmo salar","Pesca electrica",1,"SUBPESCA (2019) Sistematización de registros de peces de aguas continentales.","CC NC-BY 4.0","SUBPESCA-1","Publicaciones científicas y estudios parte del SEA son de acceso público","SUBPESCA Peces Continentales (2019)"
"Gaman Limno Studies Ltda. (2014) Central Hidroelectrica Chaica",-72.652518333,-41.608119444,"SUBPESCA.PecesContinentales2019.31203","31203",7,2014,"E4","41°36'29.23""S","72°39'9.66""O","DECIMAL",NA,"Salmo salar","Pesca electrica",1,"SUBPESCA (2019) Sistematización de registros de peces de aguas continentales.","CC NC-BY 4.0","SUBPESCA-1","Publicaciones científicas y estudios parte del SEA son de acceso público","SUBPESCA Peces Continentales (2019)"
"Gaman Limno Studies Ltda. (2014) Central Hidroelectrica Chaica",-72.652518333,-41.608119444,"SUBPESCA.PecesContinentales2019.31204","31204",7,2014,"E4","41°36'29.23""S","72°39'9.66""O","DECIMAL",NA,"Salmo salar","Pesca electrica",1,"SUBPESCA (2019) Sistematización de registros de peces de aguas continentales.","CC NC-BY 4.0","SUBPESCA-1","Publicaciones científicas y estudios parte del SEA son de acceso público","SUBPESCA Peces Continentales (2019)"
