bibliographicCitation,Filter
"INGENAT (2016) Plan De Seguimiento De Varialbes Ambientales, Monitoreo Fauna Ictica Piscicultura Rio Rollizo",1
"TERRAMAR, Estudios Territoriales (2013) Informe Linea Base Limnologia Proyecto Central De Pasada Mediterraneo. https://seia.sea.gob.cl/expediente/ficha/fichaPrincipal.php?modo=ficha&id_expediente=6357086",1
Gaman Limno Studies Ltda. (2014) Central Hidroelectrica Chaica.,1
"Colihueque N, Estay FJ, Crespo JE, Arriagada A, Baessolo L, Canales-Aguirre CB, Marin J and Carrasco R (2019) Genetic Differentiation and Origin of Naturalized Rainbow Trout opulations From Southern Chile Revealed by the mtDNA Control Region Marker.  Front. Genet. 10:1212.",1
"Vanhaecke, D., Garcia de Leaniz, C., Gajardo, G., Dunham, J., Giannico, G. and Consuegra, S. (2015), Genetic signatures of historical dispersal of fish threatened by biological invasions: the case of galaxiids in South America. J. Biogeogr., 42: 1942-1952. doi:10.1111/jbi.12568",0
"Alo D, Correa C, Samaniego H, Krabbenhoft CA, Turner TF. 2019. Otolith microchemistry and diadromy in Patagonian river fishes. PeerJ 7:e6149 http://doi.org/10.7717/peerj.6149",0
"Bravo, Sandra, Silva, María T., Ciancio, Javier, & Whelan, Ken. (2019). Size structure, age, and diets of introduced Chinook salmon (Oncorhynchus tshawytscha) inhabiting the Palena River, Chilean Patagonia. Latin american journal of aquatic research, 47(1), 129-137. https://dx.doi.org/10.3856/vol47-issue1-fulltext-14",0
"Gorski, K., Gonzalez, J.F., Vivancos, A. et al. Young-of-the-year Coho Salmon Oncorhynchus kisutch recruit in fresh waters of remote Patagonian fjords in southern Chile (51°S). Biol Invasions 19, 1127–1136 (2017). https://doi.org/10.1007/s10530-016-1341-9",0
"Ortiz-Sandoval, J., Gorski, K., Sobenes, C. et al. Invasive trout affect trophic ecology of Galaxias platei in Patagonian lakes. Hydrobiologia 790, 201–212 (2017). https://doi-org.uchile.idm.oclc.org/10.1007/s10750-016-3030-1",0
IFOP (2017) Evaluacion Y Seguimiento De La Situacion Sanitaria De Especies Silvestres En Agua Dulce Y Mar,1
IFOP (2018) Evaluacion Y Seguimiento De La Situacion Sanitaria De Especies Silvestres En Agua Dulce Y Mar,1
Econometric S.A. (2017) Solucion Sanitaria De Agua Potable Y Aguas Servidas Para La Concesion Del Sector Panitao. https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2132812960,1
SUSTENTABLE Minicentral Hidroelectrica De Pasada El Callao.,1
SUSTENTABLE Minicentral Hidroelectrica De Pasada Rio Negro.,1
TESAM Central Hidroelectrica Lago Atravesado.,1
MEDIO AMBIENTE MARING Proyecto Hidroelectrico Ensenada-Rio Blanco Parte Nª 2.,1
CEA Proyecto Hidroelectrico Aysen.,1
ND Ampliacion Central Hidroelectrica El Toqui Ch El Toqui.,1
CEA Proyecto Central Hidroelectrica Cuervo.,1
INGENDESA Minicentral Hidroelectrica Piruquina.,1
