"bibliographicCitation","verbatimEventDate","eventDate","day","month","year","eventTime","locationRemarks","verbatimLatitude","verbatimLongitude","decimalLatitude","decimalLongitude","scientificName","vernacularName","individualCount","samplingProtocol","sampleSizeValue","sampleSizeUnit","samplingEffort","continent","country","countryCode","stateProvince","county","municipality","locality","occurrenceID","datasetName","datasetName_tmp","license","accessRights","data_source"
"Maring Eirl (2012) Informe de resutados de pesca de investigación asociado al permiso SUBPESCA, R.EX N°262/2012. Proyecto: Evaluación limnológica-íctica, estero El Arco, Coyhaique, Región de Aysén. Mandante: Garo S.A.","entre el 23 y 24 de febrero de 2012","2012-02-23",23,2,2012,"0.41666666666666669","1","-45.746924999999997","-72.122613999999999",-45.746925,-72.122614,"Oncorhynchus mykiss","Trucha Arcoíris",1,"1. PESCA ELÉCTRICA","1","(IND/HORA)","3 transectos de 311, 797 y 467 m. de longitud","Sudamérica","Chile","CL","Región de Aysén","Provincia de Coyhaique","Comuna de Coyhaique","Estero el Arco","SUBPESCA.PescaInvestigacion2012-2023.001","SUBPESCA (2023) Resultados de pesca de investigación  de peces de aguas continentales en el período 2012-2023.","SUBPESCA-2","CC NC-BY 4.0","Datos obtenidos por ley de transparencia.","SUBPESCA Pesca Investigación (2012-2023)"
"Maring Eirl (2012) Informe de resutados de pesca de investigación asociado al permiso SUBPESCA, R.EX N°262/2012. Proyecto: Evaluación limnológica-íctica, estero El Arco, Coyhaique, Región de Aysén. Mandante: Garo S.A.","entre el 23 y 24 de febrero de 2012","2012-02-23",23,2,2012,"0.45833333333333298","1","-45.746924999999997","-72.122613999999999",-45.746925,-72.122614,"Salmo trutta","TRUCHA CAFÉ",28,"1. PESCA ELÉCTRICA","28","(IND/HORA)","3 transectos de 311, 797 y 467 m. de longitud","Sudamérica","Chile","CL","Región de Aysén","Provincia de Coyhaique","Comuna de Coyhaique","Estero el Arco","SUBPESCA.PescaInvestigacion2012-2023.002","SUBPESCA (2023) Resultados de pesca de investigación  de peces de aguas continentales en el período 2012-2023.","SUBPESCA-2","CC NC-BY 4.0","Datos obtenidos por ley de transparencia.","SUBPESCA Pesca Investigación (2012-2023)"
"Maring Eirl (2012) Informe de resutados de pesca de investigación asociado al permiso SUBPESCA, R.EX N°262/2012. Proyecto: Evaluación limnológica-íctica, estero El Arco, Coyhaique, Región de Aysén. Mandante: Garo S.A.","entre el 23 y 24 de febrero de 2012","2012-02-23",23,2,2012,"0.5","2","-45.747222000000001","-72.132889000000006",-45.747222,-72.132889,"Salmo trutta","TRUCHA CAFÉ",32,"1. PESCA ELÉCTRICA","32","(IND/HORA)","3 transectos de 311, 797 y 467 m. de longitud","Sudamérica","Chile","CL","Región de Aysén","Provincia de Coyhaique","Comuna de Coyhaique","Estero el Arco","SUBPESCA.PescaInvestigacion2012-2023.003","SUBPESCA (2023) Resultados de pesca de investigación  de peces de aguas continentales en el período 2012-2023.","SUBPESCA-2","CC NC-BY 4.0","Datos obtenidos por ley de transparencia.","SUBPESCA Pesca Investigación (2012-2023)"
"Maring Eirl (2012) Informe de resutados de pesca de investigación asociado al permiso SUBPESCA, R.EX N°262/2012. Proyecto: Evaluación limnológica-íctica, estero El Arco, Coyhaique, Región de Aysén. Mandante: Garo S.A.","entre el 23 y 24 de febrero de 2012","2012-02-23",23,2,2012,"0.54166666666666696","3","-45.743194000000003","-72.143000000000001",-45.743194,-72.143,"Oncorhynchus mykiss","Trucha Arcoíris",2,"1. PESCA ELÉCTRICA","2","(IND/HORA)","3 transectos de 311, 797 y 467 m. de longitud","Sudamérica","Chile","CL","Región de Aysén","Provincia de Coyhaique","Comuna de Coyhaique","Estero el Arco","SUBPESCA.PescaInvestigacion2012-2023.004","SUBPESCA (2023) Resultados de pesca de investigación  de peces de aguas continentales en el período 2012-2023.","SUBPESCA-2","CC NC-BY 4.0","Datos obtenidos por ley de transparencia.","SUBPESCA Pesca Investigación (2012-2023)"
"Maring Eirl (2012) Informe de resutados de pesca de investigación asociado al permiso SUBPESCA, R.EX N°262/2012. Proyecto: Evaluación limnológica-íctica, estero El Arco, Coyhaique, Región de Aysén. Mandante: Garo S.A.","entre el 23 y 24 de febrero de 2012","2012-02-23",23,2,2012,"0.58333333333333304","3","-45.743194000000003","-72.143000000000001",-45.743194,-72.143,"Salmo trutta","TRUCHA CAFÉ",16,"1. PESCA ELÉCTRICA","16","(IND/HORA)","3 transectos de 311, 797 y 467 m. de longitud","Sudamérica","Chile","CL","Región de Aysén","Provincia de Coyhaique","Comuna de Coyhaique","Estero el Arco","SUBPESCA.PescaInvestigacion2012-2023.005","SUBPESCA (2023) Resultados de pesca de investigación  de peces de aguas continentales en el período 2012-2023.","SUBPESCA-2","CC NC-BY 4.0","Datos obtenidos por ley de transparencia.","SUBPESCA Pesca Investigación (2012-2023)"
"Gaman Limno Studies Ltda. (2014) Informe de resutados de pesca de investigación asociado al permiso SUBPESCA, R.EX N°767/2014. Proyecto: Estudio Línea base de tipo limnológico del proyecto hidroeléctrico Chaica en el río Lenca, comuna de Puerto Montt, X Región. Mandante: Ingenium Civil S.A",NA,"2014-03-01",NA,3,2014,"0.29166666666666669","E1","41°35'52.80""S","72°36'2.00""O",-41.598,-72.600556,"Salmo salar","Salmón del Atlántico",2,"2. ESPINEL","1.7000000000000001E-2","(IND/N°ANZ/HORA)",NA,"Sudamérica","Chile","CL","Región de Los Lagos","Provincia de Llanquihue","Comuna de Puerto Montt","Chaicas","SUBPESCA.PescaInvestigacion2012-2023.006","SUBPESCA (2023) Resultados de pesca de investigación  de peces de aguas continentales en el período 2012-2023.","SUBPESCA-2","CC NC-BY 4.0","Datos obtenidos por ley de transparencia.","SUBPESCA Pesca Investigación (2012-2023)"
"Gaman Limno Studies Ltda. (2014) Informe de resutados de pesca de investigación asociado al permiso SUBPESCA, R.EX N°767/2014. Proyecto: Estudio Línea base de tipo limnológico del proyecto hidroeléctrico Chaica en el río Lenca, comuna de Puerto Montt, X Región. Mandante: Ingenium Civil S.A",NA,"2014-03-01",NA,3,2014,"0.29166666666666669","E1","41°35'52.80""S","72°36'2.00""O",-41.598,-72.600556,"Salmo trutta","Trucha café",1,"2. ESPINEL","0.08","(IND/N°ANZ/HORA)",NA,"Sudamérica","Chile","CL","Región de Los Lagos","Provincia de Llanquihue","Comuna de Puerto Montt","Chaicas","SUBPESCA.PescaInvestigacion2012-2023.007","SUBPESCA (2023) Resultados de pesca de investigación  de peces de aguas continentales en el período 2012-2023.","SUBPESCA-2","CC NC-BY 4.0","Datos obtenidos por ley de transparencia.","SUBPESCA Pesca Investigación (2012-2023)"
"Gaman Limno Studies Ltda. (2014) Informe de resutados de pesca de investigación asociado al permiso SUBPESCA, R.EX N°767/2014. Proyecto: Estudio Línea base de tipo limnológico del proyecto hidroeléctrico Chaica en el río Lenca, comuna de Puerto Montt, X Región. Mandante: Ingenium Civil S.A",NA,"2014-03-01",NA,3,2014,"0.375","E2","41°36'8.55""S","72°36'59.17""O",-41.602375,-72.616436,"Salmo salar","Salmón del Atlántico",1,"1. PESCA ELÉCTRICA","1","(IND/HORA)",NA,"Sudamérica","Chile","CL","Región de Los Lagos","Provincia de Llanquihue","Comuna de Puerto Montt","Chaicas","SUBPESCA.PescaInvestigacion2012-2023.008","SUBPESCA (2023) Resultados de pesca de investigación  de peces de aguas continentales en el período 2012-2023.","SUBPESCA-2","CC NC-BY 4.0","Datos obtenidos por ley de transparencia.","SUBPESCA Pesca Investigación (2012-2023)"
"Gaman Limno Studies Ltda. (2014) Informe de resutados de pesca de investigación asociado al permiso SUBPESCA, R.EX N°767/2014. Proyecto: Estudio Línea base de tipo limnológico del proyecto hidroeléctrico Chaica en el río Lenca, comuna de Puerto Montt, X Región. Mandante: Ingenium Civil S.A",NA,"2014-03-01",NA,3,2014,"0.75","E3","41°36'22.59""S","72°38'43.20""O",-41.606275,-72.645333,"Salmo salar","Salmón del Atlántico",1,"1. PESCA ELÉCTRICA","1","(IND/HORA)",NA,"Sudamérica","Chile","CL","Región de Los Lagos","Provincia de Llanquihue","Comuna de Puerto Montt","Chaicas","SUBPESCA.PescaInvestigacion2012-2023.009","SUBPESCA (2023) Resultados de pesca de investigación  de peces de aguas continentales en el período 2012-2023.","SUBPESCA-2","CC NC-BY 4.0","Datos obtenidos por ley de transparencia.","SUBPESCA Pesca Investigación (2012-2023)"
"Gaman Limno Studies Ltda. (2014) Informe de resutados de pesca de investigación asociado al permiso SUBPESCA, R.EX N°767/2014. Proyecto: Estudio Línea base de tipo limnológico del proyecto hidroeléctrico Chaica en el río Lenca, comuna de Puerto Montt, X Región. Mandante: Ingenium Civil S.A",NA,"2014-03-01",NA,3,2014,"0.75","E3","41°36'22.59""S","72°38'43.20""O",-41.606275,-72.645333,"Salmo salar","Salmón del Atlántico",1,"2. ESPINEL","8.0000000000000002E-3","(IND/N°ANZ/HORA)",NA,"Sudamérica","Chile","CL","Región de Los Lagos","Provincia de Llanquihue","Comuna de Puerto Montt","Chaicas","SUBPESCA.PescaInvestigacion2012-2023.010","SUBPESCA (2023) Resultados de pesca de investigación  de peces de aguas continentales en el período 2012-2023.","SUBPESCA-2","CC NC-BY 4.0","Datos obtenidos por ley de transparencia.","SUBPESCA Pesca Investigación (2012-2023)"
"Gaman Limno Studies Ltda. (2014) Informe de resutados de pesca de investigación asociado al permiso SUBPESCA, R.EX N°767/2014. Proyecto: Estudio Línea base de tipo limnológico del proyecto hidroeléctrico Chaica en el río Lenca, comuna de Puerto Montt, X Región. Mandante: Ingenium Civil S.A",NA,"2014-03-01",NA,3,2014,"0.75","E3","41°36'22.59""S","72°38'43.20""O",-41.606275,-72.645333,"Salmo trutta","Trucha café",3,"2. ESPINEL","0.25","(IND/N°ANZ/HORA)",NA,"Sudamérica","Chile","CL","Región de Los Lagos","Provincia de Llanquihue","Comuna de Puerto Montt","Chaicas","SUBPESCA.PescaInvestigacion2012-2023.011","SUBPESCA (2023) Resultados de pesca de investigación  de peces de aguas continentales en el período 2012-2023.","SUBPESCA-2","CC NC-BY 4.0","Datos obtenidos por ley de transparencia.","SUBPESCA Pesca Investigación (2012-2023)"
