"kingdom","recordedBy","higherClassification","stateProvince","basisOfRecord","month","decimalLongitude","phylum","references","year","startDayOfYear","taxonRank","specificEpithet","bibliographicCitation","family","countryCode","geodeticDatum","coordinateUncertaintyInMeters","higherGeography","accessRights","verbatimLocality","verbatimEventDate","day","eventID","collectionCode","occurrenceStatus","locationRemarks","coordinatePrecision","institutionCode","scientificName","class","decimalLatitude","occurrenceID","language","license","country","georeferenceVerificationStatus","modified","eventDate","identifiedBy","nomenclaturalCode","continent","genus","order","catalogNumber","endDayOfYear","georeferencedDate","institutionID","georeferenceProtocol","georeferencedBy","habitat","eventRemarks","preparations","fieldNumber","georeferenceSources","locality","collectionID","datasetName","scientificNameAuthorship","dateIdentified","georeferenceRemarks","county","associatedReferences","typeStatus","otherCatalogNumbers","establishmentMeans","individualCount","dynamicProperties","waterBody","occurrenceRemarks","samplingProtocol","island","verbatimDepth","maximumDepthInMeters","minimumDepthInMeters","footprintWKT","verbatimCoordinateSystem","identificationVerificationStatus","lifeStage","disposition","ownerInstitutionCode","islandGroup","rightsHolder","identificationRemarks","municipality","vernacularName","previousIdentifications","locationAccordingTo","sex","eventTime","locationID","organismID","datasetID","associatedMedia","recordNumber","infraspecificEpithet","verbatimLongitude","verbatimLatitude","materialSampleID","subgenus","minimumElevationInMeters","maximumElevationInMeters","namePublishedInID","scientificNameID","namePublishedInYear","namePublishedIn","verbatimCoordinates","originalNameUsage","associatedSequences","identificationQualifier","verbatimElevation","earliestAgeOrLowestStage","verbatimTaxonRank","formation","lithostratigraphicTerms","latestAgeOrHighestStage","group","member","lowestBiostratigraphicZone","highestBiostratigraphicZone","bed","earliestPeriodOrLowestSystem","earliestEpochOrLowestSeries","latestEonOrHighestEonothem","earliestEraOrLowestErathem","earliestEonOrLowestEonothem","latestEraOrHighestErathem","geologicalContextID","latestPeriodOrHighestSystem","latestEpochOrHighestSeries"
"Animalia","Diaz, H",NA,"Los Lagos","PreservedSpecimen",2,-71.971761,"Chordata","http://portal.vertnet.org/o/ku/kui?id=dc528c2f-1ed3-11e3-bfac-90b11c41863e",1976,41,"Species","trucha","University of Kansas Biodiversity Institute. KUBI Ichthyology Collection. Record ID: dc528c2f-1ed3-11e3-bfac-90b11c41863e. Source: http://ipt.nhm.ku.edu:8080/ipt/resource.do?r=kubi_ichthyology (source published on 2019-08-05)","Percichthyidae",NA,"WGS84",23037,"South America, Chile, Los Lagos","http://biodiversity.ku.edu/research/university-kansas-biodiversity-institute-data-publication-and-use-norms",NA,"1976-02-10",10,NA,"KUI",NA,NA,NA,"KU","Percichthys trucha","Actinopterygii",-43.30718,"dc528c2f-1ed3-11e3-bfac-90b11c41863e","en","http://creativecommons.org/licenses/by/4.0/deed.en_US","Chile",NA,"2015-07-08 15:38:20.0","1976-02-10",NA,NA,"South America","Percichthys","Perciformes","19290",41,NA,"http://grbio.org/cool/iakn-125z",NA,"Benito, Lorenzo","Freshwater",NA,"C&S - 1","Z19289",NA,"Curalelfu River",NA,"VertNet","(Valenciennes, 1833)",NA,"Fishnet2 georeferencer's comment: Polygon covers Futaleufu River, coordinates placed at center of polygon.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Animalia","Daniel Fernandez","Animalia; Chordata; Vertebrata; Gnathostomata [vertebrate]; Actinopterygii; Neopterygii-Teleostei-Euteleostei; Acanthopterygii-Percomorpha; Perciformes; Notothenioidei; Nototheniidae",NA,"PreservedSpecimen",12,-67.495938,"Chordata","http://collections.peabody.yale.edu/search/Record/YPM-ICH-020126",2005,354,"Genus","cornucola","Yale Peabody Museum. Vertebrate Zoology Division - Ichthyology, Yale Peabody Museum. Record ID: urn:uuid:29e5fca0-b700-46de-996c-f41aa30b95a0. Source: http://ipt.peabody.yale.edu/ipt/resource.do?r=ipt_vz_ich (source published on 2017-10-22)","Nototheniidae",NA,"WGS84",74567,"South America; Atlantic Ocean; Ushuaia Bay; Argentina; Beagle Channel","Open Access, http://creativecommons.org/publicdomain/zero/1.0/; see Yale Peabody policies at: http://hdl.handle.net/10079/8931zqj",NA,"2005-12-20/2006-01-12",20,NA,"VZ",NA,NA,NA,"YPM","Patagonotothen","Actinopterygii",-54.919751,"urn:uuid:29e5fca0-b700-46de-996c-f41aa30b95a0","en","http://creativecommons.org/publicdomain/zero/1.0/","Argentina",NA,"2017-06-01T14:53:49.000Z","2005-12-20","Kristen L. Kuhn","ICZN","South America","Patagonotothen","Perciformes","YPM ICH 020126",354,NA,NA,"digital resource","Laurent Marivaux",NA,NA,"10% form.->70% alc.; tissue in EtOH",NA,"FishNet",NA,NA,"VertNet; Originally provided by NA","Balushkin, 1976",NA,NA,NA,"Det. by: Kristen L. Kuhn|Det. by: Kristen L. Kuhn",NA,NA,NA,2,"{ ""solr_long_lat"": ""-67.495938,-54.919751"" }","Atlantic Ocean; Ushuaia Bay","number 20126; lot count 2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"YPM",NA,"Yale Peabody Museum of Natural History",NA,"Beagle Channel","Antarctic blennies; perch-like fishes; ray-finned fishes; vertebrates; chordates; animals","Patagonotothen cornucola|Patagonotothen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Animalia",NA,"Animalia; Chordata; Vertebrata; Gnathostomata [vertebrate]; Actinopterygii; Neopterygii-Teleostei-Euteleostei; Acanthopterygii-Percomorpha; Perciformes; Trachinoidei; Pinguipedidae",NA,"PreservedSpecimen",1,-72.994654,"Chordata","http://collections.peabody.yale.edu/search/Record/YPM-ICH-009314",1934,17,"Species","jugularis","Yale Peabody Museum. Vertebrate Zoology Division - Ichthyology, Yale Peabody Museum. Record ID: urn:uuid:461f5c5e-2405-4319-a7de-b820b3a64877. Source: http://ipt.peabody.yale.edu/ipt/resource.do?r=ipt_vz_ich (source published on 2017-10-22)","Pinguipedidae",NA,"WGS84",551,"South America; Chile","Open Access, http://creativecommons.org/publicdomain/zero/1.0/; see Yale Peabody policies at: http://hdl.handle.net/10079/8931zqj",NA,"1934-01-17",17,NA,"VZ",NA,NA,NA,"YPM","Prolatilus jugularis","Actinopterygii",-41.60359,"urn:uuid:461f5c5e-2405-4319-a7de-b820b3a64877","en","http://creativecommons.org/publicdomain/zero/1.0/","Chile",NA,"2016-03-04T13:06:31.000Z","1934-01-17",NA,"ICZN","South America","Prolatilus","Perciformes","YPM ICH 009314",17,NA,NA,"digital resource","Laurent Marivaux",NA,NA,"10% form.->70% alc.",NA,"FishNet","Gulfo de Ancud. Capesa Wappi Island, off Puerto Montt",NA,"VertNet; Originally provided by NA","(Valenciennes, 1833)",NA,NA,NA,"|Det. by: J. A. Moore",NA,NA,NA,1,"{ ""solr_long_lat"": ""-72.994654,-41.60359"" }",NA,"number 9314; lot count 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"YPM",NA,"Yale Peabody Museum of Natural History",NA,NA,"sandperches; stargazers; perch-like fishes; ray-finned fishes; vertebrates; chordates; animals","Prolatilus jugularis|Parapercis chilensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Animalia","Daniel Fernandez","Animalia; Chordata; Vertebrata; Gnathostomata [vertebrate]; Actinopterygii; Neopterygii-Teleostei-Euteleostei; Acanthopterygii-Percomorpha; Perciformes; Notothenioidei; Nototheniidae",NA,"PreservedSpecimen",12,-67.495938,"Chordata","http://collections.peabody.yale.edu/search/Record/YPM-ICH-020085",2005,354,"Species","cornucola","Yale Peabody Museum. Vertebrate Zoology Division - Ichthyology, Yale Peabody Museum. Record ID: urn:uuid:5db82714-21f6-41b7-83d9-4f83a5951aa0. Source: http://ipt.peabody.yale.edu/ipt/resource.do?r=ipt_vz_ich (source published on 2017-10-22)","Nototheniidae",NA,"WGS84",74567,"South America; Atlantic Ocean; Ushuaia Bay; Argentina; Beagle Channel","Open Access, http://creativecommons.org/publicdomain/zero/1.0/; see Yale Peabody policies at: http://hdl.handle.net/10079/8931zqj",NA,"2005-12-20/2006-01-12",20,NA,"VZ",NA,NA,NA,"YPM","Patagonotothen cornucola","Actinopterygii",-54.919751,"urn:uuid:5db82714-21f6-41b7-83d9-4f83a5951aa0","en","http://creativecommons.org/publicdomain/zero/1.0/","Argentina",NA,"2017-06-01T14:53:49.000Z","2005-12-20","Kristen L. Kuhn","ICZN","South America","Patagonotothen","Perciformes","YPM ICH 020085",354,NA,NA,"digital resource","Laurent Marivaux",NA,NA,"10% form.->70% alc.; tissue in EtOH; tissue in EtOH; tissue in EtOH; tissue in EtOH; tissue in EtOH; tissue in EtOH; tissue in EtOH",NA,"FishNet",NA,NA,"VertNet; Originally provided by NA","(Richardson, 1844)",NA,NA,NA,"Det. by: Kristen L. Kuhn",NA,NA,NA,7,"{ ""solr_long_lat"": ""-67.495938,-54.919751"" }","Atlantic Ocean; Ushuaia Bay","number 20085; lot count 7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"YPM",NA,"Yale Peabody Museum of Natural History",NA,"Beagle Channel","Antarctic blennies; perch-like fishes; ray-finned fishes; vertebrates; chordates; animals","Patagonotothen cornucola",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Animalia",NA,"Animalia; Chordata; Vertebrata; Gnathostomata [vertebrate]; Actinopterygii; Neopterygii-Teleostei-Euteleostei; Acanthopterygii-Percomorpha; Perciformes; Notothenioidei; Eleginopidae",NA,"PreservedSpecimen",3,-70.890239,"Chordata","http://collections.peabody.yale.edu/search/Record/YPM-ICH-016654",2003,66,"Species","maclovinus","Yale Peabody Museum. Vertebrate Zoology Division - Ichthyology, Yale Peabody Museum. Record ID: urn:uuid:5fd31c8d-c305-489e-bfdb-9e65bdc3d612. Source: http://ipt.peabody.yale.edu/ipt/resource.do?r=ipt_vz_ich (source published on 2017-10-22)","Eleginopidae",NA,"WGS84",5292,"South America; Chile; Punta Arenas","Open Access, http://creativecommons.org/publicdomain/zero/1.0/; see Yale Peabody policies at: http://hdl.handle.net/10079/8931zqj",NA,"2003-03-07",7,NA,"VZ",NA,NA,NA,"YPM","Eleginops maclovinus","Actinopterygii",-53.158695,"urn:uuid:5fd31c8d-c305-489e-bfdb-9e65bdc3d612","en","http://creativecommons.org/publicdomain/zero/1.0/","Chile",NA,"2016-03-04T13:06:31.000Z","2003-03-07","Jon A. Moore","ICZN","South America","Eleginops","Perciformes","YPM ICH 016654",66,NA,NA,"digital resource","Laurent Marivaux",NA,NA,"10% form.->70% alc.; tissue in EtOH; tissue in EtOH; tissue in EtOH; tissue in EtOH; tissue in EtOH; tissue in EtOH",NA,"FishNet","Punta Arenas fish market",NA,"VertNet; Originally provided by NA","(Cuvier, 1830)",NA,NA,NA,"Det. by: Jon A. Moore",NA,NA,NA,6,"{ ""solr_long_lat"": ""-70.890239,-53.158695"" }",NA,"number 16654; lot count 6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"YPM",NA,"Yale Peabody Museum of Natural History",NA,"Punta Arenas","Antarctic blennies; perch-like fishes; ray-finned fishes; vertebrates; chordates; animals","Eleginops maclovinus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Animalia",NA,"Animalia; Chordata; Vertebrata; Gnathostomata [vertebrate]; Actinopterygii; Neopterygii-Teleostei-Euteleostei; Acanthopterygii-Percomorpha; Perciformes; Notothenioidei; Eleginopidae",NA,"PreservedSpecimen",1,-72.994654,"Chordata","http://collections.peabody.yale.edu/search/Record/YPM-ICH-009315",1935,17,"Species","maclovinus","Yale Peabody Museum. Vertebrate Zoology Division - Ichthyology, Yale Peabody Museum. Record ID: urn:uuid:b5f4f9b9-d05e-470a-84ec-3659a2c83d72. Source: http://ipt.peabody.yale.edu/ipt/resource.do?r=ipt_vz_ich (source published on 2017-10-22)","Eleginopidae",NA,"WGS84",551,"South America; Chile","Open Access, http://creativecommons.org/publicdomain/zero/1.0/; see Yale Peabody policies at: http://hdl.handle.net/10079/8931zqj",NA,"1935-01-17",17,NA,"VZ",NA,NA,NA,"YPM","Eleginops maclovinus","Actinopterygii",-41.60359,"urn:uuid:b5f4f9b9-d05e-470a-84ec-3659a2c83d72","en","http://creativecommons.org/publicdomain/zero/1.0/","Chile",NA,"2017-10-18T13:11:54.000Z","1935-01-17","J. A. Moore","ICZN","South America","Eleginops","Perciformes","YPM ICH 009315",17,NA,NA,"digital resource","Laurent Marivaux",NA,NA,"10% form.->70% alc.",NA,"FishNet","Gulfo de Ancud. Capesa Wappi Island, off Puerto Montt",NA,"VertNet; Originally provided by NA","(Cuvier, 1830)",NA,NA,NA,"Det. by: J. A. Moore",NA,NA,NA,2,"{ ""solr_long_lat"": ""-72.994654,-41.60359"" }",NA,"number 9315; lot count 2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"YPM",NA,"Yale Peabody Museum of Natural History",NA,NA,"Antarctic blennies; perch-like fishes; ray-finned fishes; vertebrates; chordates; animals","Eleginops maclovinus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Animalia","Daniel Fernandez","Animalia; Chordata; Vertebrata; Gnathostomata [vertebrate]; Actinopterygii; Neopterygii-Teleostei-Euteleostei; Acanthopterygii-Percomorpha; Perciformes; Notothenioidei; Nototheniidae",NA,"PreservedSpecimen",12,-67.495938,"Chordata","http://collections.peabody.yale.edu/search/Record/YPM-ICH-020127",2005,354,"Species","longipes","Yale Peabody Museum. Vertebrate Zoology Division - Ichthyology, Yale Peabody Museum. Record ID: urn:uuid:d24c7ba1-f3c8-4259-a1d2-0cf7fb3c3da7. Source: http://ipt.peabody.yale.edu/ipt/resource.do?r=ipt_vz_ich (source published on 2017-10-22)","Nototheniidae",NA,"WGS84",74567,"South America; Atlantic Ocean; Ushuaia Bay; Argentina; Beagle Channel","Open Access, http://creativecommons.org/publicdomain/zero/1.0/; see Yale Peabody policies at: http://hdl.handle.net/10079/8931zqj",NA,"2005-12-20/2006-01-12",20,NA,"VZ",NA,NA,NA,"YPM","Patagonotothen longipes","Actinopterygii",-54.919751,"urn:uuid:d24c7ba1-f3c8-4259-a1d2-0cf7fb3c3da7","en","http://creativecommons.org/publicdomain/zero/1.0/","Argentina",NA,"2016-05-13T08:17:13.000Z","2005-12-20","Kristen L. Kuhn","ICZN","South America","Patagonotothen","Perciformes","YPM ICH 020127",354,NA,NA,"digital resource","Laurent Marivaux",NA,NA,"10% form.->70% alc.; tissue in EtOH; tissue in EtOH; tissue in EtOH; tissue in EtOH; tissue in EtOH; tissue in EtOH",NA,"FishNet",NA,NA,"VertNet; Originally provided by NA","(Steindachner, 1876)",NA,NA,NA,"Det. by: Kristen L. Kuhn",NA,NA,NA,6,"{ ""solr_long_lat"": ""-67.495938,-54.919751"" }","Atlantic Ocean; Ushuaia Bay","number 20127; lot count 6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"YPM",NA,"Yale Peabody Museum of Natural History",NA,"Beagle Channel","Antarctic blennies; perch-like fishes; ray-finned fishes; vertebrates; chordates; animals","Patagonotothen longipes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Animalia","Thomas J. Near","Animalia; Chordata; Vertebrata; Gnathostomata [vertebrate]; Actinopterygii; Neopterygii-Teleostei-Euteleostei; Acanthopterygii-Percomorpha; Perciformes; Notothenioidei; Eleginopidae",NA,"PreservedSpecimen",2,-70.890239,"Chordata","http://collections.peabody.yale.edu/search/Record/YPM-ICH-016549",2006,46,"Species","maclovinus","Yale Peabody Museum. Vertebrate Zoology Division - Ichthyology, Yale Peabody Museum. Record ID: urn:uuid:d6a924b3-4d57-4614-b36f-7e1c675352ec. Source: http://ipt.peabody.yale.edu/ipt/resource.do?r=ipt_vz_ich (source published on 2017-10-22)","Eleginopidae",NA,"WGS84",5292,"South America; Chile; Punta Arenas","Open Access, http://creativecommons.org/publicdomain/zero/1.0/; see Yale Peabody policies at: http://hdl.handle.net/10079/8931zqj",NA,"2006-02-15",15,NA,"VZ",NA,NA,NA,"YPM","Eleginops maclovinus","Actinopterygii",-53.158695,"urn:uuid:d6a924b3-4d57-4614-b36f-7e1c675352ec","en","http://creativecommons.org/publicdomain/zero/1.0/","Chile",NA,"2016-03-04T13:06:31.000Z","2006-02-15","Jon A. Moore","ICZN","South America","Eleginops","Perciformes","YPM ICH 016549",46,NA,NA,"digital resource","Laurent Marivaux",NA,NA,"10% form.->70% alc.; tissue in EtOH; tissue in EtOH; tissue in EtOH",NA,"FishNet","Punta Arenas fish market",NA,"VertNet; Originally provided by NA","(Cuvier, 1830)",NA,NA,NA,"Det. by: Jon A. Moore",NA,NA,NA,3,"{ ""solr_long_lat"": ""-70.890239,-53.158695"" }",NA,"number 16549; lot count 3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"YPM",NA,"Yale Peabody Museum of Natural History",NA,"Punta Arenas","Antarctic blennies; perch-like fishes; ray-finned fishes; vertebrates; chordates; animals","Eleginops maclovinus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Animalia","Kristen L. Kuhn, Jon A. Moore, Jillian N. Pennington","Animalia; Chordata; Vertebrata; Gnathostomata [vertebrate]; Actinopterygii; Neopterygii-Teleostei-Euteleostei; Acanthopterygii-Atherinomorpha; Atheriniformes; Atherinoidei; Atherinidae",NA,"PreservedSpecimen",2,-70.890239,"Chordata","http://collections.peabody.yale.edu/search/Record/YPM-ICH-022629",2009,35,"Species","regia","Yale Peabody Museum. Vertebrate Zoology Division - Ichthyology, Yale Peabody Museum. Record ID: urn:uuid:e4bbdc9e-c32e-4a50-81a2-97a04338145d. Source: http://ipt.peabody.yale.edu/ipt/resource.do?r=ipt_vz_ich (source published on 2017-10-22)","Atherinidae",NA,"WGS84",5292,"South America; Chile; Punta Arenas","Open Access, http://creativecommons.org/publicdomain/zero/1.0/; see Yale Peabody policies at: http://hdl.handle.net/10079/8931zqj",NA,"2009-02-04",4,NA,"VZ",NA,NA,NA,"YPM","Odontesthes regia","Actinopterygii",-53.158695,"urn:uuid:e4bbdc9e-c32e-4a50-81a2-97a04338145d","en","http://creativecommons.org/publicdomain/zero/1.0/","Chile",NA,"2016-03-04T13:06:31.000Z","2009-02-04","Jon A. Moore","ICZN","South America","Odontesthes","Atheriniformes","YPM ICH 022629",35,NA,NA,"digital resource","Laurent Marivaux",NA,NA,"10% form.->70% alc.; tissue in EtOH",NA,"FishNet","Brunswick Peninsula: Punta Arenas Fish Market",NA,"VertNet; Originally provided by NA","(von Humboldt, 1821)",NA,NA,NA,"Det. by: Jon A. Moore",NA,NA,NA,1,"{ ""solr_long_lat"": ""-70.890239,-53.158695"" }",NA,"number 22629; lot count 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"YPM",NA,"Yale Peabody Museum of Natural History",NA,"Punta Arenas","Old World silversides; silversides; ray-finned fishes; vertebrates; chordates; animals","Odontesthes regia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Animalia","Beheregaray, Luciano B. - Macquarie University - School of Biological Sciences","| Chordata |  |  | Atherinidae | Odontesthes",NA,"PreservedSpecimen",8,-72.93694,"Chordata","http://portal.vertnet.org/o/am/ichthyology?id=9a06c6a1-c09a-4e03-9496-8c1bea2c0199",1997,226,"species","regia","Australian Museum. Australian Museum provider for OZCAM. Record ID: 9a06c6a1-c09a-4e03-9496-8c1bea2c0199. Source: http://collections.ala.org.au/public/show/dr340 (source published on 2015-01-07)","Atherinopsidae","CL","not recorded (forced WGS84)",10000,"| Chile |  |  |  |  |  |","http://vertnet.org/resources/norms.html","Chile","1997-08-14",14,"urn:australianmuseum.net.au:Events:8065702","Ichthyology","present","""ecatalogue.LocCollectionEventLocal: ""[I.44107] Chile, Puerto Montt (41° 28' 18"" S, 72° 56' 13"" W) 14/08/1997 - 14/08/1997, Beheregaray, Luciano B. - Macquarie University - School of Biological Sciences(Collector), unknown, Field Collected - Aquatic"";""",1e-05,"AM","Odontesthes regia","Actinopterygii",-41.47166,"9a06c6a1-c09a-4e03-9496-8c1bea2c0199","en","CCBY","Chile","requires verification","2015-01-07","1997-08-14","Beheregaray, Luciano B. - Macquarie University - School of Biological Sciences","ICZN","South America","Odontesthes","Atheriniformes","I.44107-001",226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VertNet; Originally provided by NA",NA,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
