"occurrenceID","locality","institutionID","institutionCode","recordedBy","year","kingdom","genus","decimalLongitude","coordinateUncertaintyInMeters","decimalLatitude","basisOfRecord","collectionCode","verbatimEventDate","catalogNumber","eventDate","collectionID","family","scientificName","waterBody","individualCount","lifeStage","typeStatus","datasetName","samplingProtocol","organismQuantityType","recordNumber","organismQuantity","uuid","Identification"
"9d202cb2-20df-4b8c-9f69-82115aeedc30","Fish market","http://grbio.org/cool/iakn-125z","KU","Hartel, Karsten E",1994,"Animalia",NA,-70.1330032,NA,-53.1669998,"MaterialSample","KUIT",NA,"929","1994-10-01",NA,"Congridae","Congridae",NA,NA,NA,NA,"iDigBio; University of Kansas Biodiversity Institute Fish Tissue Collection",NA,NA,NA,NA,"6e136a29-8f60-4f70-89c0-18d1389e2855","NULL"
"MCZ:Ich:147913","off Straits of Magellan, Sandy Point","b4640710-8e03-11d8-b956-b8a03c50a862","MCZ","Hassler Expedition",1872,"Animalia","Odontesthes",-70.87788,5292,-53.16117,"PreservedSpecimen","Ich","16/3/1872-16/3/1872","147913","1872-03-16",NA,"Atherinopsidae","Odontesthes smitti (Lahille, 1929)","Pacific, Southeast",1,"adult",NA,"iDigBio",NA,NA,NA,NA,"3f3278c1-f8b2-4b5b-93af-f1bef21ae69e","list(`dwc:identifiedBy` = ""Bryan S. Dyer"", `dwc:identificationRemarks` = ""[MUSE DETERMINER: Dyer_BS/1995]"", `dwc:identificationVerificationStatus` = ""migration"", coreid = ""MCZ:Ich:147913"", `dwc:identificationID` = ""930396"", `dwc:scientificName` = ""Odontesthes smitti"")"
"MCZ:Ich:18133","off Straits of Magellan, Sandy Point","b4640710-8e03-11d8-b956-b8a03c50a862","MCZ","Hassler Expedition",1872,"Animalia","Odontesthes",-70.87788,5292,-53.16117,"PreservedSpecimen","Ich","16/3/1872-16/3/1872","18133","1872-03-16",NA,"Atherinopsidae","Odontesthes humensis","Pacific, Southeast",2,"adult",NA,"iDigBio",NA,NA,NA,NA,"4219dfb5-cc93-45b6-8025-8e945e12d89f","list(`dwc:identifiedBy` = c(""Bryan S. Dyer"", NA), `dwc:identificationRemarks` = c(""[MUSE DETERMINER: Dyer_BS/1995]"", ""[MUSE DETERMINER: ]""), `dwc:identificationVerificationStatus` = c(""migration"", ""migration""), coreid = c(""MCZ:Ich:18133"", ""MCZ:Ich:18133""), `dwc:identificationID` = c(""805108"", ""805109""), `dwc:scientificName` = c(""Odontesthes humensis"", ""Atherinichthys laticlavia""))"
"MCZ:Ich:18135","off Straits of Magellan, Sandy Point","b4640710-8e03-11d8-b956-b8a03c50a862","MCZ","Hassler Expedition",1872,"Animalia","Atherinichthys",-70.87788,5292,-53.16117,"PreservedSpecimen","Ich","16/3/1872-16/3/1872","18135","1872-03-16",NA,"Atherinopsidae","Atherinichthys laticlavia","Pacific, Southeast",5,"adult",NA,"iDigBio",NA,NA,NA,NA,"5f7608e6-5bb4-4fef-af6c-42db254198eb","list(`dwc:identificationRemarks` = ""[MUSE DETERMINER: ]"", `dwc:identificationVerificationStatus` = ""migration"", coreid = ""MCZ:Ich:18135"", `dwc:identificationID` = ""967039"", `dwc:scientificName` = ""Atherinichthys laticlavia"")"
"MCZ:Ich:18134","off Straits of Magellan, Sandy Point","b4640710-8e03-11d8-b956-b8a03c50a862","MCZ","Hassler Expedition",1872,"Animalia","Odontesthes",-70.87788,5292,-53.16117,"PreservedSpecimen","Ich","16/3/1872-16/3/1872","18134","1872-03-16",NA,"Atherinopsidae","Odontesthes smitti (Lahille, 1929)","Pacific, Southeast",10,"adult",NA,"iDigBio",NA,NA,NA,NA,"6433ff33-ac9b-4790-899c-25a0898402d2","list(`dwc:identifiedBy` = c(""Bryan S. Dyer"", NA), `dwc:identificationRemarks` = c(""[MUSE DETERMINER: Dyer_BS/1995]"", ""[MUSE DETERMINER: ]""), `dwc:identificationVerificationStatus` = c(""migration"", ""migration""), coreid = c(""MCZ:Ich:18134"", ""MCZ:Ich:18134""), `dwc:identificationID` = c(""805110"", ""805111""), `dwc:scientificName` = c(""Odontesthes smitti"", ""Atherinichthys laticlavia""))"
"MCZ:Ich:18136","off Straits of Magellan, Sandy Point","b4640710-8e03-11d8-b956-b8a03c50a862","MCZ","Hassler Expedition",1872,"Animalia","Odontesthes",-70.87788,5292,-53.16117,"PreservedSpecimen","Ich","16/3/1872-16/3/1872","18136","1872-03-16",NA,"Atherinopsidae","Odontesthes smitti (Lahille, 1929)","Pacific, Southeast",1,"adult",NA,"iDigBio",NA,NA,NA,NA,"e22b0ed1-1340-40ce-b8b0-ea7524c5a98e","list(`dwc:identifiedBy` = c(""Bryan S. Dyer"", NA), `dwc:identificationRemarks` = c(""[MUSE DETERMINER: Dyer_BS/1995]"", ""[MUSE DETERMINER: ]""), `dwc:identificationVerificationStatus` = c(""migration"", ""migration""), coreid = c(""MCZ:Ich:18136"", ""MCZ:Ich:18136""), `dwc:identificationID` = c(""805112"", ""805113""), `dwc:scientificName` = c(""Odontesthes smitti"", ""Atherinichthys laticlavia""))"
"MCZ:Ich:18137","off Straits of Magellan, Sandy Point","b4640710-8e03-11d8-b956-b8a03c50a862","MCZ","Hassler Expedition",1872,"Animalia","Odontesthes",-70.87788,5292,-53.16117,"PreservedSpecimen","Ich","16/3/1872-16/3/1872","18137","1872-03-16",NA,"Atherinopsidae","Odontesthes smitti (Lahille, 1929)","Pacific, Southeast",11,"adult",NA,"iDigBio",NA,NA,NA,NA,"e36661a9-104f-436b-b0ef-a7658d6429ee","list(`dwc:identifiedBy` = c(""Bryan S. Dyer"", NA), `dwc:identificationRemarks` = c(""[MUSE DETERMINER: Dyer_BS/1995]"", ""[MUSE DETERMINER: ]""), `dwc:identificationVerificationStatus` = c(""migration"", ""migration""), coreid = c(""MCZ:Ich:18137"", ""MCZ:Ich:18137""), `dwc:identificationID` = c(""805114"", ""805115""), `dwc:scientificName` = c(""Odontesthes smitti"", ""Atherinichthys laticlavia""))"
"http://n2t.net/ark:/65665/3464f9eac-305d-488e-b987-17740e201584","Sandy Point (Punta Arenas), Straits of Magellan.","urn:lsid:biocol.org:col:34871","USNM",NA,1887,"Animalia","Austromenidia",-70.92,NA,-53.17,"PreservedSpecimen","FISH","1887 00 00 - 1888 00 00","USNM 77298","1887/1888","urn:uuid:09c9cf5f-f5d3-48cc-b5c8-cd9b9fbd631f","Atherinopsidae","Austromenidia nigricans","South Pacific Ocean",1,NA,NA,"iDigBio; NMNH Extant Biology",NA,NA,NA,NA,"7d3d7686-81de-4d56-979a-716977b66998","NULL"
"http://n2t.net/ark:/65665/371b3212f-ded5-4902-a4cc-316509090a03","Gregory Bay, Straits of Magellan.","urn:lsid:biocol.org:col:34871","USNM",NA,1888,"Animalia","Austromenidia",-70.33,NA,-52.67,"PreservedSpecimen","FISH","1888 Jan 00 - 1888 Feb 00","USNM 77300","1888-01/1888-02","urn:uuid:09c9cf5f-f5d3-48cc-b5c8-cd9b9fbd631f","Atherinopsidae","Austromenidia nigricans","South Pacific Ocean",1,NA,NA,"iDigBio; NMNH Extant Biology",NA,NA,NA,NA,"d3a7a32a-6fb3-4dac-8420-f6e6826b8236","NULL"
"urn:catalog:CAS:ICH:44702","Peulta, Lake Todos Los Santos","http://grscicoll.org/institution/california-academy-sciences","CAS","Eigenmann, Carl H.",1919,"Animalia","Cauque",-72.021984,946,-41.085732,"PreservedSpecimen","ICH",NA,"44702","1919-02-27","http://grscicoll.org/institutional-collection/cas-ichthyology","Atherinopsidae","Cauque mauleanum",NA,6,NA,NA,"iDigBio",NA,NA,NA,NA,"70b52633-d208-410b-86fd-ae7384a43dcd","NULL"
