verbatimEventDate,eventDate
18-19Dec1965,1965-12-18
12-13Dec1965,1965-12-12
06-07May1972,1972-05-06
30Apr-01May1972,1972-04-30
09-10Apr1972,1972-04-09
[no verbatim date data],
Aug1987,1987-08
08-09Dec1965,1965-12-08
19-20Dec1965,1965-12-19
25-26Dec1957,1957-12-25
1887-88,1905-03-01
May1954,1954-05
0000 00 00 - 0000 00 00,
22-23Dec1965,1965-12-22
13-14Apr1972,1972-04-13
14-15Dec1965,1965-12-14
July 1963,1963-07
Aug-99,1999-08
4-6 Nov 1975,1975-11-04
6-10 Oct 1998,1998-10-06
1986,1905-06-08
16 & 19 nov 1975,1975-11-16
Nov. 1994,1994-11
16 & 19 Nov. 1975,1975-11-16
Jul-83,1983-07
Dec1965,1965-12
Aug. 1999,1999-08
21/2/2017,2017-02-21
0000 Oct 02 - 0000 00 00,
Aug1999,1999-08
11-12Apr1972,1972-04-11
8-14-1999 to 8-21-1999,1999-08-14
12-31 Mar 2002,2002-03-12
Apr1972,1972-04
Oct-98,1998-10
4-6 Nov. 1975,1975-11-04
Feb. 1996,1996-02
Oct. 1994,1994-11
Dec. 1980,1980-12
Mar2000,2000-03
Jul-97,1997-07
3-12-1970 / 12-1970,1970-12-03
2/2/1969,1969-02-02
Aug-96,1996-08
15-16Aug1974,1974-08-15
23-24Dec1965,1965-12-23
