"id_CC","duplicated_CC","spatialClust_CC","canonicalName","eventDate","year","locality","bibliographicCitation","datasetName","recordedBy","identifiedBy","catalogNumber","institutionCode","institutionID","occurrenceID","occurrenceStatus","collectionCode","collectionID","rObjectRank_CC","decimalLatitude","decimalLongitude","scientificName","individualCount","samplingProtocol","locationRemarks","license","rightsHolder","accessRights","basisOfRecord","eventRemarks","references","sex","lifeStage","establishmentMeans","disposition","occurrenceRemarks","verbatimEventDate","eventTime","month","day","habitat","samplingEffort","continent","country","countryCode","stateProvince","county","municipality","verbatimElevation","verbatimLatitude","verbatimLongitude","kingdom","phylum","class","order","family","genus","specificEpithet","vernacularName","coordinateUncertaintyInMeters","waterBody","typeStatus","organismQuantityType","recordNumber","organismQuantity","uuid","Identification","gbifID","datasetKey","species","infraspecificEpithet","taxonRank","verbatimScientificName","verbatimScientificNameAuthorship","publishingOrgKey","coordinatePrecision","elevation","elevationAccuracy","depth","depthAccuracy","taxonKey","speciesKey","dateIdentified","lastInterpreted","mediaType","issue","recordedByID","modified","taxonID","verbatimCoordinateSystem","verbatimSRS","bibiographicCitation","sampleSizeValue","sampleSizeUnit","higherClassification","startDayOfYear","geodeticDatum","higherGeography","verbatimLocality","eventID","language","georeferenceVerificationStatus","nomenclaturalCode","endDayOfYear","georeferencedDate","georeferenceProtocol","georeferencedBy","preparations","fieldNumber","georeferenceSources","scientificNameAuthorship","georeferenceRemarks","associatedReferences","otherCatalogNumbers","dynamicProperties","island","verbatimDepth","maximumDepthInMeters","minimumDepthInMeters","footprintWKT","identificationVerificationStatus","ownerInstitutionCode","islandGroup","identificationRemarks","previousIdentifications","locationAccordingTo","locationID","organismID","datasetID","associatedMedia","materialSampleID","subgenus","minimumElevationInMeters","maximumElevationInMeters","namePublishedInID","scientificNameID","namePublishedInYear","namePublishedIn","verbatimCoordinates","originalNameUsage","associatedSequences","identificationQualifier","earliestAgeOrLowestStage","verbatimTaxonRank","formation","lithostratigraphicTerms","latestAgeOrHighestStage","group","member","lowestBiostratigraphicZone","highestBiostratigraphicZone","bed","earliestPeriodOrLowestSystem","earliestEpochOrLowestSeries","latestEonOrHighestEonothem","earliestEraOrLowestErathem","earliestEonOrLowestEonothem","latestEraOrHighestErathem","geologicalContextID","latestPeriodOrHighestSystem","latestEpochOrHighestSeries","scientificName_Old","IncludePewProAP"
1,FALSE,1371,"Aplochiton taeniatus","",NA,"SAN ANDREAS BAY, CHRISTMAS COVE",NA,"GBIF","J. BIRD","J.T. NICHOLS","AMNH 13714","FishBase",NA,"FishBase:Occurrence:AMNH 13714","PRESENT","Occurrence",NA,"6",-46.6,-75.533333,"Aplochiton taeniatus Jenyns, 1842",1,NA,NA,"CC_BY_NC_4_0","",NA,"PRESERVED_SPECIMEN",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CL","",NA,NA,NA,NA,NA,"Animalia","Chordata",NA,"Osmeriformes","Galaxiidae","Aplochiton",NA,NA,NA,NA,"",NA,"",NA,NA,NA,188618535,"197908d0-5565-11d8-b290-b8a03c50a862","Aplochiton taeniatus","","SPECIES","Aplochiton taeniatus","Jenyns, 1842","192a9ab0-5565-11d8-b290-b8a03c50a862",NA,NA,NA,NA,NA,2410621,2410621,NA,"2025-07-04 20:55:47.019","","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;MODIFIED_DATE_INVALID;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Aplochiton taeniatus Jenyns, 1842","1"
2,FALSE,1079,"Eleginops maclovinus",NA,2010,"Canal Ladrillero","Hüne, Mathias, & Ojeda, Jaime. (2012). Estructura del ensamble de peces costeros de los canales y fiordos de la zona central de la Patagonia chilena (48º-52ºS). Revista de biología marina y oceanografía, 47(3), 451-460. https://dx.doi.org/10.4067/S0718-19572012000300008","Aguilar-González, Marilyn (2023) Recopilación bibliográfica de ocurrencia peces en la Patagonia. Proyecto Priorización de Cuencas para la Conservación en Patagonia. Programa Austral Patagonia (ProAP) de The Pew Charitable Trusts. Coyhaique.",NA,NA,"849",NA,NA,NA,NA,NA,NA,"4",-49.1833333327,-75.4000000003,"Eleginops maclovinus (Cuvier, 1830)",12,"red de trasmallo de 60 m largo, 3 m alto, 2.5 cm de tamaño de malla interna y 12 cm de malla externa, con períodos de reposo de 12 h",NA,"CC BY-NC 4.0",NA,NA,"HumanObservation",NA,"-",NA,NA,"native",NA,NA,"40257",NA,3,20,NA,NA,"Sudamérica","Chile","CL","Región de Magallanes","Provincia Última Esperanza","Comuna de Natales",NA,"49°10.7'S","75°23.8'O","Animalia","Chordata","Actinopterygii","Perciformes","Eleginopsidae","Eleginops","maclovinus","Róbalo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPECIES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eleginops maclovinus","1"
3,FALSE,1081,"Eleginops maclovinus",NA,2010,"Seno Contreras","Hüne, Mathias, & Ojeda, Jaime. (2012). Estructura del ensamble de peces costeros de los canales y fiordos de la zona central de la Patagonia chilena (48º-52ºS). Revista de biología marina y oceanografía, 47(3), 451-460. https://dx.doi.org/10.4067/S0718-19572012000300008","Aguilar-González, Marilyn (2023) Recopilación bibliográfica de ocurrencia peces en la Patagonia. Proyecto Priorización de Cuencas para la Conservación en Patagonia. Programa Austral Patagonia (ProAP) de The Pew Charitable Trusts. Coyhaique.",NA,NA,"851",NA,NA,NA,NA,NA,NA,"4",-50.4166666668,-75.3333333326,"Eleginops maclovinus (Cuvier, 1830)",5,"red de trasmallo de 60 m largo, 3 m alto, 2.5 cm de tamaño de malla interna y 12 cm de malla externa, con períodos de reposo de 12 h",NA,"CC BY-NC 4.0",NA,NA,"HumanObservation",NA,"-",NA,NA,"native",NA,NA,"40235",NA,2,26,NA,NA,"Sudamérica","Chile","CL","Región de Magallanes","Provincia Última Esperanza","Comuna de Natales",NA,"50°25.2'S","75°19.8'O","Animalia","Chordata","Actinopterygii","Perciformes","Eleginopsidae","Eleginops","maclovinus","Róbalo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPECIES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eleginops maclovinus","1"
4,TRUE,1481,"Aplochiton taeniatus","2009-03-01",2009,"Rio 1, Bahia Francisco. Isla Duque de York","OrigenReg: Base Datos EULA UdeC, FuenteReg: Base Datos 2009","MMA2017","Jorge Gonzalez",NA,NA,NA,"Centro EULA UDEC Evelyn Habit",NA,NA,NA,NA,"11",-50.559,-75.322,"Aplochiton taeniatus Jenyns, 1842",1,"Pesca Electrica",NA,"revisar",NA,"consultar con institución/autor","Colecta","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Animalia","Chordata",NA,"Osmeriformes","Galaxiidae","Aplochiton",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPECIES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Aplochiton taeniatus","1"
6,TRUE,1481,"Aplochiton zebra","2009-03-01",2009,"Rio 1, Bahia Francisco. Isla Duque de York","OrigenReg: Base Datos EULA UdeC, FuenteReg: Base Datos 2009","MMA2017","Jorge Gonzalez",NA,NA,NA,"Centro EULA UDEC Evelyn Habit",NA,NA,NA,NA,"11",-50.559,-75.322,"Aplochiton zebra Jenyns, 1842",12,"Pesca Electrica",NA,"revisar",NA,"consultar con institución/autor","3","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Animalia","Chordata",NA,"Osmeriformes","Galaxiidae","Aplochiton",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPECIES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Aplochiton zebra","1"
10,TRUE,1587,"Galaxias maculatus","2009-02-24",2009,"Rio 1, Bahia Francisco. Isla Duque de York","OrigenReg: Base Datos EULA UdeC, FuenteReg: Base Datos 2009","MMA2017","Jorge Gonzalez",NA,NA,NA,"Centro EULA UDEC Evelyn Habit",NA,NA,NA,NA,"11",-50.558,-75.321,"Galaxias maculatus (Jenyns, 1842)",35,"Pesca Electrica",NA,"revisar",NA,"consultar con institución/autor","3","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Animalia","Chordata",NA,"Osmeriformes","Galaxiidae","Galaxias",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPECIES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Galaxias maculatus","1"
14,FALSE,1314,"Eleginops maclovinus","1888-02",1888,"Port Otway",NA,"GBIF","","","USNM 77318","USNM",NA,"http://n2t.net/ark:/65665/3cbe480df-3e43-44a5-a66f-d3c414b43b8d","PRESENT","FISH",NA,"6",-46.83,-75.3,"Eleginops maclovinus (Cuvier, 1830)",53,NA,NA,"CC0_1_0","",NA,"PRESERVED_SPECIMEN",NA,NA,NA,NA,"",NA,NA,NA,NA,2,NA,NA,NA,NA,NA,"CL","Magallanes and Chilean Antarctica Region",NA,NA,NA,NA,NA,"Animalia","Chordata",NA,"Perciformes","Eleginopsidae","Eleginops",NA,NA,NA,NA,"",NA,"",NA,NA,NA,1321811870,"821cc27a-e3bb-4bc5-ac34-89ada245069d","Eleginops maclovinus","","SPECIES","Eleginops maclovinus","","bc092ff0-02e4-11dc-991f-b8a03c50a862",NA,NA,NA,NA,NA,2382427,2382427,NA,"2025-07-13 07:20:25.132","","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;CONTINENT_INVALID",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eleginops maclovinus (Cuvier, 1830)","1"
15,FALSE,1314,"Eleginops maclovinus","1888-02-01",1888,"Port Otway",NA,"iDigBio; Originaly provided by: USNM, NMNH Extant Biology",NA,NA,"USNM 77318","USNM","urn:lsid:biocol.org:col:34871","http://n2t.net/ark:/65665/3cbe480df-3e43-44a5-a66f-d3c414b43b8d",NA,"FISH","urn:uuid:09c9cf5f-f5d3-48cc-b5c8-cd9b9fbd631f","5",-46.83,-75.3,"Eleginops maclovinus (Cuvier, 1830)",53,NA,NA,NA,NA,NA,"PreservedSpecimen",NA,NA,NA,NA,NA,NA,NA,"1888 Feb 00 - 0000 00 00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Animalia","Chordata",NA,"Perciformes","Eleginopsidae","Eleginops",NA,NA,NA,"South Pacific Ocean",NA,NA,NA,NA,"fba3cb59-565f-4da1-be26-23cce39b6643","NULL",NA,NA,NA,NA,"SPECIES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eleginops maclovinus","1"
16,FALSE,1314,"Eleginops maclovinus",NA,1888,"Port Otway","National Museum of Natural History, Smithsonian Institution. NMNH Fishes. Record ID: http://n2t.net/ark:/65665/3cbe480df-3e43-44a5-a66f-d3c414b43b8d. Source: http://collections.nmnh.si.edu/ipt/resource?r=nmnh_extant_dwc-a (source published on 2016-07-21)","VertNet; Originally provided by NA",NA,NA,"77318","USNM",NA,"http://n2t.net/ark:/65665/3cbe480df-3e43-44a5-a66f-d3c414b43b8d",NA,"Fishes",NA,"12",-46.83,-75.3,"Eleginops maclovinus (Cuvier, 1830)",53,NA,NA,"CC0",NA,NA,"PreservedSpecimen",NA,"http://portal.vertnet.org/o/usnm/fishes?id=http-n2t-net-ark-65665-3cbe480df-3e43-44a5-a66f-d3c414b43b8d",NA,NA,NA,NA,NA,"1888 Feb 00 - 0000 00 00",NA,2,NA,NA,NA,NA,"Chile",NA,NA,NA,NA,NA,"4650 S","07518 W","Animalia","Chordata","Actinopterygii","Perciformes","Eleginopsidae","Eleginops","maclovinus",NA,NA,"Pacific",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPECIES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Degrees Minutes Seconds",NA,NA,NA,NA,"Animalia, Chordata, Vertebrata, Osteichthyes, Actinopterygii, Neopterygii, Acanthopterygii, Perciformes, Notothenioidei, Nototheniidae",NA,"not recorded","Pacific, Chile",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eleginops maclovinus","1"
17,FALSE,1160,"Aplochiton zebra",NA,NA,"Port Otway","Zama A. y Cárdenas E. 1984. Introduction into Aysen Chile of Pacific Salmon N°9: Descriptive Catalogue of Marine and Freshwater Fishes from the Aysén Region, Southern Chile, with Zoogeographical Notes on the Fish Fauna. Japan International Cooperation Agency. 94 p.","Aguilar-González, Marilyn (2023) Recopilación bibliográfica de ocurrencia peces en la Patagonia. Proyecto Priorización de Cuencas para la Conservación en Patagonia. Programa Austral Patagonia (ProAP) de The Pew Charitable Trusts. Coyhaique.",NA,NA,"1354",NA,NA,NA,NA,NA,NA,"4",-46.8333333329,-75.2999999996,"Aplochiton zebra Jenyns, 1842",NA,"Surface gill net, bottom gill net, hook and line, dip net, bottom trawl, larva net, suface long line, bottom long line, cast net and Surber net.",NA,"CC BY-NC 4.0",NA,NA,"HumanObservation",NA,"-",NA,NA,"native",NA,NA,NA,NA,NA,NA,NA,NA,"Sudamérica","Chile","CL","Región de Aysén","Provincia de Aysén","Comuna de Aysén",NA,"46°50'S","75°18'O","Animalia","Chordata","Actinopterygii","Osmeriformes","Galaxiidae","Aplochiton","zebra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPECIES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Aplochiton zebra","1"
