IncludePewProAP,scientificName_Old,usageKey,scientificName,canonicalName,rank,status,confidence,matchType,kingdom,phylum,order,family,kingdomKey,phylumKey,orderKey,familyKey,synonym,verbatim_name,verbatim_rank,genus,species,genusKey,speciesKey,acceptedUsageKey,classKey,class
0,Agonidae,8617,Agonidae,Agonidae,FAMILY,ACCEPTED,94,EXACT,Animalia,Chordata,Scorpaeniformes,Agonidae,1,44,590,8617,FALSE,Agonidae,higher,NA,NA,NA,NA,NA,NA,NA
0,Agonopsis chiloensis,5201651,"Agonopsis chiloensis (Jenyns, 1840)",Agonopsis chiloensis,SPECIES,ACCEPTED,99,EXACT,Animalia,Chordata,Scorpaeniformes,Agonidae,1,44,590,8617,FALSE,Agonopsis chiloensis,higher,Agonopsis,Agonopsis chiloensis,2337232,5201651,NA,NA,NA
0,"Agonopsis chiloensis (Jenyns, 1840)",5201651,"Agonopsis chiloensis (Jenyns, 1840)",Agonopsis chiloensis,SPECIES,ACCEPTED,99,EXACT,Animalia,Chordata,Scorpaeniformes,Agonidae,1,44,590,8617,FALSE,"Agonopsis chiloensis (Jenyns, 1840)",higher,Agonopsis,Agonopsis chiloensis,2337232,5201651,NA,NA,NA
0,Allothunnus fallai,2373913,"Allothunnus fallai Serventy, 1948",Allothunnus fallai,SPECIES,ACCEPTED,99,EXACT,Animalia,Chordata,Perciformes,Scombridae,1,44,587,8596,FALSE,Allothunnus fallai,higher,Allothunnus,Allothunnus fallai,2373912,2373913,NA,NA,NA
0,"Allothunnus fallai Serventy, 1948",2373913,"Allothunnus fallai Serventy, 1948",Allothunnus fallai,SPECIES,ACCEPTED,100,EXACT,Animalia,Chordata,Perciformes,Scombridae,1,44,587,8596,FALSE,"Allothunnus fallai Serventy, 1948",higher,Allothunnus,Allothunnus fallai,2373912,2373913,NA,NA,NA
0,Alosidae,12265246,Alosidae,Alosidae,FAMILY,ACCEPTED,94,HIGHERRANK,Animalia,Chordata,Clupeiformes,Alosidae,1,44,538,12265246,,Alosidae,higher,NA,NA,NA,NA,,,
0,Amphiprion,1,Amphiprion,Amphiprion,GENUS,ACCEPTED,92,HIGHERRANK,Animalia,NA,Perciformes,Pomacentridae,1,NA,NA,NA,,Amphiprion,higher,NA,NA,NA,NA,,,
0,Anguilliformes,495,Anguilliformes,Anguilliformes,ORDER,ACCEPTED,94,HIGHERRANK,Animalia,Chordata,Anguilliformes,NA,1,44,495,NA,,Anguilliformes,higher,NA,NA,NA,NA,NA,NA,
0,"Antimora rostrata (Günther, 1878)",2417115,"Antimora rostrata (Günther, 1878)",Antimora rostrata,SPECIES,ACCEPTED,100,EXACT,Animalia,Chordata,Gadiformes,Moridae,1,44,549,3704,,"Antimora rostrata (Günther, 1878)",higher,Antimora,Antimora rostrata,2417114,2417115,NA,NA,
0,Aphos porosus,2350916,"Aphos porosus (Valenciennes, 1837)",Aphos porosus,SPECIES,ACCEPTED,99,EXACT,Animalia,Chordata,Batrachoidiformes,Batrachoididae,1,44,1106,7187,FALSE,Aphos porosus,higher,Aphos,Aphos porosus,2350915,2350916,NA,NA,NA
0,"Aphos porosus (Valenciennes, 1837)",2350916,"Aphos porosus (Valenciennes, 1837)",Aphos porosus,SPECIES,ACCEPTED,99,EXACT,Animalia,Chordata,Batrachoidiformes,Batrachoididae,1,44,1106,7187,FALSE,"Aphos porosus (Valenciennes, 1837)",higher,Aphos,Aphos porosus,2350915,2350916,NA,NA,NA
0,"Aphritis gobio Günther, 1861",5212005,"Aphritis gobio Günther, 1861",Aphritis gobio,SPECIES,SYNONYM,100,EXACT,Animalia,Chordata,Perciformes,Bovichtidae,1,44,587,4252,TRUE,"Aphritis gobio Günther, 1861",higher,Cottoperca,Cottoperca gobio,2398039,2398040,2398040,NA,NA
1,Aplochiton,2410617,"Aplochiton Jenyns, 1842",Aplochiton,GENUS,ACCEPTED,94,EXACT,Animalia,Chordata,Osmeriformes,Galaxiidae,1,44,1068,4224,FALSE,Aplochiton,higher,Aplochiton,NA,2410617,NA,NA,NA,NA
1,"Aplochiton Jenyns, 1842",2410617,"Aplochiton Jenyns, 1842",Aplochiton,GENUS,ACCEPTED,98,EXACT,Animalia,Chordata,Osmeriformes,Galaxiidae,1,44,1068,4224,FALSE,"Aplochiton Jenyns, 1842",higher,Aplochiton,NA,2410617,NA,NA,NA,NA
1,Aplochiton lacustris,2410617,"Aplochiton Jenyns, 1842",Aplochiton,GENUS,ACCEPTED,94,HIGHERRANK,Animalia,Chordata,Osmeriformes,Galaxiidae,1,44,1068,4224,FALSE,Aplochiton lacustris,higher,Aplochiton,NA,2410617,NA,NA,NA,NA
1,Aplochiton sp.,2410617,"Aplochiton Jenyns, 1842",Aplochiton,GENUS,ACCEPTED,94,HIGHERRANK,Animalia,Chordata,Osmeriformes,Galaxiidae,1,44,1068,4224,FALSE,Aplochiton sp.,higher,Aplochiton,NA,2410617,NA,NA,NA,NA
1,AzxAt hybrid,2410617,"Aplochiton Jenyns, 1842",Aplochiton,GENUS,ACCEPTED,94,EXACT,Animalia,Chordata,Osmeriformes,Galaxiidae,1,44,1068,4224,FALSE,AzxAt hybrid,higher,Aplochiton,NA,2410617,NA,NA,NA,NA
1,Aplochiton marinus,2410622,"Aplochiton marinus Eigenmann, 1928",Aplochiton marinus,SPECIES,ACCEPTED,99,EXACT,Animalia,Chordata,Osmeriformes,Galaxiidae,1,44,1068,4224,FALSE,Aplochiton marinus,higher,Aplochiton,Aplochiton marinus,2410617,2410622,NA,NA,NA
1,"Aplochiton marinus Eigenmann, 1928",2410622,"Aplochiton marinus Eigenmann, 1928",Aplochiton marinus,SPECIES,ACCEPTED,100,EXACT,Animalia,Chordata,Osmeriformes,Galaxiidae,1,44,1068,4224,FALSE,"Aplochiton marinus Eigenmann, 1928",higher,Aplochiton,Aplochiton marinus,2410617,2410622,NA,NA,NA
1,BOLD:ACI2268,2410622,"Aplochiton marinus Eigenmann, 1928",Aplochiton marinus,SPECIES,ACCEPTED,100,EXACT,Animalia,Chordata,Osmeriformes,Galaxiidae,1,44,1068,4224,FALSE,BOLD:ACI2268,higher,Aplochiton,Aplochiton marinus,2410617,2410622,NA,NA,NA
1,Aplochiton taeniatus,2410621,"Aplochiton taeniatus Jenyns, 1842",Aplochiton taeniatus,SPECIES,ACCEPTED,99,EXACT,Animalia,Chordata,Osmeriformes,Galaxiidae,1,44,1068,4224,FALSE,Aplochiton taeniatus,higher,Aplochiton,Aplochiton taeniatus,2410617,2410621,NA,NA,NA
1,"Aplochiton taeniatus Jenyns, 1842",2410621,"Aplochiton taeniatus Jenyns, 1842",Aplochiton taeniatus,SPECIES,ACCEPTED,100,EXACT,Animalia,Chordata,Osmeriformes,Galaxiidae,1,44,1068,4224,FALSE,"Aplochiton taeniatus Jenyns, 1842",higher,Aplochiton,Aplochiton taeniatus,2410617,2410621,NA,NA,NA
1,BOLD:ACC0585,2410621,"Aplochiton taeniatus Jenyns, 1842",Aplochiton taeniatus,SPECIES,ACCEPTED,100,EXACT,Animalia,Chordata,Osmeriformes,Galaxiidae,1,44,1068,4224,FALSE,BOLD:ACC0585,higher,Aplochiton,Aplochiton taeniatus,2410617,2410621,NA,NA,NA
1,Aplochiton zebra,2410618,"Aplochiton zebra Jenyns, 1842",Aplochiton zebra,SPECIES,ACCEPTED,99,EXACT,Animalia,Chordata,Osmeriformes,Galaxiidae,1,44,1068,4224,FALSE,Aplochiton zebra,higher,Aplochiton,Aplochiton zebra,2410617,2410618,NA,NA,NA
