id_CC_original,id_CC_original,match_id,correcting_match,match_status,n_keys_used,match_keys_used,datasetName,canonicalName,year,eventDate,locality,decimalLatitude,decimalLongitude,bibliographicCitation,catalogNumber,occurrenceID,institutionCode,Duplicate,Comment,.references,.associatedReferences,.decimalLatitude,.decimalLongitude,.locality,.year,.eventDate,.bibliographicCitation,.canonicalName,.scientificName,.catalogNumber,.recordedBy,.occurrenceID
14,14,NA,"unlink, record via iDigBio",no_match,NA,NA,gbif,eleginops maclovinus,1888,1888-02,port otway,-46.83,-75.3,NA,usnm 77318,http://n2t.net/ark:/65665/3cbe480df-3e43-44a5-a66f-d3c414b43b8d,usnm,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,16,9,,matched,3,datasetName;canonicalName;decimalLatitude,vert,eleginops maclovinus,1888,NA,port otway,-46.83,-75.3,National Museum of N,77318,http://n2t.net/ark:/65665/3cbe480df-3e43-44a5-a66f-d3c414b43b8d,usnm,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,18,13,,matched,3,datasetName;canonicalName;decimalLatitude,agui,galaxias maculatus,NA,NA,port otway,-46.8333333329,-75.2999999996,Rademacher K. 2007. ,1082,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,26,18,good,matched,4,datasetName;canonicalName;decimalLatitude;decimalLongitude,mma2,galaxias maculatus,2014,2014-04-24,rio tote. isla madre de dios,-50.386,-75.251,OrigenReg: Base Dato,NA,NA,NA,1,"associatedReferences: (Górski et al., 2017)",NA,"Górski et al., 2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,44,28,,matched,3,datasetName;canonicalName;decimalLatitude,mma2,aplochiton zebra,NA,NA,canal messier. isla juan stuven,-47.81,-74.764,FuenteReg: Gunther 1,NA,NA,NA,NA,Change bibliographicReference to: FuenteReg: Gunther 1880 Estudio: Campos et al. 1993b,NA,NA,NA,NA,NA,NA,NA,"FuenteReg: Gunther 1880, Estudio: Campos et al. 1993b",NA,NA,NA,NA,NA
45,45,29,,matched,3,datasetName;canonicalName;decimalLatitude,agui,aplochiton taeniatus,NA,NA,isla harbor,-47.7499999998,-74.7499999998,Zama A. y Cárdenas E,1352,NA,NA,NA,"change locality to Puerto Island (english name is Island Harbor, which is translated to Puerto Island. Coordinate is -48.050901, -74.588702",NA,NA,-48.050901,-74.588702,Puerto Island,NA,NA,NA,NA,NA,NA,NA,NA
56,56,38,,matched,3,datasetName;canonicalName;decimalLatitude,agui,aplochiton marinus,NA,NA,isla wellington,-49.5333333329,-74.5000000003,Zama A. y Cárdenas E,1349,NA,NA,1,"eventDate= 1977-09-21; year=1977; Locality= Isla Wellington, Estero Veto",NA,NA,NA,NA,"Isla Wellington, Estero Veto",1977,1977-09-21,NA,NA,NA,NA,NA,NA
57,57,39,,matched,3,datasetName;canonicalName;decimalLatitude,agui,aplochiton taeniatus,1977,NA,estero veto,-49.5333333329,-74.5000000003,"McDowall, R., & Naka",906,NA,NA,NA,"change coordinate to -49.511663, -74.499677",NA,NA,-49.511663,-74.499677,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,58,40,,matched,3,datasetName;canonicalName;decimalLatitude,mma2,aplochiton marinus,1977,1977-09-21,estero veto. costeras  orientales  entre  fiordo veto y fiordo antrim,-49.533,-74.5,"OrigenReg: Zama, A.,",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,61,42,,matched,5,datasetName;canonicalName;decimalLatitude;decimalLongitude;bibliographicCitation,agui,galaxias maculatus,2013,NA,lago konrad po,-51.1777777784,-74.4383333329,"Górski, K., González",726,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,62,43,,matched,5,datasetName;canonicalName;decimalLatitude;decimalLongitude;bibliographicCitation,agui,galaxias maculatus,2014,NA,lago konrad po,-51.1777777784,-74.4383333329,"Pérez, S., Manosalva",1050,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,65,45,good,matched,3,datasetName;canonicalName;decimalLatitude,mma2,galaxias maculatus,2014,2014-03-27,lago konrad. bahia donaldson. islas presidente gabriel gonzalez videla,-51.178,-74.438,OrigenReg: Base Dato,NA,NA,NA,1,associatedReferences (Górski et al. 2017 | Pérez et al. 2022),NA,Górski et al. 2017 | Pérez et al. 2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,72,49,,matched,5,datasetName;canonicalName;decimalLatitude;decimalLongitude;bibliographicCitation,agui,galaxias maculatus,2013,NA,río konrad po,-51.1802777777,-74.432222222,"Górski, K., González",725,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,73,50,,matched,5,datasetName;canonicalName;decimalLatitude;decimalLongitude;bibliographicCitation,agui,galaxias maculatus,2014,NA,estuario konrad po,-51.1802777777,-74.432222222,"Pérez, S., Manosalva",1049,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
