CM_row_id,prim_key,correccion,Remove_from_master,.locality,.decimalLatitude,.decimalLongitude,.year,.eventDate,.recordedBy,.individualCount,.bibliographicCitation,.canonicalName,.scientificName
1,gbif | APN-PM-849,Locality: Lago Azara,,Lago Azara,,,,,,,,,
2,agui | MAguilar.Lit.Review.1163,coord  48.9978/72.2456,,,-48.9978,-72.2456,,,,,,,
3,agui | MAguilar.Lit.Review.1182,coord correctas49.0093/72.2437,,,-49.0093,-72.2437,,,,,,,
4,agui | MAguilar.Lit.Review.471,localityLagura Pescado; coord  47.82058/72.1659,,Lagura Pescado,-47.82058,-72.1659,,,,,,,
5,agui | MAguilar.Lit.Review.1424,coord  47.82/72.118; year 2001; RecordedBy D Milano; individualCount132,,,-47.82,-72.118,2001,,Daniela Milano,132,,,
6,agui | MAguilar.Lit.Review.951,coord  47.82/72.118; year 2001; RecordedBy D Milano; individualCount132,,,-47.82,-72.118,2001,,Daniela Milano,132,,,
7,agui | MAguilar.Lit.Review.926,coord  47.82/72.118; year 2001; RecordedBy D Milano; individualCount132,,,-47.82,-72.118,2001,,Daniela Milano,132,,,
8,agui | MAguilar.Lit.Review.15,coord  47.82/72.118,,,-47.82,-72.118,,,,,,,
9,agui | MAguilar.Lit.Review.470,coord  47.82/72.118; year 2001; RecordedBy D Milano; individualCount132,,,-47.82,-72.118,2001,,Daniela Milano,132,,,
10,agui | MAguilar.Lit.Review.468,coord  47.7666/71.9660,,,-47.7666,-71.966,,,,,,,
11,gbif | urn:catalog:CAS:ICH:63844,coord correcta: 47.576798/71.3810877,,,-47.576798,-71.3810877,,,,,,,
12,agui | MAguilar.Lit.Review.172,coord  47.2936/71.97; year2001,,,-47.2936,-71.97,2001,,,,,,
13,gbif | FFPAT086-11,CanonicalName: Odontesthes hatcheri,,,,,,,,,,Odontesthes hatcheri,"Odontesthes hatcheri (Eigenmann, 1909)"
14,agui | MAguilar.Lit.Review.1161,coord  47.2936/71.97; year2001,,,-47.2936,-71.97,2001,,,,,,
15,agui | MAguilar.Lit.Review.1181,coord  47.4369/71.9176; year 2001,,,-47.4369,-71.9176,2001,,,,,,
16,agui | MAguilar.Lit.Review.950,coord  47.2936/71.97; year2001,,,-47.2936,-71.97,2001,,,,,,
17,agui | MAguilar.Lit.Review.33,coord  47.2936/71.97; year2001,,,-47.2936,-71.97,2001,,,,,,
18,agui | MAguilar.Lit.Review.956,coord  47.3169/71.9409; Year 2001,,,-47.3169,-71.9409,2001,,,,,,
19,agui | MAguilar.Lit.Review.53,coord  47.3169/71.9409; Year 2001,,,-47.3169,-71.9409,2001,,,,,,
20,agui | MAguilar.Lit.Review.121,coord 47.3103/71.9328; year 2001,,,-47.3103,-71.9328,2001,,,,,,
21,agui | MAguilar.Lit.Review.958,coord  47.4369/71.9176; year 2001,,,-47.4369,-71.9176,2001,,,,,,
22,agui | MAguilar.Lit.Review.66,coord  47.4369/71.9176; year 2001,,,-47.4369,-71.9176,2001,,,,,,
23,agui | MAguilar.Lit.Review.472,coord  50.32363/72.29108,,,-50.32363,-72.29108,,,,,,,
24,inat | http://www.inaturalist.org/observations/122375,Locality: Lago Menéndez,,Lago Menéndez,,,,,,,,,
25,agui | MAguilar.Lit.Review.21,coord 42.2010/71.8483,,,-42.201,-71.8483,,,,,,,
26,agui | MAguilar.Lit.Review.87,coord  42.21261/71.83461,,,-42.21261,-71.83461,,,,,,,
27,agui | MAguilar.Lit.Review.368,42.46416/71.60573,,,-42.46416,-71.60573,,,,,,,
28,agui | MAguilar.Lit.Review.423,42.45/71.6667,,,-42.45,-71.6667,,,,,,,
29,agui | MAguilar.Lit.Review.932,41.3125/71.7825; eventDate 28/01/1997; year 1997; recordedBy D. Milano,,,-41.3125,-71.7825,1997,1997-01-28,Daniela Milano,,,,
30,agui | MAguilar.Lit.Review.166,"41.3125/71.7825, eventDate 28/01/1997; year 1997; recordedBy D. Milano",,,-41.3125,-71.7825,1997,1997-01-28,Daniela Milano,,,,
31,inat | https://www.inaturalist.org/observations/221918038,Locality: Río Manso superior,,Río Manso superior,,,,,,,,,
32,agui | MAguilar.Lit.Review.404,coord 41.3167/71.7833,,,-41.3167,-71.7833,,,,,,,
33,agui | MAguilar.Lit.Review.417,"41.3125/71.7825, eventDate 28/01/1997; year 1997; recordedBy D. Milano",,,-41.3125,-71.7825,1997,1997-01-28,Daniela Milano,,,,
