bibliographicCitation,bibliographicCitation_standardized
"Aigo, J., Cussac, V., Peris, S. et al. Distribution of introduced and native fish in Patagonia (Argentina): patterns and changes in fish assemblages. Rev Fish Biol Fisheries 18, 387–408 (2008). https://doi.org/10.1007/s11160-007-9080-8","Aigo, J., Cussac, V.E., Peris, S., Ortubay, S., Gómez, S., López, H., Gross, M., Barriga, J.P., and Battini, M. 2008. Distribution of introduced and native fish in Patagonia (Argentina): patterns and changes in fish assemblages. Reviews in Fish Biology and Fisheries 18(4): 387–408. doi:10.1007/s11160-007-9080-8."
ALEJANDRO PENALOZA Estudio De Linea De Base Rio Manihuales.,Alejandro Penaloza. Estudio De Linea De Base Rio Manihuales.
ALEJANDRO PENALOZA Informe Fauna Ictica Minicentral De Paso La Paloma.,Alejandro Penaloza. Informe Fauna Ictica Minicentral De Paso La Paloma.
ALEJANDRO PENALOZA Planta De Elaboracion De Productos Carnicos.,Alejandro Penaloza. Planta De Elaboracion De Productos Carnicos.
"Alò D, Correa C, Samaniego H, Krabbenhoft CA, Turner TF. 2019. Otolith microchemistry and diadromy in Patagonian river fishes. PeerJ 7:e6149 https://doi.org/10.7717/peerj.6149","Alò, D., Correa, C., Samaniego, H., Krabbenhoft, C.A., and Turner, T.F. 2019. Otolith microchemistry and diadromy in Patagonian river fishes. PeerJ 7: e6149. PeerJ Inc. doi:10.7717/peerj.6149."
"Alò, D., Correa, C., Arias, C., and Cárdenas, L. 2013. Diversity of Aplochiton fishes (Galaxiidea) and the taxonomic resurrection of A. marinus. PLoS ONE 8(8): e71577.","Alò, D., Correa, C., Arias, C., and Cárdenas, L. 2013. Diversity of Aplochiton fishes (Galaxiidea) and the taxonomic resurrection of A. marinus. PLoS ONE 8(8): e71577."
"Alò, D., Correa, C., Samaniego, H., Krabbenhoft, C.A., and Turner, T.F. 2019. Otolith microchemistry and diadromy in Patagonian river fishes. PeerJ 7: e6149. PeerJ Inc. doi: 10.7717/peerj.6149.","Alò, D., Correa, C., Samaniego, H., Krabbenhoft, C.A., and Turner, T.F. 2019. Otolith microchemistry and diadromy in Patagonian river fishes. PeerJ 7: e6149. PeerJ Inc. doi:10.7717/peerj.6149."
"Arismendi, I., Penaluna, B., & Soto, D. (2011). Body condition indices as a rapid assessment of the abundance of introduced salmonids in oligotrophic lakes of southern Chile. Lake and Reservoir Management, 27(1), 61–69. https://doi.org/10.1080/07438141.2010.536617","Arismendi, I., Penaluna, B., and Soto, D. 2011. Body condition indices as a rapid assessment of the abundance of introduced salmonids in oligotrophic lakes of southern Chile. Lake and Reservoir Management 27(1): 61–69. doi:10.1080/07438141.2010.536617."
"ARISMENDI, I., SOTO, D., PENALUNA, B., JARA, C., LEAL, C. and LEÓN-MUÑOZ, J. (2009), Aquaculture, non-native salmonid invasions and associated declines of native fishes in Northern Patagonian lakes. Freshwater Biology, 54: 1135-1147. https://doi.org/10.1111/j.1365-2427.2008.02157.x","Arismendi, I., Soto, D., Penaluna, B., Jara, C., Leal, C., and León-Muñoz, J. 2009. Aquaculture, non-native salmonid invasions and associated declines of native fishes in Northern Patagonian lakes. Freshwater Biology 54(5): 1135–1147. doi:10.1111/j.1365-2427.2008.02157.x."
"Arratia G, Quezada-Romegialli C. 2017. Understanding morphological variability in a taxonomic context in Chilean diplomystids (Teleostei: Siluriformes), including the description of a new species. PeerJ 5:e2991 https://doi.org/10.7717/peerj.2991","Arratia, G., and Quezada-Romegialli, C. 2017. Understanding morphological variability in a taxonomic context in Chilean diplomystids (Teleostei: Siluriformes), including the description of a new species. PeerJ 5: e2991. PeerJ Inc. doi:10.7717/peerj.2991."
"Arratia, G, MB Peñafort y S Menu-Marque. 1983. Peces de la región sureste de los Andes y sus probables relaciones biogeográficas actuales. Deserta, 7: 48-107","Arratia, G., Penafort, B., and Menu Marque, S. 1983. Peces de la región sureste de los Andes y sus probables relaciones biogeograficas actuales. Deserta: 7:-48-107."
"Astorga, Marcela P, Valenzuela, Cynthia, Arismendi, Iván, & Iriarte, José L. (2008). Naturalized Chinook salmon in the northern Chilean Patagonia: Do they originate from salmon farming?. Revista de biología marina y oceanografía, 43(3), 669-674. https://dx.doi.org/10.4067/S0718-19572008000300025","Astorga, M.P., Valenzuela, C., Arismendi, I., and Iriarte, J.L. 2008. Naturalized Chinook salmon in the northern Chilean Patagonia: Do they originate from salmon farming? Revista de Biología Marina y Oceanografía 43: 669–674."
"Avendaño-Herrera R, Saldarriaga-Córdoba M, Irgang R. Draft Genome Sequence of Tenacibaculum ovolyticum To-7Br, Recovered from a Farmed Atlantic Salmon (Salmo salar). Microbiol Resour Announc. 2022 Jul 21;11(7):e0025422. doi: 10.1128/mra.00254-22. Epub 2022 Jun 2. PMID: 35652633; PMCID: PMC9302122.","Avendaño-Herrera, R., Saldarriaga-Córdoba, M., and Irgang, R. 2022. Draft Genome Sequence of Tenacibaculum ovolyticum To-7Br, Recovered from a Farmed Atlantic Salmon (Salmo salar). Microbiol Resour Announc 11(7): e0025422. doi:10.1128/mra.00254-22."
