"decimalLatitude","decimalLongitude","occurrenceID","scientificName","kingdom","phylum","order","taxonRank","taxonID","family","genus","datasetName","license","verbatimIdentification","bibliographicCitation","year","eventDate","individualCount","accessRights","samplingProtocol","locality","catalogNumber","locationRemarks","basisOfRecord","verbatimLatitude","verbatimLongitude","month","verbatimSRS","associatedReferences","recordedBy","eventRemarks","rightsHolder","stateProvince","continent","countryCode","county","verbatimEventDate","references","specificEpithet","establishmentMeans","otherCatalogNumbers","municipality","institutionID","datasetID","vernacularName","country","verbatimCoordinateSystem","class","occurrenceRemarks","institutionCode","samplingEffort","collectionCode","eventTime","lifeStage","sampleSizeUnit","coordinateUncertaintyInMeters","waterBody","collectionID","disposition","habitat","typeStatus","higherGeography","fieldNumber","language","modified","preparations","identifiedBy","georeferencedBy","georeferenceRemarks","recordNumber","higherClassification","dateIdentified","organismQuantityType","ownerInstitutionCode","locationID","occurrenceStatus","verbatimLocality","eventID","georeferenceVerificationStatus","nomenclaturalCode","georeferencedDate","georeferenceProtocol","georeferenceSources","dynamicProperties","island","verbatimDepth","footprintWKT","islandGroup","identificationRemarks","previousIdentifications","infraspecificEpithet","materialSampleID","scientificNameID","originalNameUsage","associatedSequences","identificationQualifier","type","informationWithheld","dataGeneralizations","recordedByID","organismScope","organismRemarks","parentEventID","higherGeographyID","identificationID","identifiedByID","acceptedNameUsageID","taxonConceptID","acceptedNameUsage","nameAccordingTo","genericName","taxonomicStatus","taxonRemarks","day","startDayOfYear","endDayOfYear","geodeticDatum","associatedMedia","verbatimElevation","sex","organismQuantity","sampleSizeValue","coordinatePrecision","scientificNameAuthorship","organismID","maximumDepthInMeters","minimumDepthInMeters","identificationVerificationStatus","locationAccordingTo","subgenus","minimumElevationInMeters","maximumElevationInMeters","namePublishedInID","namePublishedInYear","namePublishedIn","verbatimCoordinates","earliestAgeOrLowestStage","verbatimTaxonRank","formation","lithostratigraphicTerms","latestAgeOrHighestStage","group","member","lowestBiostratigraphicZone","highestBiostratigraphicZone","bed","earliestPeriodOrLowestSystem","earliestEpochOrLowestSeries","latestEonOrHighestEonothem","earliestEraOrLowestErathem","earliestEonOrLowestEonothem","latestEraOrHighestErathem","geologicalContextID","latestPeriodOrHighestSystem","latestEpochOrHighestSeries","reproductiveCondition","behavior","degreeOfEstablishment","pathway","associatedOccurrences","associatedTaxa","organismName","associatedOrganisms","fieldNotes","verticalDatum","minimumDistanceAboveSurfaceInMeters","maximumDistanceAboveSurfaceInMeters","pointRadiusSpatialFit","footprintSRS","footprintSpatialFit","identificationReferences","parentNameUsageID","originalNameUsageID","nameAccordingToID","parentNameUsage","subfamily","infragenericEpithet","cultivarEpithet","nomenclaturalStatus","prim_key","canonicalName","data_source","uuid","gbifID","datasetKey","taxonKey"
-49.1833333327,-75.4000000003,"MAguilar.Lit.Review.849","Eleginops maclovinus (Cuvier, 1830)","Animalia","Chordata","Perciformes","SPECIES","https://www.gbif.org/species/2382427","Eleginopsidae","Eleginops","González-Aguilar, Marilyn (2023) Recopilación bibliográfica de ocurrencia de peces en la Patagonia del proyecto Priorización de Cuencas para la Conservación en Patagonia. Programa Austral Patagonia (ProAP) de The Pew Charitable Trusts. Coyhaique.","CC BY-NC 4.0","Eleginops maclovinus","Hüne, Mathias, & Ojeda, Jaime. (2012). Estructura del ensamble de peces costeros de los canales y fiordos de la zona central de la Patagonia chilena (48º-52ºS). Revista de biología marina y oceanografía, 47(3), 451-460. https://dx.doi.org/10.4067/S0718-19572012000300008","2010","2010-03-20","12",NA,"red de trasmallo de 60 m largo, 3 m alto, 2.5 cm de tamaño de malla interna y 12 cm de malla externa, con períodos de reposo de 12 h","Canal Ladrillero","849",NA,"HumanObservation","49°10.7'S","75°23.8'O",3,NA,NA,NA,NA,NA,"Región de Magallanes","Sudamérica","CL","Provincia Última Esperanza","40257","-","maclovinus","native",NA,"Comuna de Natales",NA,NA,"Róbalo","Chile",NA,"Actinopterygii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"agui | MAguilar.Lit.Review.849","Eleginops maclovinus","Review by M. González-Aguilar (2023)",NA,NA,NA,NA
-50.4166666668,-75.3333333326,"MAguilar.Lit.Review.851","Eleginops maclovinus (Cuvier, 1830)","Animalia","Chordata","Perciformes","SPECIES","https://www.gbif.org/species/2382427","Eleginopsidae","Eleginops","González-Aguilar, Marilyn (2023) Recopilación bibliográfica de ocurrencia de peces en la Patagonia del proyecto Priorización de Cuencas para la Conservación en Patagonia. Programa Austral Patagonia (ProAP) de The Pew Charitable Trusts. Coyhaique.","CC BY-NC 4.0","Eleginops maclovinus","Hüne, Mathias, & Ojeda, Jaime. (2012). Estructura del ensamble de peces costeros de los canales y fiordos de la zona central de la Patagonia chilena (48º-52ºS). Revista de biología marina y oceanografía, 47(3), 451-460. https://dx.doi.org/10.4067/S0718-19572012000300008","2010","2010-02-26","5",NA,"red de trasmallo de 60 m largo, 3 m alto, 2.5 cm de tamaño de malla interna y 12 cm de malla externa, con períodos de reposo de 12 h","Seno Contreras","851",NA,"HumanObservation","50°25.2'S","75°19.8'O",2,NA,NA,NA,NA,NA,"Región de Magallanes","Sudamérica","CL","Provincia Última Esperanza","40235","-","maclovinus","native",NA,"Comuna de Natales",NA,NA,"Róbalo","Chile",NA,"Actinopterygii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"agui | MAguilar.Lit.Review.851","Eleginops maclovinus","Review by M. González-Aguilar (2023)",NA,NA,NA,NA
-50.559,-75.322,"MMA:ICT:0000014","Aplochiton taeniatus Jenyns, 1842","Animalia","Chordata","Osmeriformes","SPECIES","https://www.gbif.org/species/2410621","Galaxiidae","Aplochiton","Habit E, Vila I, Contreras L. M, Dyer B, Correa C, Naretto J, Contreras V, Amaya L, Villagran C (2023). Fauna Íctica Nativa Continental de Chile. Ministerio del Medio Ambiente de Chile. Occurrence dataset https://doi.org/10.15468/cxb957","CC BY-NC 4.0","Aplochiton taeniatus","Base Datos EULA UdeC, Base Datos 2009","2009","2009-3-1","1","consultar con institución/autor","Pesca Electrica","Rio 1, Bahia Francisco. Isla Duque de York.",NA,NA,"Occurrence",NA,NA,NA,NA,"","Jorge Gonzalez","Centro EULA UDEC (Evelyn Habit)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"gbifID:4463086307",NA,"Centro EULA UDEC","45c3d8d2-7352-4dd1-aefd-c21e0b6b004e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mma2 | MMA:ICT:0000014","Aplochiton taeniatus","MMA Peces continentales (2023)",NA,NA,"45c3d8d2-7352-4dd1-aefd-c21e0b6b004e",NA
-50.559,-75.322,"MMA:ICT:0000083","Aplochiton zebra Jenyns, 1842","Animalia","Chordata","Osmeriformes","SPECIES","https://www.gbif.org/species/2410618","Galaxiidae","Aplochiton","Habit E, Vila I, Contreras L. M, Dyer B, Correa C, Naretto J, Contreras V, Amaya L, Villagran C (2023). Fauna Íctica Nativa Continental de Chile. Ministerio del Medio Ambiente de Chile. Occurrence dataset https://doi.org/10.15468/cxb957","CC BY-NC 4.0","Aplochiton zebra","Base Datos EULA UdeC, Base Datos 2009","2009","2009-3-1","12","consultar con institución/autor","Pesca Electrica","Rio 1, Bahia Francisco. Isla Duque de York.",NA,NA,"Occurrence",NA,NA,NA,NA,"","Jorge Gonzalez","Centro EULA UDEC (Evelyn Habit)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"gbifID:4463086098",NA,"Centro EULA UDEC","45c3d8d2-7352-4dd1-aefd-c21e0b6b004e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mma2 | MMA:ICT:0000083","Aplochiton zebra","MMA Peces continentales (2023)",NA,NA,"45c3d8d2-7352-4dd1-aefd-c21e0b6b004e",NA
-50.558,-75.321,"MMA:ICT:0001900","Galaxias maculatus (Jenyns, 1842)","Animalia","Chordata","Osmeriformes","SPECIES","https://www.gbif.org/species/5214265","Galaxiidae","Galaxias","Habit E, Vila I, Contreras L. M, Dyer B, Correa C, Naretto J, Contreras V, Amaya L, Villagran C (2023). Fauna Íctica Nativa Continental de Chile. Ministerio del Medio Ambiente de Chile. Occurrence dataset https://doi.org/10.15468/cxb957","CC BY-NC 4.0","Galaxias maculatus","Base Datos EULA UdeC, Base Datos 2009","2009","2009-2-24","35","consultar con institución/autor","Pesca Electrica","Rio 1, Bahia Francisco. Isla Duque de York.",NA,NA,"Occurrence",NA,NA,NA,NA,"","Jorge Gonzalez","Centro EULA UDEC (Evelyn Habit)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"gbifID:4463088075",NA,"Centro EULA UDEC","45c3d8d2-7352-4dd1-aefd-c21e0b6b004e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mma2 | MMA:ICT:0001900","Galaxias maculatus","MMA Peces continentales (2023)",NA,NA,"45c3d8d2-7352-4dd1-aefd-c21e0b6b004e",NA
-46.83,-75.3,"http://n2t.net/ark:/65665/3cbe480df-3e43-44a5-a66f-d3c414b43b8d","Eleginops maclovinus (Cuvier, 1830)","Animalia","Chordata","Perciformes","SPECIES","https://www.gbif.org/species/2382427","Eleginopsidae","Eleginops","NMNH Extant Biology",NA,"Eleginops maclovinus",NA,"1888","1888-02","53",NA,NA,"Port Otway","USNM 77318",NA,"PreservedSpecimen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1888 Feb 00 - 0000 00 00",NA,NA,NA,NA,NA,"urn:lsid:biocol.org:col:34871",NA,NA,NA,NA,NA,NA,"USNM",NA,"FISH",NA,NA,NA,NA,"South Pacific Ocean","urn:uuid:09c9cf5f-f5d3-48cc-b5c8-cd9b9fbd631f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"idig | http://n2t.net/ark:/65665/3cbe480df-3e43-44a5-a66f-d3c414b43b8d","Eleginops maclovinus","iDigBio downloaded on 2025-11-27","fba3cb59-565f-4da1-be26-23cce39b6643",NA,NA,NA
-50.386,-75.252,"MMA:ICT:0001902","Galaxias maculatus (Jenyns, 1842)","Animalia","Chordata","Osmeriformes","SPECIES","https://www.gbif.org/species/5214265","Galaxiidae","Galaxias","Habit E, Vila I, Contreras L. M, Dyer B, Correa C, Naretto J, Contreras V, Amaya L, Villagran C (2023). Fauna Íctica Nativa Continental de Chile. Ministerio del Medio Ambiente de Chile. Occurrence dataset https://doi.org/10.15468/cxb957","CC BY-NC 4.0","Galaxias maculatus","Base Datos EULA UdeC, Base Datos 2009","2009","2009-2-24","33","consultar con institución/autor","Pesca Electrica","Rio 1, bahia cercana a Guarello. Isla Madre de Dios.",NA,NA,"Occurrence",NA,NA,NA,NA,"","Jorge Gonzalez","Centro EULA UDEC (Evelyn Habit)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"gbifID:4463090652",NA,"Centro EULA UDEC","45c3d8d2-7352-4dd1-aefd-c21e0b6b004e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mma2 | MMA:ICT:0001902","Galaxias maculatus","MMA Peces continentales (2023)",NA,NA,"45c3d8d2-7352-4dd1-aefd-c21e0b6b004e",NA
-50.386,-75.251,"MMA:ICT:0000085","Aplochiton zebra Jenyns, 1842","Animalia","Chordata","Osmeriformes","SPECIES","https://www.gbif.org/species/2410618","Galaxiidae","Aplochiton","Habit E, Vila I, Contreras L. M, Dyer B, Correa C, Naretto J, Contreras V, Amaya L, Villagran C (2023). Fauna Íctica Nativa Continental de Chile. Ministerio del Medio Ambiente de Chile. Occurrence dataset https://doi.org/10.15468/cxb957","CC BY-NC 4.0","Aplochiton zebra","Base Datos EULA UdeC, Base Datos 2009","2009","2009-3-2","16","consultar con institución/autor","Pesca Electrica","Rio 1, bahia cercana a Guarello. Isla Madre de Dios.",NA,NA,"Occurrence",NA,NA,NA,NA,"","Jorge Gonzalez","Centro EULA UDEC (Evelyn Habit)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"gbifID:4463086096",NA,"Centro EULA UDEC","45c3d8d2-7352-4dd1-aefd-c21e0b6b004e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mma2 | MMA:ICT:0000085","Aplochiton zebra","MMA Peces continentales (2023)",NA,NA,"45c3d8d2-7352-4dd1-aefd-c21e0b6b004e",NA
-50.386,-75.251,"MMA:ICT:0001810","Eleginops maclovinus (Cuvier, 1830)","Animalia","Chordata","Perciformes","SPECIES","https://www.gbif.org/species/2382427","Eleginopsidae","Eleginops","Habit E, Vila I, Contreras L. M, Dyer B, Correa C, Naretto J, Contreras V, Amaya L, Villagran C (2023). Fauna Íctica Nativa Continental de Chile. Ministerio del Medio Ambiente de Chile. Occurrence dataset https://doi.org/10.15468/cxb957","CC BY-NC 4.0","Eleginops maclovinus","Base Datos EULA UdeC, Base Datos 2014","2014","2014-2-14","2","consultar con institución/autor","Pesca Electrica","Rio Tote. Isla Madre de Dios.",NA,NA,"Occurrence",NA,NA,NA,NA,"","Evelyn Habit","Centro EULA UDEC (Evelyn Habit)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"gbifID:4463088751",NA,"Centro EULA UDEC","45c3d8d2-7352-4dd1-aefd-c21e0b6b004e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mma2 | MMA:ICT:0001810","Eleginops maclovinus","MMA Peces continentales (2023)",NA,NA,"45c3d8d2-7352-4dd1-aefd-c21e0b6b004e",NA
-50.386,-75.251,"MMA:ICT:0002019","Galaxias maculatus (Jenyns, 1842)","Animalia","Chordata","Osmeriformes","SPECIES","https://www.gbif.org/species/5214265","Galaxiidae","Galaxias","Habit E, Vila I, Contreras L. M, Dyer B, Correa C, Naretto J, Contreras V, Amaya L, Villagran C (2023). Fauna Íctica Nativa Continental de Chile. Ministerio del Medio Ambiente de Chile. Occurrence dataset https://doi.org/10.15468/cxb957","CC BY-NC 4.0","Galaxias maculatus","Base Datos EULA UdeC, Base Datos 2014","2014","2014-4-24","115","consultar con institución/autor","Red Encierro","Rio Tote. Isla Madre de Dios.",NA,NA,"Occurrence",NA,NA,NA,NA,"Górski et al., 2017","Evelyn Habit","Centro EULA UDEC (Evelyn Habit)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"gbifID:4463087577",NA,"Centro EULA UDEC","45c3d8d2-7352-4dd1-aefd-c21e0b6b004e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mma2 | MMA:ICT:0002019","Galaxias maculatus","MMA Peces continentales (2023)",NA,NA,"45c3d8d2-7352-4dd1-aefd-c21e0b6b004e",NA
