"scientificName","scientificName_Old","canonicalName","IncludePewProAP","taxonRank","kingdom","phylum","order","family","genus","species","usageKey"
"Tachyeres patachonicus AVES STEEMER DUCK ","Micropterus patachonicus King, 1831","","0","SPECIES","Animalia","Chordata","","","","",""
NA,"",NA,"0",NA,"","","","","","",NA
"Bassanago albescens (Barnard, 1923)","Bassanago albescens (Barnard, 1923)","Bassanago albescens","0","SPECIES","Animalia","Chordata","Anguilliformes","Congridae","Bassanago","Bassanago albescens","2403271"
"Bassanago nielseni (Karmovskaya, 1990)","Bassanago nielseni (Karmovskaya, 1990)","Bassanago nielseni","0","SPECIES","Animalia","Chordata","Anguilliformes","Congridae","Bassanago","Bassanago nielseni","5961019"
"Congridae","Congridae","Congridae","0","FAMILY","Animalia","Chordata","Anguilliformes","Congridae",NA,NA,"2951"
"Anguilliformes","Anguilliformes","Anguilliformes","0","ORDER","Animalia","Chordata","Anguilliformes",NA,NA,NA,"495"
"Atherinidae","ATHERINIDAE","Atherinidae","1","FAMILY","Animalia","Chordata","Atheriniformes","Atherinidae",NA,NA,"7172"
"Atherinidae","Atherinidae","Atherinidae","1","FAMILY","Animalia","Chordata","Atheriniformes","Atherinidae",NA,NA,"7172"
"Atherinops Steindachner, 1876","Atherinops","Atherinops","1","GENUS","Animalia","Chordata","Atheriniformes","Atherinopsidae","Atherinops",NA,"2412418"
"Basilichthys australis Eigenmann, 1928","Basilichthys australis","Basilichthys australis","1","SPECIES","Animalia","Chordata","Atheriniformes","Atherinopsidae","Basilichthys","Basilichthys australis","2412261"
"Basilichthys australis Eigenmann, 1928","Basilichthys australis Eigenmann, 1928","Basilichthys australis","1","SPECIES","Animalia","Chordata","Atheriniformes","Atherinopsidae","Basilichthys","Basilichthys australis","2412261"
"Basilichthys microlepidotus (Jenyns, 1841)","Basilichthys microlepidotus","Basilichthys microlepidotus","1","SPECIES","Animalia","Chordata","Atheriniformes","Atherinopsidae","Basilichthys","Basilichthys microlepidotus","2412258"
"Basilichthys microlepidotus (Jenyns, 1841)","Basilichthys microlepidotus (Jenyns, 1841)","Basilichthys microlepidotus","1","SPECIES","Animalia","Chordata","Atheriniformes","Atherinopsidae","Basilichthys","Basilichthys microlepidotus","2412258"
"Atherinichthys Bleeker, 1853","Atherinichthys Bleeker, 1853","Atherinichthys","0","GENUS","Animalia","Chordata","Atheriniformes","Atherinopsidae","Chirostoma",NA,"2411644"
"Atherinichthys Bleeker, 1853","Atherinichthys laticlavia","Atherinichthys","0","GENUS","Animalia","Chordata","Atheriniformes","Atherinopsidae","Chirostoma",NA,"2411644"
"Menidia Bonaparte, 1836","Menidia alburnus","Menidia","0","GENUS","Animalia","Chordata","Atheriniformes","Atherinopsidae","Menidia",NA,"2412291"
"Menidia Bonaparte, 1836","Menidia Bonaparte, 1836","Menidia","0","GENUS","Animalia","Chordata","Atheriniformes","Atherinopsidae","Menidia",NA,"2412291"
"Odontesthes bonariensis (Valenciennes, 1835)","Odontesthes bonariensis","Odontesthes bonariensis","1","SPECIES","Animalia","Chordata","Atheriniformes","Atherinopsidae","Odontesthes","Odontesthes bonariensis","2412370"
"Odontesthes bonariensis (Valenciennes, 1835)","Odontesthes bonariensis (Valenciennes, 1835)","Odontesthes bonariensis","1","SPECIES","Animalia","Chordata","Atheriniformes","Atherinopsidae","Odontesthes","Odontesthes bonariensis","2412370"
"Odontesthes brevianalis (Günther, 1880)","Odontesthes brevianalis","Odontesthes brevianalis","1","SPECIES","Animalia","Chordata","Atheriniformes","Atherinopsidae","Odontesthes","Odontesthes brevianalis","2412379"
"Odontesthes brevianalis (Günther, 1880)","Odontesthes brevianalis (Günther, 1880)","Odontesthes brevianalis","1","SPECIES","Animalia","Chordata","Atheriniformes","Atherinopsidae","Odontesthes","Odontesthes brevianalis","2412379"
"Odontesthes hatcheri (Eigenmann, 1909)","Odontesthes hatcheri","Odontesthes hatcheri","1","SPECIES","Animalia","Chordata","Atheriniformes","Atherinopsidae","Odontesthes","Odontesthes hatcheri","2412392"
"Odontesthes hatcheri (Eigenmann, 1909)","Odontesthes hatcheri (Eigenmann, 1909)","Odontesthes hatcheri","1","SPECIES","Animalia","Chordata","Atheriniformes","Atherinopsidae","Odontesthes","Odontesthes hatcheri","2412392"
"Odontesthes humensis de Buen, 1953","Odontesthes humensis","Odontesthes humensis","1","SPECIES","Animalia","Chordata","Atheriniformes","Atherinopsidae","Odontesthes","Odontesthes humensis","2412414"
"Odontesthes humensis de Buen, 1953","Odontesthes humensis de Buen, 1953","Odontesthes humensis","1","SPECIES","Animalia","Chordata","Atheriniformes","Atherinopsidae","Odontesthes","Odontesthes humensis","2412414"
"Odontesthes incisa (Jenyns, 1841)","Odontesthes incisa","Odontesthes incisa","0","SPECIES","Animalia","Chordata","Atheriniformes","Atherinopsidae","Odontesthes","Odontesthes incisa","2412362"
"Odontesthes mauleanum (Steindachner, 1896)","Cauque mauleanum","Odontesthes mauleanum","1","SPECIES","Animalia","Chordata","Atheriniformes","Atherinopsidae","Odontesthes","Odontesthes mauleanum","2412338"
"Odontesthes mauleanum (Steindachner, 1896)","Cauque mauleanum (Steindachner, 1896)","Odontesthes mauleanum","1","SPECIES","Animalia","Chordata","Atheriniformes","Atherinopsidae","Odontesthes","Odontesthes mauleanum","2412338"
"Odontesthes mauleanum (Steindachner, 1896)","Odontesthes (Cauque) mauleanum/brevianalis","Odontesthes mauleanum","1","SPECIES","Animalia","Chordata","Atheriniformes","Atherinopsidae","Odontesthes","Odontesthes mauleanum","2412338"
"Odontesthes mauleanum (Steindachner, 1896)","Odontesthes mauleanum","Odontesthes mauleanum","1","SPECIES","Animalia","Chordata","Atheriniformes","Atherinopsidae","Odontesthes","Odontesthes mauleanum","2412338"
"Odontesthes mauleanum (Steindachner, 1896)","Odontesthes mauleanum (Steindachner, 1896)","Odontesthes mauleanum","1","SPECIES","Animalia","Chordata","Atheriniformes","Atherinopsidae","Odontesthes","Odontesthes mauleanum","2412338"
"Austroatherina nigricans (Richardson, 1848)","Austroatherina nigricans","Austroatherina nigricans","0","SPECIES","Animalia","Chordata","Atheriniformes","Atherinopsidae","Odontesthes","Odontesthes nigricans","2412408"
"Austroatherina nigricans (Richardson, 1848)","Austroatherina nigricans (Richardson, 1848)","Austroatherina nigricans","0","SPECIES","Animalia","Chordata","Atheriniformes","Atherinopsidae","Odontesthes","Odontesthes nigricans","2412408"
"Odontesthes nigricans (Richardson, 1848)","Odontesthes nigricans","Odontesthes nigricans","0","SPECIES","Animalia","Chordata","Atheriniformes","Atherinopsidae","Odontesthes","Odontesthes nigricans","2412403"
"Odontesthes nigricans (Richardson, 1848)","Odontesthes nigricans (Richardson, 1848)","Odontesthes nigricans","0","SPECIES","Animalia","Chordata","Atheriniformes","Atherinopsidae","Odontesthes","Odontesthes nigricans","2412403"
"Odontesthes regia (Humboldt, 1821)","Odontesthes regia","Odontesthes regia","0","SPECIES","Animalia","Chordata","Atheriniformes","Atherinopsidae","Odontesthes","Odontesthes regia","2412319"
"Odontesthes regia (Humboldt, 1821)","Odontesthes regia (Humboldt, 1821)","Odontesthes regia","0","SPECIES","Animalia","Chordata","Atheriniformes","Atherinopsidae","Odontesthes","Odontesthes regia","2412319"
"Odontesthes smitti (Lahille, 1929)","Odontesthes smitti","Odontesthes smitti","0","SPECIES","Animalia","Chordata","Atheriniformes","Atherinopsidae","Odontesthes","Odontesthes smitti","2412382"
"Odontesthes smitti (Lahille, 1929)","Odontesthes smitti (Lahille, 1929)","Odontesthes smitti","0","SPECIES","Animalia","Chordata","Atheriniformes","Atherinopsidae","Odontesthes","Odontesthes smitti","2412382"
"Austromenidia Hubbs, 1918","Austromenidia","Austromenidia","0","GENUS","Animalia","Chordata","Atheriniformes","Atherinopsidae","Odontesthes",NA,"2412268"
"Austromenidia Hubbs, 1918","Austromenidia alburnus","Austromenidia","0","GENUS","Animalia","Chordata","Atheriniformes","Atherinopsidae","Odontesthes",NA,"2412268"
"Austromenidia Hubbs, 1918","Austromenidia Hubbs, 1918","Austromenidia","0","GENUS","Animalia","Chordata","Atheriniformes","Atherinopsidae","Odontesthes",NA,"2412268"
"Austromenidia Hubbs, 1918","Austromenidia nigricans","Austromenidia","0","GENUS","Animalia","Chordata","Atheriniformes","Atherinopsidae","Odontesthes",NA,"2412268"
"Austromenidia Hubbs, 1918","Austromenidia smitti","Austromenidia","0","GENUS","Animalia","Chordata","Atheriniformes","Atherinopsidae","Odontesthes",NA,"2412268"
"Odontesthes Evermann & Kendall, 1906","BOLD:AAB5756","Odontesthes","1","GENUS","Animalia","Chordata","Atheriniformes","Atherinopsidae","Odontesthes",NA,"2412318"
"Odontesthes Evermann & Kendall, 1906","Odontesthes","Odontesthes","1","GENUS","Animalia","Chordata","Atheriniformes","Atherinopsidae","Odontesthes",NA,"2412318"
"Odontesthes Evermann & Kendall, 1906","Odontesthes Evermann & Kendall, 1906","Odontesthes","1","GENUS","Animalia","Chordata","Atheriniformes","Atherinopsidae","Odontesthes",NA,"2412318"
"Atherinopsidae","Atherinopsidae","Atherinopsidae","1","FAMILY","Animalia","Chordata","Atheriniformes","Atherinopsidae",NA,NA,"2957"
"Atheriniformes","Atheriniformes","Atheriniformes","1","ORDER","Animalia","Chordata","Atheriniformes",NA,NA,NA,"496"
"Aphos porosus (Valenciennes, 1837)","Aphos porosus","Aphos porosus","0","SPECIES","Animalia","Chordata","Batrachoidiformes","Batrachoididae","Aphos","Aphos porosus","2350916"
"Aphos porosus (Valenciennes, 1837)","Aphos porosus (Valenciennes, 1837)","Aphos porosus","0","SPECIES","Animalia","Chordata","Batrachoidiformes","Batrachoididae","Aphos","Aphos porosus","2350916"
"Batrachoides Lacepède, 1800","Batrachoides Lacepède, 1800","Batrachoides","0","GENUS","Animalia","Chordata","Batrachoidiformes","Batrachoididae","Batrachoides",NA,"2350739"
"Porichthys margaritatus (Richardson, 1844)","Porichthys margaritatus","Porichthys margaritatus","0","SPECIES","Animalia","Chordata","Batrachoidiformes","Batrachoididae","Porichthys","Porichthys margaritatus","2350825"
"Porichthys margaritatus (Richardson, 1844)","Porichthys margaritatus (Richardson, 1844)","Porichthys margaritatus","0","SPECIES","Animalia","Chordata","Batrachoidiformes","Batrachoididae","Porichthys","Porichthys margaritatus","2350825"
"Beryx splendens Lowe, 1834","Beryx splendens Lowe, 1834","Beryx splendens","0","SPECIES","Animalia","Chordata","Beryciformes","Berycidae","Beryx","Beryx splendens","2356612"
"Diretmichthys parini (Post & Quéro, 1981)","Diretmichthys parini (Post & Quéro, 1981)","Diretmichthys parini","0","SPECIES","Animalia","Chordata","Beryciformes","Diretmidae","Diretmichthys","Diretmichthys parini","2356683"
"Cheirodon australe Eigenmann, 1928","Cheirodon australe","Cheirodon australe","1","SPECIES","Animalia","Chordata","Characiformes","Characidae","Cheirodon","Cheirodon australe","2353791"
"Cheirodon australe Eigenmann, 1928","Cheirodon australe Eigenmann, 1928","Cheirodon australe","1","SPECIES","Animalia","Chordata","Characiformes","Characidae","Cheirodon","Cheirodon australe","2353791"
"Cheirodon australe Eigenmann, 1928","Cheirodon australis","Cheirodon australe","1","SPECIES","Animalia","Chordata","Characiformes","Characidae","Cheirodon","Cheirodon australe","2353791"
"Cheirodon interruptus (Jenyns, 1842)","Cheirodon interruptus","Cheirodon interruptus","1","SPECIES","Animalia","Chordata","Characiformes","Characidae","Cheirodon","Cheirodon interruptus","2353776"
"Cheirodon interruptus (Jenyns, 1842)","Cheirodon interruptus (Jenyns, 1842)","Cheirodon interruptus","1","SPECIES","Animalia","Chordata","Characiformes","Characidae","Cheirodon","Cheirodon interruptus","2353776"
"Cheirodon Girard, 1855","Cheirodon","Cheirodon","1","GENUS","Animalia","Chordata","Characiformes","Characidae","Cheirodon",NA,"2353769"
"Cheirodon Girard, 1855","Cheirodon Girard, 1855","Cheirodon","1","GENUS","Animalia","Chordata","Characiformes","Characidae","Cheirodon",NA,"2353769"
"Myloplus Gill, 1896","Myloplus","Myloplus","1","GENUS","Animalia","Chordata","Characiformes","Serrasalmidae","Myloplus",NA,"2353403"
"Alosidae","Alosidae","Alosidae","0","FAMILY","Animalia","Chordata","Clupeiformes","Alosidae",NA,NA,"12265246"
"Clupea Linnaeus, 1758","Clupea","Clupea","0","GENUS","Animalia","Chordata","Clupeiformes","Clupeidae","Clupea",NA,"2346676"
"Clupea Linnaeus, 1758","Clupea Linnaeus, 1758","Clupea","0","GENUS","Animalia","Chordata","Clupeiformes","Clupeidae","Clupea",NA,"2346676"
"Ramnogaster arcuata (Jenyns, 1842)","Ramnogaster arcuata (Jenyns, 1842)","Ramnogaster arcuata","0","SPECIES","Animalia","Chordata","Clupeiformes","Clupeidae","Ramnogaster","Ramnogaster arcuata","2412781"
"Sardina Antipa, 1904","Sardina","Sardina","0","GENUS","Animalia","Chordata","Clupeiformes","Clupeidae","Sardina",NA,"2413223"
"Sardinops sagax (Jenyns, 1842)","Sardinops sagax","Sardinops sagax","0","SPECIES","Animalia","Chordata","Clupeiformes","Clupeidae","Sardinops","Sardinops sagax","2412583"
"Sardinops sagax (Jenyns, 1842)","Sardinops sagax (Jenyns, 1842)","Sardinops sagax","0","SPECIES","Animalia","Chordata","Clupeiformes","Clupeidae","Sardinops","Sardinops sagax","2412583"
"BOLD:ABA0605","BOLD:ABA0605","BOLD:ABA0605","0","UNRANKED","Animalia","Chordata","Clupeiformes","Clupeidae","Sprattus","Sprattus fuegensis","10189668"
