"order","family","genus","scientificName","canonicalName"
"Atheriniformes","Atherinidae",NA,"Atherinidae","Atherinidae"
"Atheriniformes","Atherinopsidae","Basilichthys","Basilichthys australis Eigenmann, 1928","Basilichthys australis"
"Atheriniformes","Atherinopsidae","Basilichthys","Basilichthys microlepidotus (Jenyns, 1841)","Basilichthys microlepidotus"
"Atheriniformes","Atherinopsidae","Menidia","Menidia Bonaparte, 1836","Menidia"
"Atheriniformes","Atherinopsidae","Odontesthes","Odontesthes Evermann & Kendall, 1906","Odontesthes"
"Atheriniformes","Atherinopsidae","Odontesthes","Odontesthes bonariensis (Valenciennes, 1835)","Odontesthes bonariensis"
"Atheriniformes","Atherinopsidae","Odontesthes","Odontesthes brevianalis (Günther, 1880)","Odontesthes brevianalis"
"Atheriniformes","Atherinopsidae","Odontesthes","Odontesthes hatcheri (Eigenmann, 1909)","Odontesthes hatcheri"
"Atheriniformes","Atherinopsidae","Odontesthes","Odontesthes humensis de Buen, 1953","Odontesthes humensis"
"Atheriniformes","Atherinopsidae","Odontesthes","Odontesthes mauleanum (Steindachner, 1896)","Odontesthes mauleanum"
"Atheriniformes",NA,NA,"Atheriniformes","Atheriniformes"
"Characiformes","Characidae","Cheirodon","Cheirodon Girard, 1855","Cheirodon"
"Characiformes","Characidae","Cheirodon","Cheirodon australe Eigenmann, 1928","Cheirodon australe"
"Characiformes","Characidae","Cheirodon","Cheirodon interruptus (Jenyns, 1842)","Cheirodon interruptus"
"Cypriniformes","Cyprinidae","Parachela","Parachela Steindachner, 1881","Parachela"
"Cyprinodontiformes","Poeciliidae","Gambusia","Gambusia affinis (Baird & Girard, 1853)","Gambusia affinis"
"Mugiliformes","Mugilidae","Mugil","Mugil cephalus Linnaeus, 1758","Mugil cephalus"
"Osmeriformes","Galaxiidae","Aplochiton","Aplochiton Jenyns, 1842","Aplochiton"
"Osmeriformes","Galaxiidae","Aplochiton","Aplochiton marinus Eigenmann, 1928","Aplochiton marinus"
"Osmeriformes","Galaxiidae","Aplochiton","Aplochiton taeniatus Jenyns, 1842","Aplochiton taeniatus"
"Osmeriformes","Galaxiidae","Aplochiton","Aplochiton zebra Jenyns, 1842","Aplochiton zebra"
"Osmeriformes","Galaxiidae","Brachygalaxias","Brachygalaxias bullocki (Regan, 1908)","Brachygalaxias bullocki"
"Osmeriformes","Galaxiidae","Galaxias","Galaxias Cuvier, 1816","Galaxias"
"Osmeriformes","Galaxiidae","Galaxias","Galaxias globiceps Eigenmann, 1928","Galaxias globiceps"
