"id_CC_original","match_id","correcting_match","match_status","match_quality","n_keys_used","n_core_keys_used","n_candidates_final","match_keys_used","datasetName","canonicalName","year","eventDate","locality","decimalLatitude","decimalLongitude","bibliographicCitation","catalogNumber","occurrenceID","institutionCode","Duplicate","Comment",".references",".associatedReferences",".decimalLat",".decimalLon",".locality",".year",".eventDate",".bibliographicCitation",".canonicalName",".scientificName",".catalogNumber",".recordedBy",".occurrenceID","row_status","key_found_in_old","id_in_old","old_composite_key_if_exists","matched_annotation_imported"
"14",NA,"unlink, record via iDigBio","no_match","no_match",NA,NA,"0",NA,"gbif","eleginops maclovinus","1888","1888-02","port otway","-46.83","-75.3",NA,"usnm 77318","http://n2t.net/ark:/65665/3cbe480df-3e43-44a5-a66f-d3c414b43b8d","usnm","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"existing_in_old",TRUE,TRUE,"14___NA",TRUE
"16","9",NA,"matched","3_core","3","3","1","datasetName;canonicalName;decimalLatitude","vert","eleginops maclovinus","1888",NA,"port otway","-46.83","-75.3","National Museum of N","77318","http://n2t.net/ark:/65665/3cbe480df-3e43-44a5-a66f-d3c414b43b8d","usnm","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"existing_in_old",TRUE,TRUE,"16___9",FALSE
"18","13",NA,"matched","3_core","3","3","1","datasetName;canonicalName;decimalLatitude","agui","galaxias maculatus",NA,NA,"port otway","-46.8333333329","-75.2999999996","Rademacher K. 2007. ","1082",NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"existing_in_old",TRUE,TRUE,"18___13",FALSE
"26","18","good","matched","4plus_core","4","4","1","datasetName;canonicalName;decimalLatitude;decimalLongitude","mma2","galaxias maculatus","2014","2014-04-24","rio tote. isla madre de dios","-50.386","-75.251","OrigenReg: Base Dato",NA,NA,NA,"1","associatedReferences: (Górski et al., 2017)",NA,"Górski et al., 2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"existing_in_old",TRUE,TRUE,"26___18",TRUE
"39","25",NA,"matched","3_core","3","3","1","datasetName;canonicalName;decimalLatitude","gbif","atheriniformes","1995","1995-11-02",NA,"-45.8317","-74.8933",NA,NA,"cimar1_67_sp16","shoa",NA,"Remove. Added to GBIF in June 1995. Could be removed because they are oceanographic stations.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"new_in_new",FALSE,FALSE,NA,FALSE
"40","26",NA,"matched","3_core","3","3","1","datasetName;canonicalName;decimalLatitude","gbif","atheriniformes","1995","1995-10-25",NA,"-44.2133","-74.88",NA,NA,"cimar1_100_sp16","shoa",NA,"Remove. Added to GBIF in June 1995. Could be removed because they are oceanographic stations.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"new_in_new",FALSE,FALSE,NA,FALSE
"44","28",NA,"matched","3_core","3","3","1","datasetName;canonicalName;decimalLatitude","mma2","aplochiton zebra",NA,NA,"canal messier. isla juan stuven","-47.81","-74.764","FuenteReg: Gunther 1",NA,NA,NA,NA,"Change bibliographicReference to: FuenteReg: Gunther 1880 Estudio: Campos et al. 1993b",NA,NA,NA,NA,NA,NA,NA,"FuenteReg: Gunther 1880 Estudio: Campos et al. 1993b",NA,NA,NA,NA,NA,"existing_in_old",TRUE,TRUE,"44___28",FALSE
"45","29",NA,"matched","3_core","3","3","1","datasetName;canonicalName;decimalLatitude","agui","aplochiton taeniatus",NA,NA,"isla harbor","-47.7499999998","-74.7499999998","Zama A. y Cárdenas E","1352",NA,NA,NA,"change locality to Puerto Island (english name is Island Harbor, which is translated to Puerto Island. Coordinate is -48.050901, -74.588702",NA,NA,"-48.050901","-74.588702","Puerto Island",NA,NA,NA,NA,NA,NA,NA,NA,"existing_in_old",TRUE,TRUE,"45___29",FALSE
"48","32",NA,"matched","3_core","3","3","1","datasetName;canonicalName;decimalLatitude","gbif","atheriniformes","1995","1995-10-25",NA,"-43.7733","-74.6183",NA,NA,"cimar1_102_sp16","shoa",NA,"Remove. Added to GBIF in June 1995. Could be removed because they are oceanographic stations.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"new_in_new",FALSE,FALSE,NA,FALSE
"49","33",NA,"matched","3_core","3","3","1","datasetName;canonicalName;decimalLatitude","gbif","atheriniformes","1995","1995-11-03",NA,"-45.395","-74.61",NA,NA,"cimar1_70_sp16","shoa",NA,"Remove. Added to GBIF in June 1995. Could be removed because they are oceanographic stations.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"new_in_new",FALSE,FALSE,NA,FALSE
"52","35",NA,"matched","3_core","3","3","1","datasetName;canonicalName;decimalLatitude","inat","salmo trutta","2010","2010-01-14","argentina","-50.736455137","-74.531254",NA,"173459","http://www.inaturalist.org/observations/173459",NA,NA,"Remove: According to iNaturalist ""Unsure of specific location and date"". It is very unlikely that the coordinates correspond to actual locality.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"new_in_new",FALSE,FALSE,NA,FALSE
"54","36",NA,"matched","3_core","3","3","1","datasetName;canonicalName;decimalLatitude","gbif","atheriniformes","1995","1995-11-02",NA,"-45.8283","-74.5217",NA,NA,"cimar1_66_sp16","shoa",NA,"Remove. Added to GBIF in June 1995. Could be removed because they are oceanographic stations.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"new_in_new",FALSE,FALSE,NA,FALSE
"55","37",NA,"matched","3_core","3","3","1","datasetName;canonicalName;decimalLatitude","gbif","atheriniformes","1995","1995-10-25",NA,"-44.5617","-74.5217",NA,NA,"cimar1_98_sp16","shoa",NA,"Remove. Added to GBIF in June 1995. Could be removed because they are oceanographic stations.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"new_in_new",FALSE,FALSE,NA,FALSE
"56","38",NA,"matched","3_core","3","3","1","datasetName;canonicalName;decimalLatitude","agui","aplochiton marinus",NA,NA,"isla wellington","-49.5333333329","-74.5000000003","Zama A. y Cárdenas E","1349",NA,NA,"1","eventDate= 1977-09-21; year=1977; Locality= Isla Wellington, Estero Veto",NA,NA,NA,NA,"Isla Wellington, Estero Veto","1977","1977-09-21",NA,NA,NA,NA,NA,NA,"existing_in_old",TRUE,TRUE,"56___38",FALSE
"57","39",NA,"matched","3_core","3","3","1","datasetName;canonicalName;decimalLatitude","agui","aplochiton taeniatus","1977",NA,"estero veto","-49.5333333329","-74.5000000003","McDowall, R., & Naka","906",NA,NA,NA,"change coordinate to -49.511663, -74.499677",NA,NA,"-49.511663","-74.499677",NA,NA,NA,NA,NA,NA,NA,NA,NA,"existing_in_old",TRUE,TRUE,"57___39",FALSE
"58","40",NA,"matched","3_core","3","3","1","datasetName;canonicalName;decimalLatitude","mma2","aplochiton marinus","1977","1977-09-21","estero veto. costeras  orientales  entre  fiordo veto y fiordo antrim","-49.533","-74.5","OrigenReg: Zama, A.,",NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"existing_in_old",TRUE,TRUE,"58___40",FALSE
"60","41",NA,"matched","3_core","3","3","1","datasetName;canonicalName;decimalLatitude","subpesca-1","oncorhynchus mykiss","2005",NA,NA,"-46.5","-74.5","PENALUNA BE, ARISMEN","23482",NA,NA,NA,"Remove. Actual location is in rio Bueno, out of range.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"new_in_new",FALSE,FALSE,NA,FALSE
"61","42",NA,"matched","all_core_firlds","5","5","1","datasetName;canonicalName;decimalLatitude;decimalLongitude;bibliographicCitation","agui","galaxias maculatus","2013",NA,"lago konrad po","-51.1777777784","-74.4383333329","Górski, K., González","726",NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"existing_in_old",TRUE,TRUE,"61___42",FALSE
"62","43",NA,"matched","all_core_firlds","5","5","1","datasetName;canonicalName;decimalLatitude;decimalLongitude;bibliographicCitation","agui","galaxias maculatus","2014",NA,"lago konrad po","-51.1777777784","-74.4383333329","Pérez, S., Manosalva","1050",NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"existing_in_old",TRUE,TRUE,"62___43",FALSE
"65","45","good","matched","3_core","3","3","1","datasetName;canonicalName;decimalLatitude","mma2","galaxias maculatus","2014","2014-03-27","lago konrad. bahia donaldson. islas presidente gabriel gonzalez videla","-51.178","-74.438","OrigenReg: Base Dato",NA,NA,NA,"1","associatedReferences (Górski et al. 2017 | Pérez et al. 2022)",NA,"Górski et al. 2017 | Pérez et al. 2022",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"existing_in_old",TRUE,TRUE,"65___45",TRUE
