id_CC,duplicated_CC,spatialClust_CC,canonicalName,eventDate,year,locality,bibliographicCitation,datasetName,recordedBy,identifiedBy,catalogNumber,institutionCode,institutionID,occurrenceID,occurrenceStatus,collectionCode,collectionID,rObjectRank_CC,decimalLatitude,decimalLongitude,scientificName,individualCount,samplingProtocol,locationRemarks,license,rightsHolder,accessRights,basisOfRecord,eventRemarks,references,sex,lifeStage,establishmentMeans,disposition,occurrenceRemarks,verbatimEventDate,eventTime,month,day,habitat,samplingEffort,continent,country,countryCode,stateProvince,county,municipality,verbatimElevation,verbatimLatitude,verbatimLongitude,kingdom,phylum,class,order,family,genus,specificEpithet,vernacularName,coordinateUncertaintyInMeters,waterBody,typeStatus,organismQuantityType,recordNumber,organismQuantity,uuid,Identification,gbifID,datasetKey,species,infraspecificEpithet,taxonRank,verbatimScientificName,verbatimScientificNameAuthorship,publishingOrgKey,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,taxonKey,speciesKey,dateIdentified,lastInterpreted,mediaType,issue,recordedByID,modified,taxonID,verbatimCoordinateSystem,verbatimSRS,bibiographicCitation,sampleSizeValue,sampleSizeUnit,higherClassification,startDayOfYear,geodeticDatum,higherGeography,verbatimLocality,eventID,language,georeferenceVerificationStatus,nomenclaturalCode,endDayOfYear,georeferencedDate,georeferenceProtocol,georeferencedBy,preparations,fieldNumber,georeferenceSources,scientificNameAuthorship,georeferenceRemarks,associatedReferences,otherCatalogNumbers,dynamicProperties,island,verbatimDepth,maximumDepthInMeters,minimumDepthInMeters,footprintWKT,identificationVerificationStatus,ownerInstitutionCode,islandGroup,identificationRemarks,previousIdentifications,locationAccordingTo,locationID,organismID,datasetID,associatedMedia,materialSampleID,subgenus,minimumElevationInMeters,maximumElevationInMeters,namePublishedInID,scientificNameID,namePublishedInYear,namePublishedIn,verbatimCoordinates,originalNameUsage,associatedSequences,identificationQualifier,earliestAgeOrLowestStage,verbatimTaxonRank,formation,lithostratigraphicTerms,latestAgeOrHighestStage,group,member,lowestBiostratigraphicZone,highestBiostratigraphicZone,bed,earliestPeriodOrLowestSystem,earliestEpochOrLowestSeries,latestEonOrHighestEonothem,earliestEraOrLowestErathem,earliestEonOrLowestEonothem,latestEraOrHighestErathem,geologicalContextID,latestPeriodOrHighestSystem,latestEpochOrHighestSeries,scientificName_Old,IncludePewProAP,chequeado,correccion,RemoveFromMaster,.locality,.decimalLatitude,.decimalLongitude,.year,.eventDate,.recordedBy,.individualCount,.bibliographicCitation,.canonicalName,.scientificName
1539,FALSE,159,Aplochiton,2014-04-12,2014,RÃ­o Baker,"Correa, CristiÃ¡n, Maryse Boisjoly (2023) Base de datos empÃ­rica de peces de Chile. Valdivia, Chile.",Fish Database Correa-Boisjoly,"Cristian Correa, Maryse Boisjoly",NA,NA,NA,NA,NA,NA,NA,NA,1,-47.789964,-73.517026,"Aplochiton Jenyns, 1842",1,Seine net,Baker,CC BY-NC 4.0,"CristiÃ¡n Correa, orcid.org/0000-0002-8608-6858",not-for-profit use only,Ocurrence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Animalia,Chordata,NA,Osmeriformes,Galaxiidae,Aplochiton,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GENUS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Aplochiton sp.,1,,,,,,,,,,,,,
7157,TRUE,1344,Aplochiton,1968-02-10,1968,Patagonian Chile,NA,iDigBio; Originaly provided by: CAS,"McDowall, R. M.",NA,55141,CAS,http://grscicoll.org/institution/california-academy-sciences,urn:catalog:CAS:ICH:55141,NA,ICH,http://grscicoll.org/institutional-collection/cas-ichthyology,5,-51.527707,-72.646889,"Aplochiton Jenyns, 1842",1,NA,NA,NA,NA,NA,PreservedSpecimen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Animalia,Chordata,NA,Osmeriformes,Galaxiidae,Aplochiton,NA,NA,3692,Laguna Sofia,NA,NA,NA,NA,0b14eea1-e912-4ae1-b0e0-14e9ec7e956e,NULL,NA,NA,NA,NA,GENUS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Aplochiton,1,,,,,,,,,,,,,
8107,FALSE,38,Aplochiton,2014-04-20,2014,Lago Caro,"Correa, CristiÃ¡n, Maryse Boisjoly (2023) Base de datos empÃ­rica de peces de Chile. Valdivia, Chile.",Fish Database Correa-Boisjoly,"Cristian Correa, Maryse Boisjoly",NA,NA,NA,NA,NA,NA,NA,NA,1,-45.80969101,-72.591674,"Aplochiton Jenyns, 1842",6,Seine net,Caro,CC BY-NC 4.0,"CristiÃ¡n Correa, orcid.org/0000-0002-8608-6858",not-for-profit use only,Ocurrence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Animalia,Chordata,NA,Osmeriformes,Galaxiidae,Aplochiton,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GENUS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Aplochiton sp.,1,,,,,,,,,,,,,
8774,FALSE,39,Aplochiton,2009-04-10,2009,Lago Caro,"Correa, CristiÃ¡n, Maryse Boisjoly (2023) Base de datos empÃ­rica de peces de Chile. Valdivia, Chile.",Fish Database Correa-Boisjoly,Cristian Correa,NA,NA,NA,NA,NA,NA,NA,NA,1,-45.804111,-72.54898,"Aplochiton Jenyns, 1842",10,Seine net,Caro,CC BY-NC 4.0,"CristiÃ¡n Correa, orcid.org/0000-0002-8608-6858",not-for-profit use only,Ocurrence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Animalia,Chordata,NA,Osmeriformes,Galaxiidae,Aplochiton,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GENUS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Aplochiton sp.,1,,,,,,,,,,,,,
9383,FALSE,45,Aplochiton,2014-04-20,2014,Lago Caro,"Correa, CristiÃ¡n, Maryse Boisjoly (2023) Base de datos empÃ­rica de peces de Chile. Valdivia, Chile.",Fish Database Correa-Boisjoly,"Cristian Correa, Maryse Boisjoly",NA,NA,NA,NA,NA,NA,NA,NA,1,-45.79865003,-72.50746798,"Aplochiton Jenyns, 1842",556,Seine net,Caro,CC BY-NC 4.0,"CristiÃ¡n Correa, orcid.org/0000-0002-8608-6858",not-for-profit use only,Ocurrence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Animalia,Chordata,NA,Osmeriformes,Galaxiidae,Aplochiton,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GENUS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Aplochiton sp.,1,,,,,,,,,,,,,
11581,TRUE,1317,Aplochiton,1919-02-27,1919,Peulla; 190 m elev.,NA,iDigBio; Originaly provided by: CAS,"Eigenmann, Carl H.",NA,78890,CAS,http://grscicoll.org/institution/california-academy-sciences,urn:catalog:CAS:ICH:78890,NA,ICH,http://grscicoll.org/institutional-collection/cas-ichthyology,5,-41.083333,-72.033333,"Aplochiton Jenyns, 1842",11,NA,NA,NA,NA,NA,PreservedSpecimen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Animalia,Chordata,NA,Osmeriformes,Galaxiidae,Aplochiton,NA,NA,NA,Lago Todos Santos,NA,NA,NA,NA,cc0774a7-106f-4360-81c7-b0430fd5ae94,NULL,NA,NA,NA,NA,GENUS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Aplochiton lacustris,1,,,,,,,,,,,,,
11652,TRUE,1297,Aplochiton,NA,1919,Peulla,NA,iDigBio; Originaly provided by: CAS,"Eigenmann, Carl H.",NA,13511,CAS,http://grscicoll.org/institution/california-academy-sciences,urn:catalog:CAS:ICH:13511,NA,ICH,http://grscicoll.org/institutional-collection/cas-ichthyology,5,-41.085732,-72.021984,"Aplochiton Jenyns, 1842",6,NA,NA,NA,NA,NA,PreservedSpecimen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Animalia,Chordata,NA,Osmeriformes,Galaxiidae,Aplochiton,NA,NA,946,NA,NA,NA,NA,NA,f10674c1-dc85-4df2-ba0b-52c01acc3098,NULL,NA,NA,NA,NA,GENUS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Aplochiton,1,,,,,,,,,,,,,
12953,FALSE,1951,Aplochiton,NA,NA,"Puerto Patriada, Lago Epuyen Chubut",NA,GBIF,,,CNPICT1983/105,CENPAT-CONICET,NA,CENPAT-CONICET-CNPICT-CNPICT1983/105,PRESENT,CNPICT,NA,6,-42.150825,-71.539078,"Aplochiton Jenyns, 1842",2,NA,NA,CC_BY_4_0,,NA,PRESERVED_SPECIMEN,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AR,Chubut,NA,NA,NA,NA,NA,Animalia,Chordata,NA,Osmeriformes,Galaxiidae,Aplochiton,NA,NA,NA,NA,,NA,,NA,NA,NA,779841514,6a1d69f5-961b-4825-8efc-858f80ba3cb1,,,GENUS,Aplochiton sp.,"Jenyns, 1842",b62390e0-0e35-11d9-8431-b8a03c50a862,NA,NA,NA,NA,NA,2410617,NA,NA,40:39.20,,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;RECORDED_DATE_INVALID;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_HIGHERRANK;INSTITUTION_MATCH_NONE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Aplochiton Jenyns, 1842",1,ok,no sabemos que Aplochiton es¡¡¡¡,,,,,,,,,,,
39,FALSE,1109,Aplochiton marinus,NA,NA,Isla Wellington,"Zama A. y CÃ¡rdenas E. 1984. Introduction into Aysen Chile of Pacific Salmon NÂ°9: Descriptive Catalogue of Marine and Freshwater Fishes from the AysÃ©n Region, Southern Chile, with Zoogeographical Notes on the Fish Fauna. Japan International Cooperation Agency. 94 p.","Aguilar-GonzÃ¡lez, Marilyn (2023) RecopilaciÃ³n bibliogrÃ¡fica de ocurrencia peces en la Patagonia. Proyecto PriorizaciÃ³n de Cuencas para la ConservaciÃ³n en Patagonia. Programa Austral Patagonia (ProAP) de The Pew Charitable Trusts. Coyhaique.",NA,NA,1349,NA,NA,NA,NA,NA,NA,4,-49.53333333,-74.5,"Aplochiton marinus Eigenmann, 1928",NA,"Surface gill net, bottom gill net, hook and line, dip net, bottom trawl, larva net, suface long line, bottom long line, cast net and Surber net.",NA,CC BY-NC 4.0,NA,NA,HumanObservation,NA,-,NA,NA,native,NA,NA,NA,NA,NA,NA,NA,NA,SudamÃ©rica,Chile,CL,RegiÃ³n de Magallanes,Provincia Ãšltima Esperanza,Comuna de Natales,NA,49Â°32'S,74Â°30'O,Animalia,Chordata,Actinopterygii,Osmeriformes,Galaxiidae,Aplochiton,marinus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SPECIES,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Aplochiton marinus,1,,,,,,,,,,,,,
41,FALSE,1664,Aplochiton marinus,1977-09-21,1977,,NA,GBIF,,,,UACH,NA,MMA:ICT:0000003,PRESENT,,NA,6,-49.533,-74.5,"Aplochiton marinus Eigenmann, 1928",1,NA,NA,CC_BY_NC_4_0,CristiÃ¡n Correa,NA,OCCURRENCE,NA,NA,NA,NA,native,NA,NA,NA,NA,9,21,NA,NA,NA,NA,CL,RegiÃ³n de Magallanes y AntÃ¡rtica Chilena,NA,NA,NA,NA,NA,Animalia,Chordata,NA,Osmeriformes,Galaxiidae,Aplochiton,NA,NA,NA,NA,,NA,,NA,NA,NA,4463086348,45c3d8d2-7352-4dd1-aefd-c21e0b6b004e,Aplochiton marinus,,SPECIES,Aplochiton marinus,"Eigenmann, 1928",bf0d80b3-46da-4e60-b1cf-39f2320acb43,NA,NA,NA,NA,NA,2410622,2410622,NA,07:53.50,,CONTINENT_DERIVED_FROM_COORDINATES,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Aplochiton marinus Eigenmann, 1928",1,,,,,,,,,,,,,
