id_CC,Comment,duplicated,spatialClu,canonicalN,eventDate,year,locality,bibliograp,datasetNam,recordedBy,identified,catalogNum,institutio,institut_1,occurrence,occurren_1,collection,collecti_1,rObjectRan,decimalLat,decimalLon,scientific,individual,samplingPr,locationRe,license,rightsHold,accessRigh,basisOfRec,eventRemar,references,sex,lifeStage,establishm,dispositio,occurren_2,verbatimEv,eventTime,month,day,habitat,samplingEf,continent,country,countryCod,stateProvi,county,municipali,verbatimEl,verbatimLa,verbatimLo,kingdom,phylum,class,order,family,genus,specificEp,vernacular,coordinate,waterBody,typeStatus,organismQu,recordNumb,organism_1,uuid,Identifica,gbifID,datasetKey,species,infraspeci,taxonRank,verbatimSc,verbatim_1,publishing,coordina_1,elevation,elevationA,depth,depthAccur,taxonKey,speciesKey,dateIdenti,lastInterp,mediaType,issue,recorded_1,modified,taxonID,verbatimCo,verbatimSR,bibiograph,sampleSize,sampleSi_1,higherClas,startDayOf,geodeticDa,higherGeog,verbatim_2,eventID,language,georeferen,nomenclatu,endDayOfYe,georefer_1,georefer_2,georefer_3,preparatio,fieldNumbe,georefer_4,scientif_1,georefer_5,associated,otherCatal,dynamicPro,island,verbatimDe,maximumDep,minimumDep,footprintW,identifi_1,ownerInsti,islandGrou,identifi_2,previousId,locationAc,locationID,organismID,datasetID,associat_1,materialSa,subgenus,minimumEle,maximumEle,namePublis,scientif_2,namePubl_1,namePubl_2,verbatim_3,originalNa,associat_2,identifi_3,earliestAg,verbatimTa,formation,lithostrat,latestAgeO,group,member,lowestBios,highestBio,bed,earliestPe,earliestEp,latestEonO,earliestEr,earliestEo,latestEraO,geological,latestPeri,latestEpoc,scientif_3,IncludePew,Duplicate,Comment,.references,.associatedReferences,.decimalLat,.decimalLon,.locality,.year,.eventDate,.bibliographicCitation,.canonicalName,.scientificName,.catalogNumber,.recordedBy,.occurrenceID
1,,false,1371,Aplochiton taeniatus,,NA,"SAN ANDREAS BAY, CHRISTMAS COVE",NA,GBIF,J. BIRD,J.T. NICHOLS,AMNH 13714,FishBase,NA,FishBase:Occurrence:AMNH 13714,PRESENT,Occurrence,NA,6,-46.6,-75.533333,"Aplochiton taeniatus Jenyns, 1842",1,NA,NA,CC_BY_NC_4_0,,NA,PRESERVED_SPECIMEN,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CL,,NA,NA,NA,NA,NA,Animalia,Chordata,NA,Osmeriformes,Galaxiidae,Aplochiton,NA,NA,NA,NA,,NA,,NA,NA,NA,188618535,197908d0-5565-11d8-b290-b8a03c50a862,Aplochiton taeniatus,,SPECIES,Aplochiton taeniatus,"Jenyns, 1842",192a9ab0-5565-11d8-b290-b8a03c50a862,NA,NA,NA,NA,NA,2410621,2410621,NA,2025-07-04 20:55:47.019,,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;MODIFIED_DATE_INVALID;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Aplochiton taeniatus Jenyns, 1842",true,,,,,,,,,,,,,,,
1,,false,1468,Brachygalaxias bullocki,NA,NA,Lago Tarahuin. Costera Vertiente Oeste Entre Rio Cucao (Incluido) y Rio Medina (Incluido),,MMA2017,NA,NA,NA,NA,Centro EULA UDEC Evelyn Habit,NA,NA,NA,NA,11,-42.709,-73.725,"Brachygalaxias bullocki (Regan, 1908)",NA,NA,NA,revisar,NA,consultar con institución/autor,Colecta,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Animalia,Chordata,NA,Osmeriformes,Galaxiidae,Brachygalaxias,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SPECIES,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Brachygalaxias bullocki,true,,,,,,,,,,,,,,,
2,,false,1079,Eleginops maclovinus,NA,2010,Canal Ladrillero,"Hüne, Mathias, & Ojeda, Jaime. (2012). Estructura del ensamble de peces costeros de los canales y fiordos de la zona central de la Patagonia chilena (48º-52ºS). Revista de biología marina y oceanografía, 47(3), 451-460. https://dx.doi.org/10.4067","Aguilar-González, Marilyn (2023) Recopilación bibliográfica de ocurrencia peces en la Patagonia. Proyecto Priorización de Cuencas para la Conservación en Patagonia. Programa Austral Patagonia (ProAP) de The Pew Charitable Trusts. Coyhaique.",NA,NA,849,NA,NA,NA,NA,NA,NA,4,-49.1833333327,-75.4000000003,"Eleginops maclovinus (Cuvier, 1830)",12,"red de trasmallo de 60 m largo, 3 m alto, 2.5 cm de tamaño de malla interna y 12 cm de malla externa, con períodos de reposo de 12 h",NA,CC BY-NC 4.0,NA,NA,HumanObservation,NA,-,NA,NA,native,NA,NA,40257,NA,3,20,NA,NA,Sudamérica,Chile,CL,Región de Magallanes,Provincia Última Esperanza,Comuna de Natales,NA,49°10.7'S,75°23.8'O,Animalia,Chordata,Actinopterygii,Perciformes,Eleginopsidae,Eleginops,maclovinus,Róbalo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SPECIES,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eleginops maclovinus,true,,,,,,,,,,,,,,,
3,,false,1081,Eleginops maclovinus,NA,2010,Seno Contreras,"Hüne, Mathias, & Ojeda, Jaime. (2012). Estructura del ensamble de peces costeros de los canales y fiordos de la zona central de la Patagonia chilena (48º-52ºS). Revista de biología marina y oceanografía, 47(3), 451-460. https://dx.doi.org/10.4067","Aguilar-González, Marilyn (2023) Recopilación bibliográfica de ocurrencia peces en la Patagonia. Proyecto Priorización de Cuencas para la Conservación en Patagonia. Programa Austral Patagonia (ProAP) de The Pew Charitable Trusts. Coyhaique.",NA,NA,851,NA,NA,NA,NA,NA,NA,4,-50.4166666668,-75.3333333326,"Eleginops maclovinus (Cuvier, 1830)",5,"red de trasmallo de 60 m largo, 3 m alto, 2.5 cm de tamaño de malla interna y 12 cm de malla externa, con períodos de reposo de 12 h",NA,CC BY-NC 4.0,NA,NA,HumanObservation,NA,-,NA,NA,native,NA,NA,40235,NA,2,26,NA,NA,Sudamérica,Chile,CL,Región de Magallanes,Provincia Última Esperanza,Comuna de Natales,NA,50°25.2'S,75°19.8'O,Animalia,Chordata,Actinopterygii,Perciformes,Eleginopsidae,Eleginops,maclovinus,Róbalo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SPECIES,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eleginops maclovinus,true,,,,,,,,,,,,,,,
4,,true,1481,Aplochiton taeniatus,2009-03-01,2009,"Rio 1, Bahia Francisco. Isla Duque de York","OrigenReg: Base Datos EULA UdeC, FuenteReg: Base Datos 2009",MMA2017,Jorge Gonzalez,NA,NA,NA,Centro EULA UDEC Evelyn Habit,NA,NA,NA,NA,11,-50.559,-75.322,"Aplochiton taeniatus Jenyns, 1842",1,Pesca Electrica,NA,revisar,NA,consultar con institución/autor,Colecta,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Animalia,Chordata,NA,Osmeriformes,Galaxiidae,Aplochiton,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SPECIES,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Aplochiton taeniatus,true,,,,,,,,,,,,,,,
6,,true,1481,Aplochiton zebra,2009-03-01,2009,"Rio 1, Bahia Francisco. Isla Duque de York","OrigenReg: Base Datos EULA UdeC, FuenteReg: Base Datos 2009",MMA2017,Jorge Gonzalez,NA,NA,NA,Centro EULA UDEC Evelyn Habit,NA,NA,NA,NA,11,-50.559,-75.322,"Aplochiton zebra Jenyns, 1842",12,Pesca Electrica,NA,revisar,NA,consultar con institución/autor,3,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Animalia,Chordata,NA,Osmeriformes,Galaxiidae,Aplochiton,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SPECIES,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Aplochiton zebra,true,,,,,,,,,,,,,,,
10,,true,1587,Galaxias maculatus,2009-02-24,2009,"Rio 1, Bahia Francisco. Isla Duque de York","OrigenReg: Base Datos EULA UdeC, FuenteReg: Base Datos 2009",MMA2017,Jorge Gonzalez,NA,NA,NA,Centro EULA UDEC Evelyn Habit,NA,NA,NA,NA,11,-50.558,-75.321,"Galaxias maculatus (Jenyns, 1842)",35,Pesca Electrica,NA,revisar,NA,consultar con institución/autor,3,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Animalia,Chordata,NA,Osmeriformes,Galaxiidae,Galaxias,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SPECIES,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Galaxias maculatus,true,,,,,,,,,,,,,,,
14,,false,1314,Eleginops maclovinus,1888-02,1888,Port Otway,NA,GBIF,,,USNM 77318,USNM,NA,http://n2t.net/ark:/65665/3cbe480df-3e43-44a5-a66f-d3c414b43b8d,PRESENT,FISH,NA,6,-46.83,-75.3,"Eleginops maclovinus (Cuvier, 1830)",53,NA,NA,CC0_1_0,,NA,PRESERVED_SPECIMEN,NA,NA,NA,NA,,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,CL,Magallanes and Chilean Antarctica Region,NA,NA,NA,NA,NA,Animalia,Chordata,NA,Perciformes,Eleginopsidae,Eleginops,NA,NA,NA,NA,,NA,,NA,NA,NA,1321811870,821cc27a-e3bb-4bc5-ac34-89ada245069d,Eleginops maclovinus,,SPECIES,Eleginops maclovinus,,bc092ff0-02e4-11dc-991f-b8a03c50a862,NA,NA,NA,NA,NA,2382427,2382427,NA,2025-07-13 07:20:25.132,,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;CONTINENT_INVALID,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eleginops maclovinus (Cuvier, 1830)",true,0,,,,,,,,,,,,,,
15,,false,1314,Eleginops maclovinus,1888-02-01,1888,Port Otway,NA,"iDigBio; Originaly provided by: USNM, NMNH Extant Biology",NA,NA,USNM 77318,USNM,urn:lsid:biocol.org:col:34871,http://n2t.net/ark:/65665/3cbe480df-3e43-44a5-a66f-d3c414b43b8d,NA,FISH,urn:uuid:09c9cf5f-f5d3-48cc-b5c8-cd9b9fbd631f,5,-46.83,-75.3,"Eleginops maclovinus (Cuvier, 1830)",53,NA,NA,NA,NA,NA,PreservedSpecimen,NA,NA,NA,NA,NA,NA,NA,1888 Feb 00 - 0000 00 00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Animalia,Chordata,NA,Perciformes,Eleginopsidae,Eleginops,NA,NA,NA,South Pacific Ocean,NA,NA,NA,NA,fba3cb59-565f-4da1-be26-23cce39b6643,NULL,NA,NA,NA,NA,SPECIES,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eleginops maclovinus,true,1,,,,,,,,,,,,,,
16,,false,1314,Eleginops maclovinus,NA,1888,Port Otway,"National Museum of Natural History, Smithsonian Institution. NMNH Fishes. Record ID: http://n2t.net/ark:/65665/3cbe480df-3e43-44a5-a66f-d3c414b43b8d. Source: http://collections.nmnh.si.edu/ipt/resource?r=nmnh_extant_dwc-a (source published on 2016-07-21)",VertNet; Originally provided by NA,NA,NA,77318,USNM,NA,http://n2t.net/ark:/65665/3cbe480df-3e43-44a5-a66f-d3c414b43b8d,NA,Fishes,NA,12,-46.83,-75.3,"Eleginops maclovinus (Cuvier, 1830)",53,NA,NA,CC0,NA,NA,PreservedSpecimen,NA,http://portal.vertnet.org/o/usnm/fishes?id=http-n2t-net-ark-65665-3cbe480df-3e43-44a5-a66f-d3c414b43b8d,NA,NA,NA,NA,NA,1888 Feb 00 - 0000 00 00,NA,2,NA,NA,NA,NA,Chile,NA,NA,NA,NA,NA,4650 S,07518 W,Animalia,Chordata,Actinopterygii,Perciformes,Eleginopsidae,Eleginops,maclovinus,NA,NA,Pacific,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SPECIES,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Degrees Minutes Seconds,NA,NA,NA,NA,"Animalia, Chordata, Vertebrata, Osteichthyes, Actinopterygii, Neopterygii, Acanthopterygii, Perciformes, Notothenioidei, Nototheniidae",NA,not recorded,"Pacific, Chile",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eleginops maclovinus,true,0,,,,,,,,,,,,,,
