checkbackmatch,id_CC,datasetName,decimalLatitude,decimalLongitude,canonicalName,year,eventDate,locality,catalogNumber,bibliographicCitation,institutionCode,occurrenceID,duplicated_CC,spatialClust_CC,recordedBy,identifiedBy,institutionID,occurrenceStatus,collectionCode,collectionID,rObjectRank_CC,scientificName,individualCount,samplingProtocol,locationRemarks,associatedReferences,license,rightsHolder,accessRights,basisOfRecord,coordinateUncertaintyInMeters,verbatimEventDate,waterBody,lifeStage,typeStatus,organismQuantityType,recordNumber,organismQuantity,uuid,Identification,higherClassification,stateProvince,month,references,startDayOfYear,taxonRank,specificEpithet,countryCode,geodeticDatum,higherGeography,verbatimLocality,day,eventID,class,language,country,georeferenceVerificationStatus,modified,nomenclaturalCode,continent,endDayOfYear,georeferencedDate,georeferenceProtocol,georeferencedBy,habitat,eventRemarks,preparations,fieldNumber,georeferenceSources,scientificNameAuthorship,georeferenceRemarks,county,otherCatalogNumbers,establishmentMeans,dynamicProperties,occurrenceRemarks,island,verbatimDepth,maximumDepthInMeters,minimumDepthInMeters,footprintWKT,verbatimCoordinateSystem,identificationVerificationStatus,disposition,ownerInstitutionCode,islandGroup,identificationRemarks,municipality,vernacularName,previousIdentifications,locationAccordingTo,sex,eventTime,locationID,organismID,datasetID,associatedMedia,infraspecificEpithet,verbatimLongitude,verbatimLatitude,materialSampleID,subgenus,minimumElevationInMeters,maximumElevationInMeters,namePublishedInID,scientificNameID,namePublishedInYear,namePublishedIn,verbatimCoordinates,originalNameUsage,associatedSequences,identificationQualifier,verbatimElevation,earliestAgeOrLowestStage,verbatimTaxonRank,formation,lithostratigraphicTerms,latestAgeOrHighestStage,group,member,lowestBiostratigraphicZone,highestBiostratigraphicZone,bed,earliestPeriodOrLowestSystem,earliestEpochOrLowestSeries,latestEonOrHighestEonothem,earliestEraOrLowestErathem,earliestEonOrLowestEonothem,latestEraOrHighestErathem,geologicalContextID,latestPeriodOrHighestSystem,latestEpochOrHighestSeries,samplingEffort,recordedByID,dateIdentified,taxonID,gbifID,datasetKey,verbatimScientificName,verbatimScientificNameAuthorship,publishingOrgKey,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,taxonKey,speciesKey,lastInterpreted,mediaType,issue,verbatimSRS,sampleSizeValue,sampleSizeUnit,scientificName_Old,IncludePewProAP,rank,kingdom,phylum,order,family,genus,species
,1,GBIF,-46.6,-75.533333,Aplochiton taeniatus,NA,NA,"SAN ANDREAS BAY, CHRISTMAS COVE",AMNH 13714,NA,FishBase,FishBase:Occurrence:AMNH 13714,FALSE,1500,J. BIRD,J.T. NICHOLS,NA,PRESENT,Occurrence,NA,8,"Aplochiton taeniatus Jenyns, 1842",1,NA,NA,NA,CC_BY_NC_4_0,,NA,PRESERVED_SPECIMEN,NA,NA,NA,NA,,NA,,NA,NA,NA,NA,,NA,NA,NA,SPECIES,NA,CL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,188618535,197908d0-5565-11d8-b290-b8a03c50a862,Aplochiton taeniatus,"Jenyns, 1842",192a9ab0-5565-11d8-b290-b8a03c50a862,NA,NA,NA,NA,NA,2410621,2410621,2025-11-24T13:46:41.292Z,,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;MODIFIED_DATE_INVALID;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE,NA,NA,NA,"Aplochiton taeniatus Jenyns, 1842",1,SPECIES,Animalia,Chordata,Osmeriformes,Galaxiidae,Aplochiton,Aplochiton taeniatus
,2,Aguilar-González 2023,-49.1833333327,-75.4000000003,Eleginops maclovinus,2010,2010-03-20,Canal Ladrillero,849,"Hüne, Mathias, & Ojeda, Jaime. (2012). Estructura del ensamble de peces costeros de los canales y fiordos de la zona central de la Patagonia chilena (48º-52ºS). Revista de biología marina y oceanografía, 47(3), 451-460. https://dx.doi.org/10.4067/S0718-19572012000300008",NA,NA,FALSE,1177,NA,NA,NA,NA,NA,NA,6,"Eleginops maclovinus (Cuvier, 1830)",12,"red de trasmallo de 60 m largo, 3 m alto, 2.5 cm de tamaño de malla interna y 12 cm de malla externa, con períodos de reposo de 12 h",NA,NA,CC BY-NC 4.0,NA,NA,HumanObservation,NA,40257,NA,NA,NA,NA,NA,NA,NA,NA,NA,Región de Magallanes,3,-,NA,NA,maclovinus,CL,NA,NA,NA,20,NA,Actinopterygii,NA,Chile,NA,NA,NA,Sudamérica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Provincia Última Esperanza,NA,native,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Comuna de Natales,Róbalo,NA,NA,NA,NA,NA,NA,NA,NA,NA,75°23.8'O,49°10.7'S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eleginops maclovinus,1,SPECIES,Animalia,Chordata,Perciformes,Eleginopsidae,Eleginops,Eleginops maclovinus
,3,Aguilar-González 2023,-50.4166666668,-75.3333333326,Eleginops maclovinus,2010,2010-02-26,Seno Contreras,851,"Hüne, Mathias, & Ojeda, Jaime. (2012). Estructura del ensamble de peces costeros de los canales y fiordos de la zona central de la Patagonia chilena (48º-52ºS). Revista de biología marina y oceanografía, 47(3), 451-460. https://dx.doi.org/10.4067/S0718-19572012000300008",NA,NA,FALSE,1179,NA,NA,NA,NA,NA,NA,6,"Eleginops maclovinus (Cuvier, 1830)",5,"red de trasmallo de 60 m largo, 3 m alto, 2.5 cm de tamaño de malla interna y 12 cm de malla externa, con períodos de reposo de 12 h",NA,NA,CC BY-NC 4.0,NA,NA,HumanObservation,NA,40235,NA,NA,NA,NA,NA,NA,NA,NA,NA,Región de Magallanes,2,-,NA,NA,maclovinus,CL,NA,NA,NA,26,NA,Actinopterygii,NA,Chile,NA,NA,NA,Sudamérica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Provincia Última Esperanza,NA,native,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Comuna de Natales,Róbalo,NA,NA,NA,NA,NA,NA,NA,NA,NA,75°19.8'O,50°25.2'S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eleginops maclovinus,1,SPECIES,Animalia,Chordata,Perciformes,Eleginopsidae,Eleginops,Eleginops maclovinus
,4,MMA2017,-50.559,-75.322,Aplochiton taeniatus,2009,2009-3-1,"Rio 1, Bahia Francisco. Isla Duque de York",NA,"OrigenReg: Base de Datos EULA UdeC, FuenteReg: Base Datos 2009",NA,MMA:ICT:0000014,FALSE,1710,Jorge Gonzalez,NA,Centro EULA UDEC Evelyn Habit,NA,NA,NA,9,"Aplochiton taeniatus Jenyns, 1842",1,Pesca Electrica,NA,NA,CC_BY_NC_4_0,NA,consultar con institución/autor,Colecta,GPS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4463086307,45c3d8d2-7352-4dd1-aefd-c21e0b6b004e,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Aplochiton taeniatus,1,SPECIES,Animalia,Chordata,Osmeriformes,Galaxiidae,Aplochiton,Aplochiton taeniatus
,5,MMA2017,-50.559,-75.322,Aplochiton zebra,2009,2009-3-1,"Rio 1, Bahia Francisco. Isla Duque de York",NA,"OrigenReg: Base de Datos EULA UdeC, FuenteReg: Base Datos 2009",NA,MMA:ICT:0000083,TRUE,1710,Jorge Gonzalez,NA,Centro EULA UDEC Evelyn Habit,NA,NA,NA,9,"Aplochiton zebra Jenyns, 1842",12,Pesca Electrica,NA,NA,CC_BY_NC_4_0,NA,consultar con institución/autor,3,GPS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4463086098,45c3d8d2-7352-4dd1-aefd-c21e0b6b004e,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Aplochiton zebra,1,SPECIES,Animalia,Chordata,Osmeriformes,Galaxiidae,Aplochiton,Aplochiton zebra
,7,MMA2017,-50.558,-75.321,Galaxias maculatus,2009,2009-2-24,"Rio 1, Bahia Francisco. Isla Duque de York",NA,"OrigenReg: Base de Datos EULA UdeC, FuenteReg: Base Datos 2009",NA,MMA:ICT:0001900,TRUE,1829,Jorge Gonzalez,NA,Centro EULA UDEC Evelyn Habit,NA,NA,NA,9,"Galaxias maculatus (Jenyns, 1842)",35,Pesca Electrica,NA,NA,CC_BY_NC_4_0,NA,consultar con institución/autor,3,GPS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4463088075,45c3d8d2-7352-4dd1-aefd-c21e0b6b004e,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Galaxias maculatus,1,SPECIES,Animalia,Chordata,Osmeriformes,Galaxiidae,Galaxias,Galaxias maculatus
,9,VertNet; Originally provided by NA,-46.83,-75.3,Eleginops maclovinus,1888,1888,Port Otway,77318,"National Museum of Natural History, Smithsonian Institution. NMNH Fishes. Record ID: http://n2t.net/ark:/65665/3cbe480df-3e43-44a5-a66f-d3c414b43b8d. Source: http://collections.nmnh.si.edu/ipt/resource?r=nmnh_extant_dwc-a (source published on 2016-07-21)",USNM,http://n2t.net/ark:/65665/3cbe480df-3e43-44a5-a66f-d3c414b43b8d,FALSE,548,NA,NA,NA,NA,Fishes,NA,4,"Eleginops maclovinus (Cuvier, 1830)",53,NA,NA,NA,CC0,NA,NA,PreservedSpecimen,NA,1888 Feb 00 - 0000 00 00,Pacific,NA,NA,NA,NA,NA,NA,NA,"Animalia, Chordata, Vertebrata, Osteichthyes, Actinopterygii, Neopterygii, Acanthopterygii, Perciformes, Notothenioidei, Nototheniidae",NA,2,http://portal.vertnet.org/o/usnm/fishes?id=http-n2t-net-ark-65665-3cbe480df-3e43-44a5-a66f-d3c414b43b8d,NA,NA,maclovinus,NA,not recorded,"Pacific, Chile",NA,NA,NA,Actinopterygii,NA,Chile,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Degrees Minutes Seconds,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,07518 W,4650 S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eleginops maclovinus,1,SPECIES,Animalia,Chordata,Perciformes,Eleginopsidae,Eleginops,Eleginops maclovinus
,10,iDigBio; NMNH Extant Biology,-46.83,-75.3,Eleginops maclovinus,1888,1888-02,Port Otway,USNM 77318,NA,USNM,http://n2t.net/ark:/65665/3cbe480df-3e43-44a5-a66f-d3c414b43b8d,TRUE,548,NA,NA,urn:lsid:biocol.org:col:34871,NA,FISH,urn:uuid:09c9cf5f-f5d3-48cc-b5c8-cd9b9fbd631f,3,"Eleginops maclovinus (Cuvier, 1830)",53,NA,NA,NA,NA,NA,NA,PreservedSpecimen,NA,1888 Feb 00 - 0000 00 00,South Pacific Ocean,NA,NA,NA,NA,NA,fba3cb59-565f-4da1-be26-23cce39b6643,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eleginops maclovinus,1,SPECIES,Animalia,Chordata,Perciformes,Eleginopsidae,Eleginops,Eleginops maclovinus
,12,Aguilar-González 2023,-46.8333333329,-75.2999999996,Aplochiton zebra,NA,NA,Port Otway,1354,"Zama A. y Cárdenas E. 1984. Introduction into Aysen Chile of Pacific Salmon N°9: Descriptive Catalogue of Marine and Freshwater Fishes from the Aysén Region, Southern Chile, with Zoogeographical Notes on the Fish Fauna. Japan International Cooperation Agency. 94 p.",NA,NA,FALSE,1257,NA,NA,NA,NA,NA,NA,6,"Aplochiton zebra Jenyns, 1842",NA,"Surface gill net, bottom gill net, hook and line, dip net, bottom trawl, larva net, suface long line, bottom long line, cast net and Surber net.",NA,NA,CC BY-NC 4.0,NA,NA,HumanObservation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Región de Aysén,NA,-,NA,NA,zebra,CL,NA,NA,NA,NA,NA,Actinopterygii,NA,Chile,NA,NA,NA,Sudamérica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Provincia de Aysén,NA,native,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Comuna de Aysén,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75°18'O,46°50'S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Aplochiton zebra,1,SPECIES,Animalia,Chordata,Osmeriformes,Galaxiidae,Aplochiton,Aplochiton zebra
,13,Aguilar-González 2023,-46.8333333329,-75.2999999996,Galaxias maculatus,NA,NA,Port Otway,1082,"Rademacher K. 2007. Peces litorales de Aysén y sus relaciones ictiogeográficas. Tesis de Pregrado Biología Marina, Facultad de Ciencias. Universidad Austral de Chile. 115 p.",NA,NA,TRUE,1257,NA,NA,NA,NA,NA,NA,6,"Galaxias maculatus (Jenyns, 1842)",NA,NA,NA,NA,CC BY-NC 4.0,NA,NA,HumanObservation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Región de Aysén,NA,"Thompson WF (1916) Fishes collected by the U.S. Bureau of Fisheries Steamer “Albatross” during 1888, between Montevideo, Uruguay and Tomé, Chile, on the voyage through the Strait of Magellan, Proc. U.S. Nat. Mus. 50: 401-476.   |  Zama A & E Cárdenas (1984) Descriptive catalogue of marine and freshwater fishes from the Aysén Region, southern Chile, with zoogeographical notes on the fish fauna. Introduction into Aysén Chile of Pacific salmon, Servicio Nacional de Pesca, Chile and Japan International Cooperation Agency 9: 1-75, 5 pls. L.",NA,NA,maculatus,CL,NA,NA,NA,NA,NA,Actinopterygii,NA,Chile,NA,NA,NA,Sudamérica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Provincia de Aysén,NA,native,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Comuna de Aysén,Puyen chico,NA,NA,NA,NA,NA,NA,NA,NA,NA,75°18'O,46°50'S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Galaxias maculatus,1,SPECIES,Animalia,Chordata,Osmeriformes,Galaxiidae,Galaxias,Galaxias maculatus
