dataset.x,id_CC_old.x,match_id.x,fieldgood,fieldbad,logodd.ratio,precent.good,percent.bad,checked
vert,16,9,11,1,0.778151250383644,84.6153846153846,7.69230769230769,
agui,18,13,7,0,0.903089986991944,53.8461538461538,0,
mma2,26,18,8,2,0.477121254719662,61.5384615384615,15.3846153846154,ok
mma2,44,28,6,0,0.845098040014257,46.1538461538462,0,
agui,45,29,8,0,0.954242509439325,61.5384615384615,0,
agui,56,38,8,0,0.954242509439325,61.5384615384615,0,
agui,57,39,9,1,0.698970004336019,69.2307692307692,7.69230769230769,
mma2,58,40,8,1,0.653212513775344,61.5384615384615,7.69230769230769,
agui,61,42,9,1,0.698970004336019,69.2307692307692,7.69230769230769,
agui,62,43,10,1,0.740362689494244,76.9230769230769,7.69230769230769,
mma2,65,45,8,2,0.477121254719662,61.5384615384615,15.3846153846154,ok
agui,72,49,9,1,0.698970004336019,69.2307692307692,7.69230769230769,
agui,73,50,10,1,0.740362689494244,76.9230769230769,7.69230769230769,
mma2,89,58,8,2,0.477121254719662,61.5384615384615,15.3846153846154,ok
mma2,91,59,8,2,0.477121254719662,61.5384615384615,15.3846153846154,ok
agui,93,60,9,1,0.698970004336019,69.2307692307692,7.69230769230769,
agui,94,61,9,1,0.698970004336019,69.2307692307692,7.69230769230769,
agui,98,64,9,1,0.698970004336019,69.2307692307692,7.69230769230769,
agui,99,65,9,1,0.698970004336019,69.2307692307692,7.69230769230769,
mma2,101,66,8,2,0.477121254719662,61.5384615384615,15.3846153846154,ok
mma2,105,68,8,2,0.477121254719662,61.5384615384615,15.3846153846154,ok
idig,113,74,9,0,1,69.2307692307692,0,
agui,122,81,9,1,0.698970004336019,69.2307692307692,7.69230769230769,
agui,125,82,9,1,0.698970004336019,69.2307692307692,7.69230769230769,
gbif,130,85,11,0,1.07918124604762,84.6153846153846,0,
mma2,141,94,8,2,0.477121254719662,61.5384615384615,15.3846153846154,ok
agui,146,96,9,1,0.698970004336019,69.2307692307692,7.69230769230769,
mma2,147,97,8,2,0.477121254719662,61.5384615384615,15.3846153846154,ok
agui,153,101,9,1,0.698970004336019,69.2307692307692,7.69230769230769,
mma2,175,118,6,0,0.845098040014257,46.1538461538462,0,
mma2,194,128,8,1,0.653212513775344,61.5384615384615,7.69230769230769,
agui,301,230,9,1,0.698970004336019,69.2307692307692,7.69230769230769,
agui,302,231,7,0,0.903089986991944,53.8461538461538,0,
mma2,303,232,9,1,0.698970004336019,69.2307692307692,7.69230769230769,
agui,311,238,9,0,1,69.2307692307692,0,
agui,312,239,11,0,1.07918124604762,84.6153846153846,0,
agui,319,246,11,0,1.07918124604762,84.6153846153846,0,
agui,329,256,11,0,1.07918124604762,84.6153846153846,0,
agui,330,257,11,0,1.07918124604762,84.6153846153846,0,
agui,336,263,11,0,1.07918124604762,84.6153846153846,0,
agui,345,270,8,0,0.954242509439325,61.5384615384615,0,
agui,346,271,9,0,1,69.2307692307692,0,
agui,351,276,11,0,1.07918124604762,84.6153846153846,0,
agui,362,277,7,0,0.903089986991944,53.8461538461538,0,
agui,363,278,7,0,0.903089986991944,53.8461538461538,0,
idig,369,282,9,0,1,69.2307692307692,0,
agui,379,291,11,0,1.07918124604762,84.6153846153846,0,
agui,383,294,7,0,0.903089986991944,53.8461538461538,0,
agui,384,295,7,0,0.903089986991944,53.8461538461538,0,
agui,396,307,11,0,1.07918124604762,84.6153846153846,0,
agui,400,311,9,1,0.698970004336019,69.2307692307692,7.69230769230769,
agui,401,312,7,0,0.903089986991944,53.8461538461538,0,
agui,402,313,9,1,0.698970004336019,69.2307692307692,7.69230769230769,
agui,403,314,7,0,0.903089986991944,53.8461538461538,0,
agui,408,320,11,0,1.07918124604762,84.6153846153846,0,
agui,419,329,8,0,0.954242509439325,61.5384615384615,0,
agui,420,330,9,1,0.698970004336019,69.2307692307692,7.69230769230769,
agui,421,331,7,0,0.903089986991944,53.8461538461538,0,
agui,422,332,9,1,0.698970004336019,69.2307692307692,7.69230769230769,
agui,423,333,7,0,0.903089986991944,53.8461538461538,0,
mma2,544,449,9,1,0.698970004336019,69.2307692307692,7.69230769230769,
gbif,549,451,7,4,0.204119982655925,53.8461538461538,30.7692307692308,ok
agui,552,455,10,1,0.740362689494244,76.9230769230769,7.69230769230769,
agui,559,461,7,0,0.903089986991944,53.8461538461538,0,
agui,560,462,7,0,0.903089986991944,53.8461538461538,0,
mma2,902,802,8,2,0.477121254719662,61.5384615384615,15.3846153846154,ok
agui,967,858,9,1,0.698970004336019,69.2307692307692,7.69230769230769,
agui,968,859,7,0,0.903089986991944,53.8461538461538,0,
agui,969,860,9,1,0.698970004336019,69.2307692307692,7.69230769230769,
agui,970,861,7,0,0.903089986991944,53.8461538461538,0,
mma2,988,874,7,1,0.602059991327962,53.8461538461538,7.69230769230769,
mma2,990,875,7,1,0.602059991327962,53.8461538461538,7.69230769230769,
mma2,992,876,7,1,0.602059991327962,53.8461538461538,7.69230769230769,
mma2,994,877,7,1,0.602059991327962,53.8461538461538,7.69230769230769,
mma2,1021,895,8,1,0.653212513775344,61.5384615384615,7.69230769230769,
mma2,1052,914,9,1,0.698970004336019,69.2307692307692,7.69230769230769,
mma2,1125,984,8,2,0.477121254719662,61.5384615384615,15.3846153846154,ok
