"id_CC","occurrenceID_master","datasetName_tmp","canonicalName","year","eventDate","locality","decimalLatitude","decimalLongitude","bibliographicCitation","catalogNumber","institutionCode","Duplicate","Comment","Remove_from_master",".references",".associatedReferences",".decimalLat",".decimalLon",".locality",".year",".eventDate",".bibliographicCitation",".canonicalName",".scientificName",".catalogNumber",".recordedBy",".occurrenceID"
8,"http://n2t.net/ark:/65665/3cbe480df-3e43-44a5-a66f-d3c414b43b8d","vert","eleginops maclovinus",1888,NA,"port otway",-46.83,-75.3,"National Museum of N","77318","usnm",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,"MAguilar.Lit.Review.1082","agui","galaxias maculatus",NA,NA,"port otway",-46.8333333329,-75.2999999996,"Rademacher K. 2007. ","1082",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,"MMA:ICT:0002019","mma2","galaxias maculatus",2014,"2014-04-24","rio tote. isla madre de dios",-50.386,-75.251,"OrigenReg: Base Dato",NA,NA,1,"associatedReferences: (Górski et al., 2017)",NA,NA,"Górski et al., 2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,"CIMAR1_67_sp16","gbif","atheriniformes",1995,"1995-11-02",NA,-45.8317,-74.8933,NA,NA,"shoa",NA,"Remove. Added to GBIF in June 1995. Could be removed because they are oceanographic stations.","remove",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,"CIMAR1_100_sp16","gbif","atheriniformes",1995,"1995-10-25",NA,-44.2133,-74.88,NA,NA,"shoa",NA,"Remove. Added to GBIF in June 1995. Could be removed because they are oceanographic stations.","remove",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,"MMA:ICT:0000206","mma2","aplochiton zebra",NA,NA,"canal messier. isla juan stuven",-47.81,-74.764,"FuenteReg: Gunther 1",NA,NA,NA,"Change bibliographicReference to: FuenteReg: Gunther 1880 Estudio: Campos et al. 1993b",NA,NA,NA,NA,NA,NA,NA,NA,"FuenteReg: Gunther 1880 Estudio: Campos et al. 1993b",NA,NA,NA,NA,NA
30,"MAguilar.Lit.Review.1352","agui","aplochiton taeniatus",NA,NA,"isla harbor",-47.7499999998,-74.7499999998,"Zama A. y Cárdenas E","1352",NA,NA,"change locality to Puerto Island (english name is Island Harbor, which is translated to Puerto Island. Coordinate is -48.050901, -74.588702",NA,NA,NA,-48.050901,-74.588702,"Puerto Island",NA,NA,NA,NA,NA,NA,NA,NA
33,"CIMAR1_102_sp16","gbif","atheriniformes",1995,"1995-10-25",NA,-43.7733,-74.6183,NA,NA,"shoa",NA,"Remove. Added to GBIF in June 1995. Could be removed because they are oceanographic stations.","remove",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,"CIMAR1_70_sp16","gbif","atheriniformes",1995,"1995-11-03",NA,-45.395,-74.61,NA,NA,"shoa",NA,"Remove. Added to GBIF in June 1995. Could be removed because they are oceanographic stations.","remove",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,"http://www.inaturalist.org/observations/173459","inat","salmo trutta",2010,"2010-01-14","argentina",-50.736455137,-74.531254,NA,"173459",NA,NA,"Remove: According to iNaturalist ""Unsure of specific location and date"". It is very unlikely that the coordinates correspond to actual locality.","remove",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,"CIMAR1_66_sp16","gbif","atheriniformes",1995,"1995-11-02",NA,-45.8283,-74.5217,NA,NA,"shoa",NA,"Remove. Added to GBIF in June 1995. Could be removed because they are oceanographic stations.","remove",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,"CIMAR1_98_sp16","gbif","atheriniformes",1995,"1995-10-25",NA,-44.5617,-74.5217,NA,NA,"shoa",NA,"Remove. Added to GBIF in June 1995. Could be removed because they are oceanographic stations.","remove",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,"MAguilar.Lit.Review.1349","agui","aplochiton marinus",NA,NA,"isla wellington",-49.5333333329,-74.5000000003,"Zama A. y Cárdenas E","1349",NA,1,"eventDate= 1977-09-21; year=1977; Locality= Isla Wellington, Estero Veto",NA,NA,NA,NA,NA,"Isla Wellington, Estero Veto",1977,"1977-09-21",NA,NA,NA,NA,NA,NA
40,"MAguilar.Lit.Review.906","agui","aplochiton taeniatus",1977,NA,"estero veto",-49.5333333329,-74.5000000003,"McDowall, R., & Naka","906",NA,NA,"change coordinate to -49.511663, -74.499677",NA,NA,NA,-49.511663,-74.499677,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,"MMA:ICT:0000003","mma2","aplochiton marinus",1977,"1977-09-21","estero veto. costeras  orientales  entre  fiordo veto y fiordo antrim",-49.533,-74.5,"OrigenReg: Zama, A.,",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
