"id_CC_original","match_id","correcting_match","correcting_match_old","occurrenceID_master","occurrenceID","occ_match","match_status","match_quality","fieldgood","fieldbad","logodd.ratio","precent.good","percent.bad","n_keys_used","n_core_keys_used","n_candidates_final","match_keys_used","datasetName","canonicalName","year","eventDate","locality","decimalLatitude","decimalLongitude","bibliographicCitation","catalogNumber","institutionCode","Duplicate","Comment",".references",".associatedReferences",".decimalLat",".decimalLon",".locality",".year",".eventDate",".bibliographicCitation",".canonicalName",".scientificName",".catalogNumber",".recordedBy",".occurrenceID"
"14",NA,NA,"unlink, record via iDigBio",NA,"http://n2t.net/ark:/65665/3cbe480df-3e43-44a5-a66f-d3c414b43b8d",NA,"no_match","no_match",NA,NA,NA,NA,NA,NA,NA,0,NA,"gbif","eleginops maclovinus",1888,"1888-02","port otway",-46.83,-75.3,NA,"usnm 77318","usnm","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",8,NA,NA,"http://n2t.net/ark:/65665/3cbe480df-3e43-44a5-a66f-d3c414b43b8d","http://n2t.net/ark:/65665/3cbe480df-3e43-44a5-a66f-d3c414b43b8d",TRUE,"matched","3_core",11,0,1.07918124604762,84.6153846153846,0,3,3,1,"datasetName;canonicalName;decimalLatitude","vert","eleginops maclovinus",1888,NA,"port otway",-46.83,-75.3,"National Museum of N","77318","usnm","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",12,NA,NA,"MAguilar.Lit.Review.1082",NA,NA,"matched","3_core",7,0,0.903089986991944,53.8461538461538,0,3,3,1,"datasetName;canonicalName;decimalLatitude","agui","galaxias maculatus",NA,NA,"port otway",-46.8333333329,-75.2999999996,"Rademacher K. 2007. ","1082",NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",17,NA,"good","MMA:ICT:0002019",NA,NA,"matched","4plus_core",7,3,0.301029995663981,53.8461538461538,23.0769230769231,4,4,1,"datasetName;canonicalName;decimalLatitude;decimalLongitude","mma2","galaxias maculatus",2014,"2014-04-24","rio tote. isla madre de dios",-50.386,-75.251,"OrigenReg: Base Dato",NA,NA,"1","associatedReferences: (Górski et al., 2017)",NA,"Górski et al., 2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",26,NA,"good","CIMAR1_67_sp16","cimar1_67_sp16",TRUE,"matched","3_core",8,0,0.954242509439325,61.5384615384615,0,3,3,1,"datasetName;canonicalName;decimalLatitude","gbif","atheriniformes",1995,"1995-11-02",NA,-45.8317,-74.8933,NA,NA,"shoa",NA,"Remove. Added to GBIF in June 1995. Could be removed because they are oceanographic stations.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",27,NA,"good","CIMAR1_100_sp16","cimar1_100_sp16",TRUE,"matched","3_core",8,0,0.954242509439325,61.5384615384615,0,3,3,1,"datasetName;canonicalName;decimalLatitude","gbif","atheriniformes",1995,"1995-10-25",NA,-44.2133,-74.88,NA,NA,"shoa",NA,"Remove. Added to GBIF in June 1995. Could be removed because they are oceanographic stations.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",29,NA,NA,"MMA:ICT:0000206",NA,NA,"matched","3_core",4,2,0.221848749616356,30.7692307692308,15.3846153846154,3,3,1,"datasetName;canonicalName;decimalLatitude","mma2","aplochiton zebra",NA,NA,"canal messier. isla juan stuven",-47.81,-74.764,"FuenteReg: Gunther 1",NA,NA,NA,"Change bibliographicReference to: FuenteReg: Gunther 1880 Estudio: Campos et al. 1993b",NA,NA,NA,NA,NA,NA,NA,"FuenteReg: Gunther 1880 Estudio: Campos et al. 1993b",NA,NA,NA,NA,NA
"45",30,NA,NA,"MAguilar.Lit.Review.1352",NA,NA,"matched","3_core",8,0,0.954242509439325,61.5384615384615,0,3,3,1,"datasetName;canonicalName;decimalLatitude","agui","aplochiton taeniatus",NA,NA,"isla harbor",-47.7499999998,-74.7499999998,"Zama A. y Cárdenas E","1352",NA,NA,"change locality to Puerto Island (english name is Island Harbor, which is translated to Puerto Island. Coordinate is -48.050901, -74.588702",NA,NA,"-48.050901","-74.588702","Puerto Island",NA,NA,NA,NA,NA,NA,NA,NA
"48",33,NA,"good","CIMAR1_102_sp16","cimar1_102_sp16",TRUE,"matched","3_core",8,0,0.954242509439325,61.5384615384615,0,3,3,1,"datasetName;canonicalName;decimalLatitude","gbif","atheriniformes",1995,"1995-10-25",NA,-43.7733,-74.6183,NA,NA,"shoa",NA,"Remove. Added to GBIF in June 1995. Could be removed because they are oceanographic stations.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49",34,NA,"good","CIMAR1_70_sp16","cimar1_70_sp16",TRUE,"matched","3_core",8,0,0.954242509439325,61.5384615384615,0,3,3,1,"datasetName;canonicalName;decimalLatitude","gbif","atheriniformes",1995,"1995-11-03",NA,-45.395,-74.61,NA,NA,"shoa",NA,"Remove. Added to GBIF in June 1995. Could be removed because they are oceanographic stations.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",36,NA,NA,"http://www.inaturalist.org/observations/173459","http://www.inaturalist.org/observations/173459",TRUE,"matched","3_core",9,0,1,69.2307692307692,0,3,3,1,"datasetName;canonicalName;decimalLatitude","inat","salmo trutta",2010,"2010-01-14","argentina",-50.736455137,-74.531254,NA,"173459",NA,NA,"Remove: According to iNaturalist ""Unsure of specific location and date"". It is very unlikely that the coordinates correspond to actual locality.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54",37,NA,"good","CIMAR1_66_sp16","cimar1_66_sp16",TRUE,"matched","3_core",8,0,0.954242509439325,61.5384615384615,0,3,3,1,"datasetName;canonicalName;decimalLatitude","gbif","atheriniformes",1995,"1995-11-02",NA,-45.8283,-74.5217,NA,NA,"shoa",NA,"Remove. Added to GBIF in June 1995. Could be removed because they are oceanographic stations.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
