"id_CC","decimalLatitude","decimalLongitude","canonicalName","year","eventDate","locality","samplingProtocol","individualCount","catalogNumber","datasetName","bibliographicCitation","institutionCode","occurrenceID","Comment","match_id","match_keys_used","n_keys_used","n_candidates_final","match_status","n_core_keys_used","match_quality"
"12577",-42.61,-71.66666667,"hatcheria macraei",NA,NA,"lago rivadavia",NA,NA,"486","agui","Cussac, V.E., Habit,",NA,NA,"recordedBy: Barriga JP & Battini MA","13308","datasetName;canonicalName;decimalLatitude",3,1,"matched",3,"acceptable_3_core"
"12681",-41.26,-71.64,"galaxias maculatus",2008,NA,"lago mascardi","seine net and baited traps","30","623","agui","Fernández, M. V., Ga",NA,NA,"para mascardi unificar coordenadas en 41.26666667/71.6333333","13412","datasetName;canonicalName;decimalLatitude",3,1,"matched",3,"acceptable_3_core"
"11020",-47.7667,-72.2167,"galaxias platei",NA,NA,NA,NA,NA,NA,"data",NA,"fo","4556297","Pto en la tierra, Parece que corresponde al Lago Volcán(coord 47.77/72.24)","11661","datasetName;canonicalName;decimalLatitude",3,1,"matched",3,"acceptable_3_core"
"11273",-47.8167,-72.15,"galaxias platei",NA,NA,NA,NA,NA,NA,"data",NA,"fo","4556299","pto en la tierra, no sabemos a que laguna corresponde","11936","datasetName;canonicalName;decimalLatitude",3,1,"matched",3,"acceptable_3_core"
"11790",-47.35,-71.95,"galaxias platei",NA,NA,NA,NA,NA,NA,"data",NA,"fo","4556259","coord correcta: 47.2936/71.97; Locality: Lago Buenos Aires","12476","datasetName;canonicalName;decimalLatitude",3,1,"matched",3,"acceptable_3_core"
"11949",-42.6,-71.9167,"galaxias platei",NA,NA,NA,NA,NA,NA,"data",NA,"fo","4556277","Locality: Lago Cisne","12639","datasetName;canonicalName;decimalLatitude",3,1,"matched",3,"acceptable_3_core"
"12298",-41.3833,-71.7833,"galaxias maculatus",NA,NA,NA,NA,NA,NA,"data",NA,"fo","4556131","locality: lago Roca coor cae en la tierra?","13020","datasetName;canonicalName;decimalLatitude",3,1,"matched",3,"acceptable_3_core"
"12300",-41.3167,-71.7833,"galaxias maculatus",NA,NA,NA,NA,NA,NA,"data",NA,"fo","4556187","Locality:Lago Fonk","13022","datasetName;canonicalName;decimalLatitude",3,1,"matched",3,"acceptable_3_core"
"12304",-41.3167,-71.7833,"oncorhynchus mykiss",NA,NA,NA,NA,NA,NA,"data",NA,"fo","4559871","Locality: Lago Fonck","13026","datasetName;canonicalName;decimalLatitude",3,1,"matched",3,"acceptable_3_core"
"12344",-42.4167,-71.7667,"galaxias platei",NA,NA,NA,NA,NA,NA,"data",NA,"fo","4556276","no podemos constatar, suponemos que la locality: Lago Cholila","13066","datasetName;canonicalName;decimalLatitude",3,1,"matched",3,"acceptable_3_core"
"12346",-42.2333,-71.7667,"galaxias platei",NA,NA,NA,NA,NA,NA,"data",NA,"fo","4556217","punto en tierra entre Lago Puelo y Lago Esperanza","13068","datasetName;canonicalName;decimalLatitude",3,1,"matched",3,"acceptable_3_core"
"12386",-42.8833,-71.75,"galaxias platei",NA,NA,NA,NA,NA,NA,"data",NA,"fo","4556226","locality: Lago Krugger","13108","datasetName;canonicalName;decimalLatitude",3,1,"matched",3,"acceptable_3_core"
"12394",-41.3672,-71.7397,"galaxias maculatus",NA,NA,NA,NA,NA,NA,"data",NA,"fo","4556177","locality:Lago Hess","13116","datasetName;canonicalName;decimalLatitude",3,1,"matched",3,"acceptable_3_core"
"12403",-42.7167,-71.7333,"galaxias platei",NA,NA,NA,NA,NA,NA,"data",NA,"fo","4556224","locality: Lago Verde","13125","datasetName;canonicalName;decimalLatitude",3,1,"matched",3,"acceptable_3_core"
"12486",-41.4981,-71.6919,"galaxias maculatus",NA,NA,NA,NA,NA,NA,"data",NA,"fo","4556189","locality: Lago Martín","13214","datasetName;canonicalName;decimalLatitude",3,1,"matched",3,"acceptable_3_core"
"12488",-41.4981,-71.6919,"galaxias platei",NA,NA,NA,NA,NA,NA,"data",NA,"fo","4556312","locality: Lago Martin","13216","datasetName;canonicalName;decimalLatitude",3,1,"matched",3,"acceptable_3_core"
"12490",-41.4981,-71.6919,"oncorhynchus mykiss",NA,NA,NA,NA,NA,NA,"data",NA,"fo","4559873","Locality: Lago Martin","13218","datasetName;canonicalName;decimalLatitude",3,1,"matched",3,"acceptable_3_core"
"12496",-41.3083,-71.6917,"galaxias platei",NA,NA,NA,NA,NA,NA,"data",NA,"fo","4556216","no podemos constatar, suponemos que la locality: Laguna Los Cesares","13224","datasetName;canonicalName;decimalLatitude",3,1,"matched",3,"acceptable_3_core"
"12524",-43.0833,-71.6833,"galaxias platei",NA,NA,NA,NA,NA,NA,"data",NA,"fo","4556227","Locality: Lago Amutui Quimei","13252","datasetName;canonicalName;decimalLatitude",3,1,"matched",3,"acceptable_3_core"
"12528",-41.7,-71.6833,"galaxias maculatus",NA,NA,NA,NA,NA,NA,"data",NA,"fo","4556133","posible Lago Escondido, coord correcta: 41.69179/71.682045","13256","datasetName;canonicalName;decimalLatitude",3,1,"matched",3,"acceptable_3_core"
"12563",-42.45,-71.6667,"aplochiton zebra",NA,NA,NA,NA,NA,NA,"data",NA,"fo","4552619","L. Cholila 42.46416/71.60573","13294","datasetName;canonicalName;decimalLatitude",3,1,"matched",3,"acceptable_3_core"
"12567",-42.3333,-71.6667,"galaxias platei",NA,NA,NA,NA,NA,NA,"data",NA,"fo","4556275","no podemos constatar, mala la coord suponemos que la locality: Lago Cholila","13298","datasetName;canonicalName;decimalLatitude",3,1,"matched",3,"acceptable_3_core"
"12571",-41.5,-71.6667,"hatcheria macraei",NA,NA,NA,NA,NA,NA,"data",NA,"fo","4556660","Locality: Lago Martin; coord correcta: 41.5106/71.659","13302","datasetName;canonicalName;decimalLatitude",3,1,"matched",3,"acceptable_3_core"
"12573",-41.25,-71.6667,"galaxias maculatus",NA,NA,NA,NA,NA,NA,"data",NA,"fo","4556171","parece que tambien es Mallin Ingenieros","13304","datasetName;canonicalName;decimalLatitude",3,1,"matched",3,"acceptable_3_core"
"12638",-43.4167,-71.65,"galaxias platei",NA,NA,NA,NA,NA,NA,"data",NA,"fo","4556284","No podemos constatar el sitio esta cerca del rio Hielo (coord correcta: 424765/71.649373)","13369","datasetName;canonicalName;decimalLatitude",3,1,"matched",3,"acceptable_3_core"
"12640",-43.1833,-71.65,"galaxias platei",NA,NA,NA,NA,NA,NA,"data",NA,"fo","4556250","Suponemos que Locality : Río Futaleufú, si es este ambiente la coord correcta seria 43,18084/71.65678","13371","datasetName;canonicalName;decimalLatitude",3,1,"matched",3,"acceptable_3_core"
"12709",-42.8333,-71.6333,"aplochiton zebra",NA,NA,NA,NA,NA,NA,"data",NA,"fo","4552614","Locality: L. Futalaufquen","13440","datasetName;canonicalName;decimalLatitude",3,1,"matched",3,"acceptable_3_core"
"12711",-42.8333,-71.6333,"galaxias platei",NA,NA,NA,NA,NA,NA,"data",NA,"fo","4556223","locality: Lago Futalaufquen","13442","datasetName;canonicalName;decimalLatitude",3,1,"matched",3,"acceptable_3_core"
"12717",-42.1167,-71.6333,"aplochiton taeniatus",NA,NA,NA,NA,NA,NA,"data",NA,"fo","4552591","locality: L. Puelo","13448","datasetName;canonicalName;decimalLatitude",3,1,"matched",3,"acceptable_3_core"
"12719",-42.1167,-71.6333,"galaxias platei",NA,NA,NA,NA,NA,NA,"data",NA,"fo","4556220","Cood correcta 42.1536/71.6389","13450","datasetName;canonicalName;decimalLatitude",3,1,"matched",3,"acceptable_3_core"
"12770",-46.5333,-71.6167,"galaxias platei",NA,NA,NA,NA,NA,NA,"data",NA,"fo","4556258","Locality : Lago Buenos Aires","13501","datasetName;canonicalName;decimalLatitude",3,1,"matched",3,"acceptable_3_core"
"12772",-46.5333,-71.6167,"hatcheria macraei",NA,NA,NA,NA,NA,NA,"data",NA,"fo","4556647","Loclity: Lago Buenos Aires","13503","datasetName;canonicalName;decimalLatitude",3,1,"matched",3,"acceptable_3_core"
"12776",-42.1,-71.6167,"aplochiton zebra",NA,NA,NA,NA,NA,NA,"data",NA,"fo","4552618","En Locality lago Puelo","13507","datasetName;canonicalName;decimalLatitude",3,1,"matched",3,"acceptable_3_core"
"12778",-41.5167,-71.6167,"galaxias platei",NA,NA,NA,NA,NA,NA,"data",NA,"fo","4556273","locality: Lago Steffen; cood correcta 41.51624/71.58072","13509","datasetName;canonicalName;decimalLatitude",3,1,"matched",3,"acceptable_3_core"
"12821",-43.1333,-71.6,"aplochiton zebra",NA,NA,NA,NA,NA,NA,"data",NA,"fo","4552622","Locality: Rio Futaleufú","13552","datasetName;canonicalName;decimalLatitude",3,1,"matched",3,"acceptable_3_core"
"12823",-43.1333,-71.6,"galaxias platei",NA,NA,NA,NA,NA,NA,"data",NA,"fo","4556315","Suponemos que Locality : Río Futaleufú, si es este ambiente la coord correcta seria 43,139/71.6","13554","datasetName;canonicalName;decimalLatitude",3,1,"matched",3,"acceptable_3_core"
"12827",-43.1333,-71.6,"oncorhynchus mykiss",NA,NA,NA,NA,NA,NA,"data",NA,"fo","4559876","locality: Río Futaleufú; coord correctas: 43.13621/71.60534","13558","datasetName;canonicalName;decimalLatitude",3,1,"matched",3,"acceptable_3_core"
"12829",-43.1333,-71.6,"percichthys trucha",NA,NA,NA,NA,NA,NA,"data",NA,"fo","4560344","esta cerca del rio futalaufquen pero no podemos constatar","13560","datasetName;canonicalName;decimalLatitude",3,1,"matched",3,"acceptable_3_core"
"12837",-41.3333,-71.6,"galaxias maculatus",NA,NA,NA,NA,NA,NA,"data",NA,"fo","4556188","en el mapa esta sobre la tierra cerca del L. Mascardi","13568","datasetName;canonicalName;decimalLatitude",3,1,"matched",3,"acceptable_3_core"
"12839",-41.3333,-71.6,"galaxias platei",NA,NA,NA,NA,NA,NA,"data",NA,"fo","4556311","Locality: Lago Puelo; coord correcta: 41.34514/71.618776","13570","datasetName;canonicalName;decimalLatitude",3,1,"matched",3,"acceptable_3_core"
"12841",-41.3333,-71.6,"oncorhynchus mykiss",NA,NA,NA,NA,NA,NA,"data",NA,"fo","4559872","no pordemos constatar cae en la tierra","13572","datasetName;canonicalName;decimalLatitude",3,1,"matched",3,"acceptable_3_core"
"12875",-47.5,-71.5833,"hatcheria macraei",NA,NA,NA,NA,NA,NA,"data",NA,"fo","4556630","no podemos constatar pto en la tierra","13606","datasetName;canonicalName;decimalLatitude",3,1,"matched",3,"acceptable_3_core"
"12888",-43.2,-71.5667,"galaxias platei",NA,NA,NA,NA,NA,NA,"data",NA,"fo","4556254","Suponemos que Locality : Río Baggilt, si es este ambiente la coord correcta sería 43.19909/71.581781","13619","datasetName;canonicalName;decimalLatitude",3,1,"matched",3,"acceptable_3_core"
"12905",-41.3667,-71.55,"aplochiton zebra",NA,NA,NA,NA,NA,NA,"data",NA,"fo","4552610","dato dudoso parece L Mascardi","13636","datasetName;canonicalName;decimalLatitude",3,1,"matched",3,"acceptable_3_core"
"12909",-41.3667,-71.55,"percichthys trucha",NA,NA,NA,NA,NA,NA,"data",NA,"fo","4560310","nunca se pesco perca en toda la cuenca del Rio Manso dato erroneo","13640","datasetName;canonicalName;decimalLatitude",3,1,"matched",3,"acceptable_3_core"
"12911",-41.35,-71.55,"galaxias maculatus",NA,NA,NA,NA,NA,NA,"data",NA,"fo","4556190","locality:Lago Mascardi","13642","datasetName;canonicalName;decimalLatitude",3,1,"matched",3,"acceptable_3_core"
"12915",-41.35,-71.55,"oncorhynchus mykiss",NA,NA,NA,NA,NA,NA,"data",NA,"fo","4559874","locality: lago Mascardi","13646","datasetName;canonicalName;decimalLatitude",3,1,"matched",3,"acceptable_3_core"
